#EntrezID	Name	Score	Degree
1740	DLG2	0.106030	130
2572	GAD2	0.104860	1042
2892	GRIA3	0.104704	492
2903	GRIN2A	0.104329	933
1008	CDH10	0.104329	451
2891	GRIA2	0.104257	231
54715	RBFOX1	0.104146	507
40	ASIC2	0.104040	360
10716	TBR1	0.104034	278
4852	NPY	0.103997	561
1641	DCX	0.103967	545
6000	RGS7	0.103967	428
2557	GABRA4	0.103880	747
3358	HTR2C	0.103854	684
9722	NOS1AP	0.103782	925
2554	GABRA1	0.103747	631
2555	GABRA2	0.103734	228
2915	GRM5	0.103579	369
9228	DLGAP2	0.103577	1037
1816	DRD5	0.103568	1470
3354	HTR1E	0.103545	255
4986	OPRK1	0.103384	454
2103	ESRRB	0.103318	788
3356	HTR2A	0.103145	1168
2567	GABRG3	0.103116	287
4889	NPY5R	0.102867	387
2918	GRM8	0.102840	414
22854	NTNG1	0.102698	1092
1610	DAO	0.102604	819
11281	POU6F2	0.102477	446
4340	MOG	0.102467	337
9568	GABBR2	0.102307	1180
2904	GRIN2B	0.102267	1266
1006	CDH8	0.102263	873
3060	HCRT	0.102249	798
8128	ST8SIA2	0.102222	479
6532	SLC6A4	0.102169	427
5618	PRLR	0.102087	1071
3782	KCNN3	0.102073	393
2558	GABRA5	0.102068	569
2562	GABRB3	0.102033	335
2346	FOLH1	0.102029	786
6899	TBX1	0.101993	956
8448	DOC2A	0.101766	184
2100	ESR2	0.101740	1549
778	CACNA1F	0.101739	850
3211	HOXB1	0.101736	304
9378	NRXN1	0.101712	1156
1586	CYP17A1	0.101706	580
2693	GHSR	0.101673	445
23026	MYO16	0.101625	551
4842	NOS1	0.101585	1708
26047	CNTNAP2	0.101583	727
7425	VGF	0.101532	518
2099	ESR1	0.101502	1653
5020	OXT	0.101499	235
5080	PAX6	0.101484	431
1804	DPP6	0.101469	855
6326	SCN2A	0.101464	128
6853	SYN1	0.101457	262
6616	SNAP25	0.101449	649
7299	TYR	0.101338	190
1583	CYP11A1	0.101317	350
2917	GRM7	0.101286	950
11141	IL1RAPL1	0.101232	339
2571	GAD1	0.101212	378
8913	CACNA1G	0.101142	2161
3363	HTR7	0.101138	651
202559	KHDRBS2	0.101135	157
8912	CACNA1H	0.101097	843
5915	RARB	0.101051	1880
4897	NRCAM	0.101011	865
5649	RELN	0.100990	171
7472	WNT2	0.100968	321
1268	CNR1	0.100947	1299
3238	HOXD12	0.100913	627
491	ATP2B2	0.100906	1704
793	CALB1	0.100894	267
6716	SRD5A2	0.100879	226
5309	PITX3	0.100877	611
2334	AFF2	0.100872	1728
7275	TUB	0.100797	1921
1621	DBH	0.100787	353
9177	HTR3B	0.100770	218
4137	MAPT	0.100726	820
27185	DISC1	0.100722	657
552	AVPR1A	0.100648	852
6530	SLC6A2	0.100591	2352
4036	LRP2	0.100577	162
107	ADCY1	0.100571	2300
5071	PRKN	0.100501	394
816	CAMK2B	0.100483	2851
4974	OMG	0.100458	408
553	AVPR1B	0.100386	435
4887	NPY2R	0.100386	1182
4139	MARK1	0.100368	349
4987	OPRL1	0.100344	1063
4524	MTHFR	0.100302	1162
4988	OPRM1	0.100219	873
5444	PON1	0.100208	555
10814	CPLX2	0.100172	290
5617	PRL	0.100158	528
1565	CYP2D6	0.100154	1055
8828	NRP2	0.100096	1427
3362	HTR6	0.100088	1569
4915	NTRK2	0.100074	1164
1269	CNR2	0.100053	858
4908	NTF3	0.100005	144
2899	GRIK3	0.100001	985
3351	HTR1B	0.099988	162
2925	GRPR	0.099970	605
2066	ERBB4	0.099958	1450
51725	FBXO40	0.099942	458
54413	NLGN3	0.099924	285
3084	NRG1	0.099832	997
3359	HTR3A	0.099699	1486
9379	NRXN2	0.099686	792
2173	FABP7	0.099670	441
367	AR	0.099568	657
15	AANAT	0.099480	251
3361	HTR5A	0.099479	219
186	AGTR2	0.099423	220
