#EntrezID	Name	Score	Degree
100131510	100131510	1.000000	2
203062	TSNARE1	1.000000	13
22890	ZBTB1	1.000000	833
347735	SERINC2	1.000000	187
9348	NDST3	1.000000	84
56899	ANKS1B	1.000000	57
1946	EFNA5	1.000000	67
22978	NT5C2	1.000000	507
8294	HIST1H4I	1.000000	15
3291	HSD11B2	1.000000	53
4297	KMT2A	1.000000	1641
199	AIF1	1.000000	224
30834	ZNRD1	1.000000	750
2903	GRIN2A	1.000000	933
7014	TERF2	1.000000	305
7337	UBE3A	1.000000	1888
1394	CRHR1	1.000000	1353
23293	SMG6	1.000000	656
26468	LHX6	1.000000	49
2550	GABBR1	1.000000	490
9568	GABBR2	1.000000	1180
64919	BCL11B	1.000000	73
124446	TMEM219	1.000000	172
3117	HLA-DQA1	1.000000	134
9587	MAD2L1BP	1.000000	415
57448	BIRC6	1.000000	665
219541	MED19	1.000000	173
10587	TXNRD2	1.000000	194
23673	STX12	1.000000	787
26354	GNL3	1.000000	1433
9374	PPT2	1.000000	418
6647	SOD1	1.000000	1256
10806	SDCCAG8	1.000000	54
119391	GSTO2	1.000000	10
9745	ZNF536	1.000000	128
23451	SF3B1	1.000000	1123
121256	TMEM132D	1.000000	9
10322	SMYD5	1.000000	88
7127	TNFAIP2	1.000000	480
1398	CRK	1.000000	331
25804	LSM4	1.000000	1890
10410	IFITM3	1.000000	387
6787	NEK4	1.000000	1230
8911	CACNA1I	1.000000	1133
51070	NOSIP	1.000000	524
28996	HIPK2	1.000000	542
8326	FZD9	1.000000	236
2744	GLS	1.000000	1233
55714	TENM3	1.000000	5
58155	PTBP2	1.000000	775
3785	KCNQ2	1.000000	1287
379	ARL4D	1.000000	151
5743	PTGS2	1.000000	203
4855	NOTCH4	1.000000	283
9188	DDX21	1.000000	1159
2823	GPM6A	1.000000	257
7442	TRPV1	1.000000	26
8558	CDK10	1.000000	460
64786	TBC1D15	1.000000	581
83593	RASSF5	1.000000	305
22997	IGSF9B	1.000000	477
1132	CHRM4	1.000000	28
50854	C6orf48	1.000000	279
783	CACNB2	1.000000	740
4684	NCAM1	1.000000	1083
1961	EGR4	1.000000	525
160851	DGKH	1.000000	18
3107	HLA-C	1.000000	531
6663	SOX10	1.000000	837
1139	CHRNA7	1.000000	49
1612	DAPK1	1.000000	391
27257	LSM1	1.000000	714
1182	CLCN3	1.000000	936
114801	TMEM200A	1.000000	16
55193	PBRM1	1.000000	232
5062	PAK2	1.000000	1377
5587	PRKD1	1.000000	786
259232	NALCN	1.000000	6
488	ATP2A2	1.000000	941
5414	SEPT4	1.000000	340
3115	HLA-DPB1	1.000000	72
9530	BAG4	1.000000	76
4803	NGF	1.000000	112
11117	EMILIN1	1.000000	114
23237	ARC	1.000000	139
51780	KDM3B	1.000000	958
6770	STAR	1.000000	4
56910	STARD7	1.000000	744
421	ARVCF	1.000000	1008
25791	NGEF	1.000000	31
10274	STAG1	1.000000	1657
84152	PPP1R1B	1.000000	7
29801	ZDHHC8	1.000000	301
57479	PRR12	1.000000	7
1407	CRY1	1.000000	1282
2170	FABP3	1.000000	244
23176	SEPT8	1.000000	460
3276	PRMT1	1.000000	1472
3105	HLA-A	1.000000	495
19	ABCA1	1.000000	622
226	ALDOA	1.000000	777
26058	GIGYF2	1.000000	363
9162	DGKI	1.000000	33
389125	MUSTN1	1.000000	3
5740	PTGIS	1.000000	1124
5089	PBX2	1.000000	767
9529	BAG5	1.000000	1170
387	RHOA	1.000000	728
63940	GPSM3	1.000000	162
7918	GPANK1	1.000000	26
79600	TCTN1	1.000000	53
57683	ZDBF2	1.000000	4
64844	MARCH7	1.000000	1849
90139	TSPAN18	1.000000	9
54617	INO80	1.000000	433
91752	ZNF804A	1.000000	5
23286	WWC1	1.000000	418
10075	HUWE1	1.000000	219
1012	CDH13	1.000000	38
1191	CLU	1.000000	550
63826	SRR	1.000000	309
22916	NCBP2	1.000000	2128
8379	MAD1L1	1.000000	413
23334	SZT2	1.000000	175
79153	GDPD3	1.000000	9
57533	TBC1D14	1.000000	80
23166	STAB1	1.000000	448
29980	DONSON	1.000000	571
6048	RNF5	1.000000	107
6263	RYR3	1.000000	91
1136	CHRNA3	1.000000	636
9344	TAOK2	1.000000	1130
221545	C6orf136	1.000000	215
348980	HCN1	1.000000	2
5330	PLCB2	1.000000	230
28972	SPCS1	1.000000	1384
10444	ZER1	1.000000	841
4277	MICB	1.000000	190
8364	HIST1H4C	1.000000	388
154089	LINC01312	1.000000	2
9446	GSTO1	1.000000	1039
2173	FABP7	1.000000	441
8479	HIRIP3	1.000000	229
9586	CREB5	1.000000	89
80224	NUBPL	1.000000	47
5902	RANBP1	1.000000	1517
5286	PIK3C2A	1.000000	1244
83723	FAM57B	1.000000	46
6844	VAMP2	1.000000	979
43	ACHE	1.000000	856
85236	HIST1H2BK	1.000000	173
29902	FAM216A	1.000000	1147
1565	CYP2D6	1.000000	1055
29886	SNX8	1.000000	48
6446	SGK1	1.000000	197
8970	HIST1H2BJ	1.000000	4
7840	ALMS1	1.000000	664
54487	DGCR8	1.000000	317
5533	PPP3CC	1.000000	202
7082	TJP1	1.000000	847
222068	TMED4	1.000000	271
1388	ATF6B	1.000000	127
10198	MPHOSPH9	1.000000	1353
324	APC	1.000000	1124
3108	HLA-DMA	1.000000	172
3303	HSPA1A	1.000000	192
7010	TEK	1.000000	157
51596	CUTA	1.000000	877
4900	NRGN	1.000000	47
129450	TYW5	1.000000	6
5621	PRNP	1.000000	1146
10743	RAI1	1.000000	112
9605	VPS9D1	1.000000	274
8997	KALRN	1.000000	1403
10371	SEMA3A	1.000000	174
9881	TRANK1	1.000000	52
8452	CUL3	1.000000	1476
83698	CALN1	1.000000	101
5793	PTPRG	1.000000	326
1143	CHRNB4	1.000000	25
79602	ADIPOR2	1.000000	435
6660	SOX5	1.000000	116
53827	FXYD5	1.000000	748
894	CCND2	1.000000	475
123606	NIPA1	1.000000	157
64478	CSMD1	1.000000	41
1813	DRD2	1.000000	2169
79684	MSANTD2	1.000000	319
1740	DLG2	1.000000	130
11168	PSIP1	1.000000	1826
54815	GATAD2A	1.000000	386
542767	PCOTH	1.000000	2
253980	KCTD13	1.000000	332
55238	SLC38A7	1.000000	372
127845	GOLT1A	1.000000	2
26053	AUTS2	1.000000	447
79922	MRM1	1.000000	3
23191	CYFIP1	1.000000	647
2242	FES	1.000000	7
27095	TRAPPC3	1.000000	833
4627	MYH9	1.000000	391
56147	PCDHA1	1.000000	56
8087	FXR1	1.000000	1804
5685	PSMA4	1.000000	1757
84547	PGBD1	1.000000	8
5443	POMC	1.000000	254
2968	GTF2H4	1.000000	320
8537	BCAS1	1.000000	51
5696	PSMB8	1.000000	338
4482	MSRA	1.000000	30
468	ATF4	1.000000	416
4761	NEUROD2	1.000000	1892
5376	PMP22	1.000000	559
6911	TBX6	1.000000	1545
1739	DLG1	1.000000	1346
8099	CDK2AP1	1.000000	491
5595	MAPK3	1.000000	294
1742	DLG4	1.000000	733
9839	ZEB2	1.000000	325
29123	ANKRD11	1.000000	241
22864	R3HDM2	1.000000	119
6326	SCN2A	1.000000	128
6942	TCF20	1.000000	470
50807	ASAP1	1.000000	348
1806	DPYD	1.000000	463
23081	KDM4C	1.000000	251
5496	PPM1G	1.000000	866
83857	TMTC1	1.000000	58
3280	HES1	1.000000	148
826	CAPNS1	1.000000	1102
57188	ADAMTSL3	1.000000	638
9892	SNAP91	1.000000	54
2869	GRK5	1.000000	547
9993	DGCR2	1.000000	229
4038	LRP4	1.000000	185
23345	SYNE1	1.000000	491
55964	SEPT3	1.000000	59
7416	VDAC1	1.000000	1142
25797	QPCT	1.000000	17
4130	MAP1A	1.000000	1744
64781	CERK	1.000000	143
6720	SREBF1	1.000000	180
5305	PIP4K2A	1.000000	98
9326	ZNHIT3	1.000000	1269
7531	YWHAE	1.000000	642
85464	SSH2	1.000000	169
387032	ZKSCAN4	1.000000	16
5531	PPP4C	1.000000	696
8831	SYNGAP1	1.000000	277
361	AQP4	1.000000	20
5045	FURIN	1.000000	404
55937	APOM	1.000000	311
4521	NUDT1	1.000000	870
445329	SULT1A4	1.000000	375
7148	TNXB	1.000000	1372
4045	LSAMP	1.000000	395
4122	MAN2A2	1.000000	413
6925	TCF4	1.000000	554
55011	PIH1D1	1.000000	585
24149	ZNF318	1.000000	560
23513	SCRIB	1.000000	629
7122	CLDN5	1.000000	37
57142	RTN4	1.000000	887
83746	L3MBTL2	1.000000	132
440822	PIWIL3	1.000000	2
377	ARF3	1.000000	944
5155	PDGFB	1.000000	1747
211	ALAS1	1.000000	508
152330	CNTN4	1.000000	19
80145	THOC7	1.000000	910
54993	ZSCAN2	1.000000	5
25840	METTL7A	1.000000	186
9114	ATP6V0D1	1.000000	883
4713	NDUFB7	1.000000	741
23405	DICER1	1.000000	1456
90952	ESAM	1.000000	49
1292	COL6A2	1.000000	1093
51684	SUFU	1.000000	45
5698	PSMB9	1.000000	447
4035	LRP1	1.000000	878
1496	CTNNA2	1.000000	24
57176	VARS2	1.000000	68
6891	TAP2	1.000000	173
91582	RPS19BP1	1.000000	471
4124	MAN2A1	1.000000	935
114791	TUBGCP5	1.000000	46
9628	RGS6	1.000000	1805
7916	PRRC2A	1.000000	499
1819	DRG2	1.000000	915
23383	MAU2	1.000000	457
6597	SMARCA4	1.000000	1996
2783	GNB2	1.000000	980
23043	TNIK	1.000000	281
203068	TUBB	1.000000	1242
10645	CAMKK2	1.000000	665
83719	YPEL3	1.000000	197
3084	NRG1	1.000000	997
84705	GTPBP3	1.000000	79
50944	SHANK1	1.000000	162
27037	TRMT2A	1.000000	111
2558	GABRA5	1.000000	569
5521	PPP2R2B	1.000000	789
56924	PAK6	1.000000	45
22871	NLGN1	1.000000	121
7917	BAG6	1.000000	813
288	ANK3	1.000000	603
2775	GNAO1	1.000000	1925
51123	ZNF706	1.000000	768
26047	CNTNAP2	1.000000	727
10776	ARPP19	1.000000	1514
79918	SETD6	1.000000	88
54584	GNB1L	1.000000	214
6992	PPP1R11	1.000000	299
55626	AMBRA1	1.000000	41
23245	ASTN2	1.000000	139
283899	INO80E	1.000000	452
5101	PCDH9	1.000000	586
4916	NTRK3	1.000000	3284
1958	EGR1	1.000000	318
64137	ABCG4	1.000000	337
10279	PRSS16	1.000000	21
29119	CTNNA3	1.000000	215
1116	CHI3L1	1.000000	33
23259	DDHD2	1.000000	899
5649	RELN	1.000000	171
2895	GRID2	1.000000	124
124044	SPATA2L	1.000000	87
6595	SMARCA2	1.000000	2104
25921	ZDHHC5	1.000000	512
129684	CNTNAP5	1.000000	2
2913	GRM3	1.000000	97
5142	PDE4B	1.000000	160
7052	TGM2	1.000000	421
4609	MYC	1.000000	556
4343	MOV10	1.000000	52
7037	TFRC	1.000000	788
84166	NLRC5	1.000000	50
4775	NFATC3	1.000000	1120
10554	AGPAT1	1.000000	1106
152	ADRA2C	1.000000	292
91647	ATPAF2	1.000000	363
1385	CREB1	1.000000	1607
7726	TRIM26	1.000000	68
1745	DLX1	1.000000	16
6892	TAPBP	1.000000	783
5813	PURA	1.000000	1164
4066	LYL1	1.000000	53
7150	TOP1	1.000000	1544
1138	CHRNA5	1.000000	85
57510	XPO5	1.000000	918
56134	PCDHAC2	1.000000	19
403	ARL3	1.000000	533
6721	SREBF2	1.000000	578
2824	GPM6B	1.000000	566
177	AGER	1.000000	265
57680	CHD8	1.000000	511
8910	SGCE	1.000000	228
1803	DPP4	1.000000	34
56146	PCDHA2	1.000000	816
9759	HDAC4	1.000000	324
217	ALDH2	1.000000	271
11252	PACSIN2	1.000000	335
5119	CHMP1A	1.000000	494
23019	CNOT1	1.000000	1524
5792	PTPRF	1.000000	553
1586	CYP17A1	1.000000	580
138639	PTPDC1	1.000000	33
7494	XBP1	1.000000	337
2033	EP300	1.000000	520
9315	NREP	1.000000	606
4176	MCM7	1.000000	1836
55628	ZNF407	1.000000	17
6515	SLC2A3	1.000000	318
9508	ADAMTS3	1.000000	114
22827	PUF60	1.000000	1217
55720	TSR1	1.000000	1644
79065	ATG9A	1.000000	424
9070	ASH2L	1.000000	308
6293	VPS52	1.000000	113
55830	GLT8D1	1.000000	1273
4137	MAPT	1.000000	820
2107	ETF1	1.000000	1765
7158	TP53BP1	1.000000	220
5987	TRIM27	1.000000	877
1781	DYNC1I2	1.000000	1272
23208	SYT11	1.000000	274
1128	CHRM1	1.000000	9
929	CD14	1.000000	127
3790	KCNS3	1.000000	29
64067	NPAS3	1.000000	1146
10121	ACTR1A	1.000000	1053
57521	RPTOR	1.000000	9
1500	CTNND1	1.000000	1082
4336	MOBP	1.000000	178
9378	NRXN1	1.000000	1156
4846	NOS3	1.000000	32
57591	MKL1	1.000000	675
3984	LIMK1	1.000000	541
7257	TSNAX	1.000000	1490
6015	RING1	1.000000	259
65078	RTN4R	1.000000	62
9031	BAZ1B	1.000000	283
23616	SH3BP1	1.000000	46
874	CBR3	1.000000	16
9722	NOS1AP	1.000000	925
5708	PSMD2	1.000000	1305
3700	ITIH4	1.000000	295
1856	DVL2	1.000000	510
1463	NCAN	1.000000	330
54820	NDE1	1.000000	164
2260	FGFR1	1.000000	1660
3123	HLA-DRB1	1.000000	93
1788	DNMT3A	1.000000	72
202333	CMYA5	1.000000	8
607	BCL9	1.000000	25
57623	ZFAT	1.000000	2
55111	PLEKHJ1	1.000000	449
8525	DGKZ	1.000000	894
50651	SLC45A1	1.000000	4
10718	NRG3	1.000000	9
23082	PPRC1	1.000000	427
1460	CSNK2B	1.000000	927
3122	HLA-DRA	1.000000	179
6522	SLC4A2	1.000000	632
473	RERE	1.000000	692
54715	RBFOX1	1.000000	507
2562	GABRB3	1.000000	335
79018	GID4	1.000000	38
4204	MECP2	1.000000	882
5725	PTBP1	1.000000	1696
9638	FEZ1	1.000000	770
7422	VEGFA	1.000000	825
81603	TRIM8	1.000000	515
90993	CREB3L1	1.000000	291
9682	KDM4A	1.000000	262
399979	SNX19	1.000000	567
6046	BRD2	1.000000	757
780	DDR1	1.000000	1666
79019	CENPM	1.000000	592
29959	NRBP1	1.000000	279
1616	DAXX	1.000000	172
65125	WNK1	1.000000	773
3119	HLA-DQB1	1.000000	183
10243	GPHN	1.000000	160
7444	VRK2	1.000000	592
28973	MRPS18B	1.000000	2174
3356	HTR2A	1.000000	1168
26051	PPP1R16B	1.000000	36
23236	PLCB1	1.000000	960
55081	IFT57	1.000000	365
406	ARNTL	1.000000	198
3745	KCNB1	1.000000	500
91574	C12orf65	1.000000	64
152007	GLIPR2	1.000000	560
64116	SLC39A8	1.000000	481
80179	MYO19	1.000000	235
516	ATP5MC1	1.000000	1093
64837	KLC2	1.000000	122
55652	SLC48A1	1.000000	199
23411	SIRT1	1.000000	1588
1020	CDK5	1.000000	782
6314	ATXN7	1.000000	148
8448	DOC2A	1.000000	184
81614	NIPA2	1.000000	1045
5243	ABCB1	1.000000	49
1601	DAB2	1.000000	625
55788	LMBRD1	1.000000	473
27087	B3GAT1	1.000000	110
4629	MYH11	1.000000	511
9889	ZBED4	1.000000	632
7434	VIPR2	1.000000	611
23657	SLC7A11	1.000000	395
3109	HLA-DMB	1.000000	87
115677	NOSTRIN	1.000000	3
4842	NOS1	1.000000	1708
6576	SLC25A1	1.000000	811
6804	STX1A	1.000000	220
83943	IMMP2L	1.000000	6
27445	PCLO	1.000000	438
8218	CLTCL1	1.000000	11
6733	SRPK2	1.000000	1110
26470	SEZ6L2	1.000000	530
533	ATP6V0B	1.000000	1241
54832	VPS13C	1.000000	913
1137	CHRNA4	1.000000	1747
8604	SLC25A12	1.000000	875
23584	VSIG2	1.000000	14
2555	GABRA2	1.000000	228
775	CACNA1C	1.000000	280
121665	SPPL3	1.000000	157
6205	RPS11	1.000000	326
80219	COQ10B	1.000000	271
1028	CDKN1C	1.000000	795
9686	VGLL4	1.000000	781
3304	HSPA1B	1.000000	123
80863	PRRT1	1.000000	28
27132	CPNE7	1.000000	955
4784	NFIX	1.000000	312
10125	RASGRP1	1.000000	50
55568	GALNT10	1.000000	323
153830	RNF145	1.000000	63
23774	BRD1	1.000000	921
1501	CTNND2	1.000000	639
2897	GRIK1	1.000000	660
3008	HIST1H1E	1.000000	3
23314	SATB2	1.000000	646
9651	PLCH2	1.000000	138
54805	CNNM2	1.000000	953
253982	ASPHD1	1.000000	327
80352	RNF39	1.000000	176
1786	DNMT1	1.000000	1142
26043	UBXN7	1.000000	1002
57688	ZSWIM6	1.000000	502
1312	COMT	1.000000	853
5144	PDE4D	1.000000	503
205327	C2orf69	1.000000	753
63943	FKBPL	1.000000	18
4978	OPCML	1.000000	663
2566	GABRG2	1.000000	345
154215	NKAIN2	1.000000	97
11056	DDX52	1.000000	349
23039	XPO7	1.000000	677
9905	SGSM2	1.000000	807
7746	ZSCAN9	1.000000	74
5244	ABCB4	1.000000	2
128602	C20orf85	1.000000	2
388948	LINC01118	1.000000	2
27306	HPGDS	1.000000	2
144233	BCDIN3D	1.000000	2
257000	TINCR	1.000000	2
91056	AP5B1	1.000000	2
389396	GLYATL3	1.000000	2
100188011	DIP	1.000000	2
63982	ANO3	1.000000	2
100287898	TTC34	1.000000	2
84643	KIF2B	1.000000	2
1066	CES1	1.000000	2
392862	GRID2IP	1.000000	2
27151	CPAMD8	1.000000	2
148741	ANKRD35	1.000000	2
414301	DDI1	1.000000	2
10178	TENM1	1.000000	2
100129034	LOC100129034	1.000000	2
386758	ZNF582-AS1	1.000000	2
7359	7359	1.000000	2
7195	TRNAG1	1.000000	2
440101	FLJ12825	1.000000	2
100129842	ZNF737	1.000000	2
283143	LINC00900	1.000000	2
79854	LINC00115	1.000000	2
219681	ARMC3	1.000000	2
115273	RAB42	1.000000	2
56311	ANKRD7	0.762120	4
3120	HLA-DQB2	0.751349	4
284244	284244	0.746150	4
10324	KLHL41	0.745353	4
161497	STRC	0.735687	3
285733	285733	0.705584	3
122011	CSNK1A1L	0.704070	3
100130086	HSFX2	0.702076	3
114817	CSPG4P5	0.701560	3
341359	SYT10	0.689320	3
84525	HOPX	0.686189	5
152002	XXYLT1	0.685891	3
153579	BTNL9	0.684269	3
51686	OAZ3	0.682729	3
339010	339010	0.681651	3
388646	GBP7	0.677580	3
164045	HFM1	0.676975	5
140699	MROH8	0.673430	3
135458	HUS1B	0.670851	3
