#DiseaseAUCs	BiologicalProcessAUCs
0.534738	0.690949
0.517489	0.729889
0.531915	0.695508
0.570440	0.713678
0.549577	0.702634
0.562177	0.715062
0.576534	0.754002
0.569855	0.730193
0.545411	0.705066
0.591476	0.757278
0.581560	0.649071
0.553880	0.697028
0.540488	0.669065
0.583557	0.705370
0.532913	0.751672
0.569648	0.720365
0.552916	0.725701
0.582490	0.727997
0.534772	0.721209
0.590994	0.687437
0.602217	0.684127
0.542725	0.685816
0.607795	0.697737
0.588033	0.715096
0.562418	0.705437
0.535082	0.746167
0.552778	0.700642
0.498072	0.739851
0.538628	0.733367
0.560835	0.737589
0.518591	0.680378
0.537699	0.699493
0.533258	0.711381
0.555292	0.732320
0.500344	0.713340
0.556979	0.680682
0.522516	0.702668
0.550678	0.685849
0.521104	0.723539
0.588584	0.730564
0.574434	0.711955
0.524203	0.763728
0.558184	0.687302
0.595263	0.765518
0.521759	0.706045
0.513117	0.686964
0.468051	0.669706
0.543689	0.756028
0.624148	0.749375
0.594127	0.673083
