#Iter	Time	Change
0	0.01	6.077691e+02
1	0.01	2.385279e+02
2	0.01	1.307652e+02
3	0.01	8.245032e+01
4	0.01	5.533270e+01
5	0.01	4.208615e+01
6	0.01	3.534940e+01
7	0.01	3.078011e+01
8	0.01	2.671171e+01
9	0.01	2.307553e+01
10	0.01	1.983883e+01
11	0.01	1.700048e+01
12	0.01	1.453139e+01
13	0.01	1.239856e+01
14	0.01	1.056439e+01
15	0.01	8.991218e+00
16	0.01	7.647351e+00
17	0.01	6.499104e+00
18	0.01	5.522027e+00
19	0.01	4.689027e+00
20	0.01	3.981818e+00
21	0.01	3.379796e+00
22	0.01	2.869352e+00
23	0.01	2.435237e+00
24	0.01	2.067439e+00
25	0.01	1.754729e+00
26	0.01	1.489957e+00
27	0.01	1.264884e+00
28	0.01	1.074363e+00
29	0.01	9.124355e-01
30	0.01	7.753600e-01
31	0.01	6.588749e-01
32	0.01	5.602353e-01
33	0.01	4.764351e-01
34	0.01	4.054174e-01
35	0.01	3.451040e-01
36	0.01	2.939363e-01
37	0.01	2.505076e-01
38	0.01	2.136068e-01
39	0.01	1.823150e-01
40	0.01	1.556720e-01
41	0.01	1.331056e-01
42	0.01	1.138406e-01
43	0.01	9.754865e-02
44	0.01	8.359325e-02
45	0.01	7.181515e-02
46	0.01	6.168350e-02
47	0.01	5.315436e-02
48	0.01	4.577888e-02
49	0.01	3.958985e-02
50	0.01	3.420327e-02
51	0.01	2.970116e-02
52	0.01	2.575180e-02
53	0.01	2.246700e-02
54	0.01	1.955795e-02
55	0.01	1.715280e-02
56	0.01	1.499835e-02
57	0.01	1.322968e-02
58	0.01	1.162397e-02
59	0.01	1.031687e-02
60	0.01	9.111505e-03
61	0.01	8.139511e-03
62	0.01	7.227146e-03
63	0.01	6.499339e-03
64	0.01	5.802360e-03
65	0.01	5.253075e-03
66	0.01	4.715246e-03
67	0.01	4.296975e-03
68	0.01	3.877431e-03
69	0.01	3.555762e-03
70	0.01	3.224729e-03
71	0.01	2.974684e-03
72	0.01	2.710398e-03
73	0.01	2.513794e-03
74	0.01	2.300299e-03
75	0.01	2.143848e-03
76	0.01	1.969370e-03
77	0.01	1.843342e-03
78	0.01	1.699145e-03
79	0.01	1.596387e-03
80	0.01	1.475957e-03
81	0.01	1.391180e-03
82	0.01	1.289609e-03
83	0.01	1.218887e-03
84	0.01	1.132456e-03
85	0.01	1.072838e-03
86	0.01	9.987152e-04
