#DiseaseAUCs	BiologicalProcessAUCs
0.661476	0.700584
0.720553	0.683378
0.670773	0.755660
0.635510	0.724573
0.696052	0.667385
0.683916	0.738589
0.672559	0.684861
0.623466	0.696586
0.588295	0.676370
0.678009	0.707907
0.727926	0.699057
0.649386	0.707727
0.635648	0.698652
0.695594	0.705571
0.674116	0.784546
0.628641	0.760422
0.650669	0.705121
0.642975	0.712444
0.652271	0.727538
0.649432	0.692722
0.687305	0.711096
0.681764	0.707008
0.627450	0.691599
0.645356	0.684142
0.735391	0.743396
0.664178	0.736388
0.657859	0.712444
0.687672	0.684501
0.678009	0.678167
0.705670	0.684951
0.612566	0.719407
0.644578	0.666801
0.707730	0.722821
0.648608	0.731267
0.645539	0.748293
0.672055	0.733917
0.638762	0.756694
0.719912	0.712084
0.620031	0.704627
0.638166	0.714870
0.661019	0.763926
0.674162	0.731626
0.599881	0.712444
0.688496	0.694744
0.675353	0.674978
0.708280	0.628751
0.689091	0.705705
0.628045	0.731042
0.632762	0.707278
0.657080	0.694969
