#DiseaseAUCs	BiologicalProcessAUCs
0.558156	0.733081
0.544011	0.745948
0.614930	0.693409
0.662059	0.674645
0.568636	0.700000
0.590754	0.712614
0.588247	0.680542
0.572398	0.721791
0.574069	0.649007
0.613419	0.705140
0.573394	0.677263
0.608178	0.751056
0.610043	0.692936
0.581174	0.735667
0.602553	0.731662
0.545779	0.754178
0.580595	0.729076
0.584646	0.744749
0.553237	0.756954
0.713078	0.750079
0.554877	0.745002
0.563332	0.711479
0.601974	0.719205
0.520768	0.721381
0.636019	0.746137
0.631357	0.690161
0.548608	0.743646
0.569697	0.720404
0.582878	0.769726
0.661512	0.699369
0.627757	0.713623
0.569729	0.718102
0.639748	0.700725
0.533273	0.705235
0.645085	0.693630
0.551244	0.728603
0.528033	0.709335
0.581753	0.725765
0.600302	0.714696
0.611586	0.732387
0.570147	0.745758
0.633961	0.720782
0.604096	0.647272
0.583264	0.741375
0.558542	0.712930
0.593101	0.658247
0.569118	0.724377
0.571851	0.699432
0.598888	0.742983
0.580499	0.701577
