#EntrezID	Name	Score	Degree
3696	ITGB8	0.990099	647
5500	PPP1CB	0.990099	1316
57530	CGN	0.990099	108
5879	RAC1	0.990099	798
6010	RHO	0.990099	1384
51776	MAP3K20	0.990099	180
5792	PTPRF	0.990099	553
2064	ERBB2	0.990099	883
388	RHOB	0.990099	512
29119	CTNNA3	0.990099	215
7424	VEGFC	0.990099	340
94030	LRRC4B	0.990099	41
1499	CTNNB1	0.990099	101
6777	STAT5B	0.990099	400
1133	CHRM5	0.990099	273
3265	HRAS	0.990099	1233
5154	PDGFA	0.990099	579
3688	ITGB1	0.990099	564
10095	ARPC1B	0.990099	871
8516	ITGA8	0.990099	332
1493	CTLA4	0.990099	17
10092	ARPC5	0.990099	1173
54434	SSH1	0.990099	830
3672	ITGA1	0.990099	12
1128	CHRM1	0.990099	9
914	CD2	0.990099	47
624	BDKRB2	0.990099	21
57644	MYH7B	0.990099	4
2934	GSN	0.990099	585
9087	TMSB4Y	0.990099	7
84612	PARD6B	0.990099	99
2017	CTTN	0.990099	330
83700	JAM3	0.990099	120
1282	COL4A1	0.990099	642
7450	VWF	0.990099	70
5518	PPP2R1A	0.990099	792
88	ACTN2	0.990099	1055
933	CD22	0.990099	426
23136	EPB41L3	0.990099	156
10672	GNA13	0.990099	767
81	ACTN4	0.990099	547
7410	VAV2	0.990099	417
10788	IQGAP2	0.990099	119
7039	TGFA	0.990099	820
4622	MYH4	0.990099	6
2317	FLNB	0.990099	487
85301	COL27A1	0.990099	273
1019	CDK4	0.990099	1475
2263	FGFR2	0.990099	1385
2734	GLG1	0.990099	879
1301	COL11A1	0.990099	129
24146	CLDN15	0.990099	9
5590	PRKCZ	0.990099	413
23562	CLDN14	0.990099	37
3108	HLA-DMA	0.990099	172
2264	FGFR4	0.990099	389
1026	CDKN1A	0.990099	501
10297	APC2	0.990099	1490
4267	CD99	0.990099	612
999	CDH1	0.990099	414
23705	CADM1	0.990099	626
7057	THBS1	0.990099	778
10787	NCKAP1	0.990099	911
9076	CLDN1	0.990099	127
7431	VIM	0.990099	628
26285	CLDN17	0.990099	61
5159	PDGFRB	0.990099	185
28964	GIT1	0.990099	439
6840	SVIL	0.990099	631
3909	LAMA3	0.990099	190
1287	COL4A5	0.990099	517
815	CAMK2A	0.990099	1082
5337	PLD1	0.990099	262
4628	MYH10	0.990099	1373
5290	PIK3CA	0.990099	1436
920	CD4	0.990099	79
3690	ITGB3	0.990099	604
7454	WAS	0.990099	328
3682	ITGAE	0.990099	788
5522	PPP2R2C	0.990099	429
1286	COL4A4	0.990099	339
1072	CFL1	0.990099	400
8515	ITGA10	0.990099	333
3381	IBSP	0.990099	11
9564	BCAR1	0.990099	107
9379	NRXN2	0.990099	792
22798	LAMB4	0.990099	86
9369	NRXN3	0.990099	816
3655	ITGA6	0.990099	673
3683	ITGAL	0.990099	31
5329	PLAUR	0.990099	732
1293	COL6A3	0.990099	131
5728	PTEN	0.990099	946
2035	EPB41	0.990099	336
9542	NRG2	0.990099	132
29851	ICOS	0.990099	11
7414	VCL	0.990099	607
23308	ICOSLG	0.990099	1130
10666	CD226	0.990099	16
4621	MYH3	0.990099	3
2335	FN1	0.990099	484
6693	SPN	0.990099	338
6548	SLC9A1	0.990099	157
5499	PPP1CA	0.990099	1527
54776	PPP1R12C	0.990099	117
3693	ITGB5	0.990099	723
3684	ITGAM	0.990099	192
3680	ITGA9	0.990099	207
51208	CLDN18	0.990099	793
5604	MAP2K1	0.990099	1091
4629	MYH11	0.990099	511
9073	CLDN8	0.990099	6
6709	SPTAN1	0.990099	1115
64101	LRRC4	0.990099	14
23191	CYFIP1	0.990099	647
5797	PTPRM	0.990099	457
84552	PARD6G	0.990099	16
10458	BAIAP2	0.990099	1511
3480	IGF1R	0.990099	1272
3993	LLGL2	0.990099	273
5817	PVR	0.990099	487
4659	PPP1R12A	0.990099	2012
9644	SH3PXD2A	0.990099	266
8936	WASF1	0.990099	191
64398	MPP5	0.990099	560
7094	TLN1	0.990099	374
5293	PIK3CD	0.990099	231
5156	PDGFRA	0.990099	1336
25759	SHC2	0.990099	223
5519	PPP2R1B	0.990099	887
3113	HLA-DPA1	0.990099	204
2065	ERBB3	0.990099	1510
3914	LAMB3	0.990099	303
3996	LLGL1	0.990099	546
5962	RDX	0.990099	935
959	CD40LG	0.990099	29
56924	PAK6	0.990099	45
673	BRAF	0.990099	135
941	CD80	0.990099	764
4690	NCK1	0.990099	1922
4684	NCAM1	0.990099	1083
8777	MPDZ	0.990099	559
80380	PDCD1LG2	0.990099	27
9459	ARHGEF6	0.990099	33
2475	MTOR	0.990099	159
1302	COL11A2	0.990099	1724
55740	ENAH	0.990099	880
1289	COL5A1	0.990099	600
3111	HLA-DOA	0.990099	1744
8531	YBX3	0.990099	185
390	RND3	0.990099	659
5291	PIK3CB	0.990099	621
396	ARHGDIA	0.990099	1387
867	CBL	0.990099	300
4233	MET	0.990099	804
1003	CDH5	0.990099	62
859	CAV3	0.990099	172
10094	ARPC3	0.990099	972
1013	CDH15	0.990099	636
2909	ARHGAP35	0.990099	826
4323	MMP14	0.990099	1125
1366	CLDN7	0.990099	94
29126	CD274	0.990099	3
3112	HLA-DOB	0.990099	33
8573	CASK	0.990099	928
5594	MAPK1	0.990099	1327
284217	LAMA1	0.990099	64
10552	ARPC1A	0.990099	1059
6900	CNTN2	0.990099	693
26047	CNTNAP2	0.990099	727
4638	MYLK	0.990099	446
9223	MAGI1	0.990099	693
5595	MAPK3	0.990099	294
8976	WASL	0.990099	322
5747	PTK2	0.990099	1321
7082	TJP1	0.990099	847
7074	TIAM1	0.990099	707
7060	THBS4	0.990099	127
22808	MRAS	0.990099	44
5605	MAP2K2	0.990099	1052
5581	PRKCE	0.990099	1154
1000	CDH2	0.990099	1003
5599	MAPK8	0.990099	410
4620	MYH2	0.990099	34
4626	MYH8	0.990099	290
5335	PLCG1	0.990099	239
22800	RRAS2	0.990099	1022
5649	RELN	0.990099	171
9414	TJP2	0.990099	416
2885	GRB2	0.990099	524
2037	EPB41L2	0.990099	377
3915	LAMC1	0.990099	1622
8826	IQGAP1	0.990099	1234
5578	PRKCA	0.990099	717
255631	COL24A1	0.990099	4
57555	NLGN2	0.990099	81
1290	COL5A2	0.990099	314
1793	DOCK1	0.990099	474
4685	NCAM2	0.990099	108
6464	SHC1	0.990099	363
4313	MMP2	0.990099	710
257194	NEGR1	0.990099	145
5906	RAP1A	0.990099	828
260425	MAGI3	0.990099	63
6655	SOS2	0.990099	909
5894	RAF1	0.990099	325
5602	MAPK10	0.990099	786
58498	MYL7	0.990099	181
1364	CLDN4	0.990099	180
1292	COL6A2	0.990099	1093
6093	ROCK1	0.990099	1345
56288	PARD3	0.990099	399
25	ABL1	0.990099	516
