#Iter	Time	Change
0	0.02	1.545299e+03
1	0.01	7.244079e+02
2	0.01	5.816609e+02
3	0.01	5.232733e+02
4	0.01	4.574651e+02
5	0.01	4.058864e+02
6	0.01	3.556161e+02
7	0.02	3.142284e+02
8	0.01	2.756172e+02
9	0.01	2.433383e+02
10	0.01	2.137771e+02
11	0.01	1.888291e+02
12	0.01	1.661558e+02
13	0.01	1.469105e+02
14	0.02	1.294926e+02
15	0.02	1.146315e+02
16	0.01	1.011916e+02
17	0.02	8.969224e+01
18	0.02	7.928566e+01
19	0.02	7.036635e+01
20	0.02	6.228513e+01
21	0.01	5.535075e+01
22	0.02	4.905816e+01
23	0.02	4.365428e+01
24	0.02	3.874209e+01
25	0.02	3.452182e+01
26	0.01	3.067847e+01
27	0.01	2.737579e+01
28	0.01	2.436212e+01
29	0.01	2.177239e+01
30	0.01	1.940440e+01
31	0.01	1.736973e+01
32	0.01	1.550518e+01
33	0.01	1.390364e+01
34	0.01	1.243231e+01
35	0.01	1.116906e+01
36	0.01	1.000535e+01
37	0.01	9.006806e+00
38	0.02	8.084258e+00
39	0.01	7.293220e+00
40	0.01	6.560102e+00
41	0.01	5.931995e+00
42	0.01	5.347964e+00
43	0.02	4.848006e+00
44	0.01	4.381570e+00
45	0.01	3.982575e+00
46	0.02	3.609004e+00
47	0.01	3.289699e+00
48	0.02	2.989644e+00
49	0.02	2.733355e+00
50	0.02	2.491620e+00
51	0.01	2.285263e+00
52	0.02	2.089888e+00
53	0.02	1.923180e+00
54	0.02	1.764740e+00
55	0.02	1.629584e+00
56	0.02	1.500642e+00
57	0.02	1.390655e+00
58	0.02	1.285329e+00
59	0.01	1.195469e+00
60	0.02	1.109099e+00
61	0.01	1.035375e+00
62	0.02	9.642620e-01
63	0.02	9.035118e-01
64	0.02	8.447109e-01
65	0.02	7.944209e-01
66	0.02	7.455857e-01
67	0.02	7.037548e-01
68	0.02	6.630099e-01
69	0.02	6.280413e-01
70	0.02	5.938852e-01
71	0.01	5.645016e-01
72	0.02	5.357271e-01
73	0.02	5.109044e-01
74	0.02	4.865406e-01
75	0.02	4.654552e-01
76	0.02	4.447185e-01
77	0.02	4.267066e-01
78	0.02	4.089628e-01
79	0.02	3.934878e-01
80	0.01	3.782223e-01
81	0.01	3.648492e-01
82	0.01	3.516429e-01
83	0.01	3.400180e-01
84	0.01	3.285291e-01
85	0.01	3.183639e-01
86	0.02	3.083126e-01
87	0.01	2.993711e-01
88	0.01	2.905275e-01
89	0.01	2.826160e-01
90	0.01	2.747911e-01
91	0.01	2.677502e-01
92	0.01	2.607876e-01
93	0.01	2.544856e-01
94	0.01	2.482560e-01
95	0.01	2.425838e-01
96	0.01	2.369794e-01
97	0.01	2.318463e-01
98	0.01	2.267777e-01
99	0.02	2.221081e-01
100	0.02	2.175002e-01
101	0.01	2.132308e-01
102	0.01	2.090209e-01
103	0.02	2.050986e-01
104	0.02	2.012337e-01
105	0.02	1.976137e-01
106	0.02	1.940493e-01
107	0.02	1.906938e-01
108	0.02	1.873923e-01
109	0.02	1.842693e-01
110	0.02	1.811985e-01
111	0.01	1.782807e-01
112	0.02	1.754135e-01
113	0.02	1.726776e-01
114	0.02	1.699907e-01
115	0.02	1.674169e-01
116	0.02	1.648904e-01
117	0.02	1.624615e-01
118	0.02	1.600783e-01
119	0.02	1.577796e-01
120	0.02	1.555249e-01
121	0.01	1.533437e-01
122	0.02	1.512048e-01
123	0.02	1.491299e-01
124	0.02	1.470958e-01
125	0.02	1.451178e-01
126	0.02	1.431789e-01
127	0.02	1.412892e-01
128	0.02	1.394371e-01
129	0.02	1.376284e-01
130	0.02	1.358558e-01
131	0.01	1.341216e-01
132	0.01	1.324221e-01
133	0.01	1.307567e-01
134	0.01	1.291245e-01
135	0.01	1.275229e-01
136	0.01	1.259532e-01
137	0.01	1.244108e-01
138	0.01	1.228991e-01
139	0.01	1.214120e-01
140	0.01	1.199542e-01
141	0.01	1.185188e-01
142	0.01	1.171115e-01
143	0.01	1.157247e-01
144	0.01	1.143647e-01
145	0.01	1.130234e-01
146	0.01	1.117079e-01
147	0.01	1.104096e-01
148	0.01	1.091360e-01
149	0.02	1.078784e-01
150	0.01	1.066444e-01
151	0.01	1.054252e-01
152	0.01	1.042287e-01
153	0.01	1.030461e-01
154	0.01	1.018852e-01
155	0.01	1.007373e-01
156	0.02	9.961020e-02
157	0.01	9.849536e-02
158	0.01	9.740054e-02
159	0.01	9.631727e-02
160	0.01	9.525321e-02
161	0.01	9.420010e-02
162	0.01	9.316544e-02
163	0.01	9.214122e-02
164	0.01	9.113470e-02
165	0.01	9.013815e-02
166	0.01	8.915861e-02
167	0.01	8.818861e-02
168	0.01	8.723497e-02
169	0.01	8.629048e-02
170	0.01	8.536172e-02
171	0.01	8.444177e-02
172	0.01	8.353694e-02
173	0.01	8.264062e-02
174	0.01	8.175884e-02
175	0.01	8.088528e-02
176	0.01	8.002572e-02
177	0.01	7.917411e-02
178	0.01	7.833599e-02
179	0.01	7.750558e-02
180	0.01	7.668816e-02
181	0.01	7.587821e-02
182	0.01	7.508079e-02
183	0.01	7.429064e-02
184	0.01	7.351256e-02
185	0.01	7.274155e-02
186	0.01	7.198219e-02
187	0.01	7.122971e-02
188	0.01	7.048846e-02
189	0.01	6.975393e-02
190	0.01	6.903023e-02
191	0.01	6.831309e-02
192	0.01	6.760641e-02
193	0.01	6.690613e-02
194	0.01	6.621595e-02
195	0.01	6.553202e-02
196	0.01	6.485786e-02
197	0.01	6.418979e-02
198	0.01	6.353117e-02
199	0.02	6.287851e-02
200	0.01	6.223498e-02
201	0.01	6.159727e-02
202	0.01	6.096841e-02
203	0.01	6.034524e-02
204	0.01	5.973062e-02
205	0.01	5.912158e-02
206	0.02	5.852082e-02
207	0.02	5.792551e-02
208	0.02	5.733822e-02
209	0.01	5.675626e-02
210	0.01	5.618207e-02
211	0.01	5.561311e-02
212	0.01	5.505168e-02
213	0.01	5.449536e-02
214	0.01	5.394633e-02
215	0.01	5.340232e-02
216	0.02	5.286538e-02
217	0.02	5.233335e-02
218	0.01	5.180818e-02
219	0.01	5.128781e-02
220	0.01	5.077411e-02
221	0.01	5.026511e-02
222	0.01	4.976257e-02
223	0.01	4.926464e-02
224	0.01	4.877298e-02
225	0.01	4.828585e-02
226	0.01	4.780480e-02
227	0.01	4.732818e-02
228	0.01	4.685748e-02
229	0.01	4.639111e-02
230	0.01	4.593049e-02
231	0.01	4.547413e-02
232	0.01	4.502334e-02
233	0.01	4.457672e-02
234	0.01	4.413553e-02
235	0.01	4.369842e-02
236	0.01	4.326659e-02
237	0.01	4.283876e-02
238	0.01	4.241606e-02
239	0.01	4.199729e-02
240	0.01	4.158350e-02
241	0.01	4.117356e-02
242	0.01	4.076847e-02
243	0.01	4.036715e-02
244	0.01	3.997055e-02
245	0.01	3.957765e-02
246	0.01	3.918934e-02
