#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	UNION	Conflict?	Degree
3117	HLA-DQA1	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	133
29119	CTNNA3	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	214
5062	PAK2	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	1376
1128	CHRM1	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	8
4609	MYC	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	555
3108	HLA-DMA	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	171
3109	HLA-DMB	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	86
3115	HLA-DPB1	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	71
85464	SSH2	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	168
3119	HLA-DQB1	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	182
5155	PDGFB	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	1746
7148	TNXB	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	1371
5305	PIP4K2A	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	97
5792	PTPRF	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	552
4629	MYH11	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	510
23191	CYFIP1	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	646
26047	CNTNAP2	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	726
56924	PAK6	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	44
3084	NRG1	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	996
4684	NCAM1	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	1082
3122	HLA-DRA	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	178
9378	NRXN1	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	1155
5595	MAPK3	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	293
3105	HLA-A	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	494
7122	CLDN5	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	36
7082	TJP1	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	846
929	CD14	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	126
1496	CTNNA2	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	23
3123	HLA-DRB1	Positive	0.990099	Positive	0.990099	0.980296	0.990099	NO	92
