#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.549572	0.683517	0.679191
0.583659	0.717870	0.711691
0.562249	0.693248	0.722106
0.546176	0.683784	0.665582
0.569468	0.668285	0.671130
0.514831	0.656537	0.680395
0.578235	0.651032	0.659446
0.542601	0.671391	0.702047
0.554435	0.696731	0.678285
0.521682	0.662161	0.688650
0.537342	0.651092	0.693267
0.570142	0.646371	0.676034
0.529519	0.683978	0.683619
0.523674	0.632526	0.720932
0.525862	0.662042	0.753673
0.565048	0.681740	0.738803
0.578300	0.661117	0.745010
0.519124	0.681298	0.699617
0.552331	0.696544	0.696201
0.549959	0.704605	0.671322
0.559237	0.651022	0.722129
0.565852	0.673026	0.705307
0.543414	0.680429	0.745497
0.589252	0.642780	0.701339
0.546281	0.676175	0.695801
0.557925	0.638438	0.678935
0.589887	0.660907	0.745289
0.532355	0.658883	0.776004
0.572513	0.669536	0.725779
0.548369	0.702427	0.686981
0.534569	0.676503	0.713119
0.568084	0.620643	0.717042
0.558174	0.669992	0.708381
0.571135	0.698685	0.679674
0.582365	0.652600	0.695081
0.525736	0.687869	0.776762
0.590534	0.709541	0.655069
0.566802	0.681865	0.649413
0.539370	0.666311	0.734424
0.581336	0.666643	0.735267
0.563157	0.677910	0.681206
0.563547	0.679366	0.706828
0.509852	0.665377	0.736817
0.535156	0.695838	0.724659
0.561021	0.631466	0.764634
0.561028	0.729224	0.708643
0.581105	0.702189	0.677666
0.581639	0.706530	0.756501
0.563670	0.615967	0.675976
0.549230	0.695570	0.713622
