#Iter	Time	Change
0	0.01	1.786084e+03
1	0.01	6.232597e+02
2	0.01	3.491480e+02
3	0.01	2.493882e+02
4	0.01	1.700828e+02
5	0.01	1.328530e+02
6	0.01	1.040635e+02
7	0.01	9.044741e+01
8	0.01	7.671895e+01
9	0.01	6.811454e+01
10	0.01	5.848020e+01
11	0.01	5.184146e+01
12	0.01	4.463806e+01
13	0.01	3.951867e+01
14	0.01	3.409230e+01
15	0.01	3.018605e+01
16	0.01	2.609829e+01
17	0.01	2.313766e+01
18	0.01	2.005793e+01
19	0.01	1.782153e+01
20	0.01	1.549640e+01
21	0.01	1.380862e+01
22	0.01	1.204740e+01
23	0.01	1.077236e+01
24	0.01	9.432428e+00
25	0.01	8.466712e+00
26	0.01	7.442040e+00
27	0.01	6.708220e+00
28	0.01	5.920633e+00
29	0.01	5.360675e+00
30	0.01	4.751856e+00
31	0.01	4.322418e+00
32	0.01	3.849054e+00
33	0.01	3.517894e+00
34	0.01	3.147415e+00
35	0.01	2.890447e+00
36	0.01	2.598610e+00
37	0.01	2.397861e+00
38	0.01	2.166412e+00
39	0.01	2.008457e+00
40	0.01	1.823652e+00
41	0.01	1.698433e+00
42	0.01	1.549868e+00
43	0.01	1.449824e+00
44	0.01	1.329588e+00
45	0.01	1.249053e+00
46	0.01	1.151092e+00
47	0.01	1.085756e+00
48	0.01	1.005421e+00
49	0.01	9.519356e-01
50	0.01	8.856279e-01
51	0.01	8.414842e-01
52	0.01	7.864138e-01
53	0.01	7.496856e-01
54	0.01	7.036698e-01
55	0.01	6.728686e-01
56	0.01	6.341903e-01
57	0.01	6.081601e-01
58	0.01	5.754632e-01
59	0.01	5.532998e-01
60	0.01	5.255054e-01
61	0.01	5.064970e-01
62	0.01	4.827412e-01
63	0.01	4.663244e-01
64	0.01	4.459127e-01
65	0.01	4.316389e-01
66	0.01	4.140089e-01
67	0.01	4.015179e-01
68	0.01	3.862124e-01
69	0.01	3.752132e-01
70	0.01	3.618588e-01
71	0.01	3.521154e-01
72	0.01	3.404043e-01
73	0.01	3.317238e-01
74	0.01	3.214025e-01
75	0.01	3.136262e-01
76	0.01	3.044848e-01
77	0.01	2.974815e-01
78	0.01	2.893454e-01
79	0.01	2.830063e-01
80	0.01	2.757296e-01
81	0.01	2.699638e-01
82	0.01	2.634243e-01
83	0.01	2.581554e-01
84	0.01	2.522504e-01
85	0.01	2.474141e-01
86	0.01	2.420570e-01
87	0.01	2.375990e-01
