#DiseaseAUCs	BiologicalProcessAUCs
0.767084	0.792613
0.765123	0.809707
0.753579	0.791514
0.704661	0.826282
0.763692	0.760256
0.773556	0.785379
0.749502	0.787821
0.709983	0.772833
0.721060	0.769628
0.684310	0.772802
0.774832	0.772619
0.738518	0.856319
0.765590	0.821459
0.739918	0.801954
0.774707	0.773535
0.776388	0.778632
0.707867	0.805830
0.768266	0.817430
0.738424	0.799542
0.804892	0.716880
0.744305	0.803632
0.758184	0.801221
0.775734	0.821825
0.679083	0.762485
0.725573	0.858242
0.744057	0.802656
0.771814	0.794780
0.702577	0.796947
0.745706	0.800153
0.752583	0.800946
0.749782	0.805739
0.706871	0.819536
0.757904	0.781349
0.708925	0.807326
0.732170	0.778663
0.747822	0.788645
0.731174	0.781685
0.778691	0.793407
0.751338	0.788309
0.721216	0.754579
0.754232	0.752350
0.730583	0.782112
0.753330	0.763034
0.791355	0.847650
0.742563	0.801832
0.751027	0.780220
0.764314	0.806258
0.733881	0.792705
0.693801	0.789225
0.770227	0.808181
