#Iter	Time	Change
0	0.02	2.282130e+03
1	0.01	9.096434e+02
2	0.01	6.982100e+02
3	0.01	5.903262e+02
4	0.01	5.110940e+02
5	0.01	4.453911e+02
6	0.01	3.888457e+02
7	0.01	3.394723e+02
8	0.01	2.966802e+02
9	0.01	2.593475e+02
10	0.01	2.269252e+02
11	0.01	1.986483e+02
12	0.01	1.740448e+02
13	0.01	1.525649e+02
14	0.01	1.338347e+02
15	0.02	1.174599e+02
16	0.02	1.031501e+02
17	0.02	9.062271e+01
18	0.01	7.965445e+01
19	0.01	7.003980e+01
20	0.01	6.160852e+01
21	0.01	5.420932e+01
22	0.01	4.771249e+01
23	0.01	4.200554e+01
24	0.01	3.698940e+01
25	0.01	3.257973e+01
26	0.01	2.870069e+01
27	0.01	2.528848e+01
28	0.01	2.228495e+01
29	0.01	1.964152e+01
30	0.01	1.731351e+01
31	0.01	1.526375e+01
32	0.01	1.345782e+01
33	0.01	1.186719e+01
34	0.01	1.046532e+01
35	0.01	9.230202e+00
36	0.01	8.141360e+00
37	0.01	7.181796e+00
38	0.01	6.335680e+00
39	0.01	5.589859e+00
40	0.01	4.932087e+00
41	0.02	4.352170e+00
42	0.01	3.840629e+00
43	0.01	3.389554e+00
44	0.01	2.991603e+00
45	0.01	2.640632e+00
46	0.01	2.330953e+00
47	0.01	2.057791e+00
48	0.01	1.816733e+00
49	0.01	1.604069e+00
50	0.01	1.416375e+00
51	0.01	1.250764e+00
52	0.01	1.104581e+00
53	0.01	9.755786e-01
54	0.01	8.616946e-01
55	0.01	7.611807e-01
56	0.01	6.724353e-01
57	0.01	5.940972e-01
58	0.01	5.249222e-01
59	0.01	4.638504e-01
60	0.01	4.099148e-01
61	0.01	3.622899e-01
62	0.01	3.202241e-01
63	0.01	2.830743e-01
64	0.01	2.502562e-01
65	0.01	2.212685e-01
66	0.01	1.956569e-01
67	0.01	1.730307e-01
68	0.01	1.530365e-01
69	0.01	1.353697e-01
70	0.01	1.197553e-01
71	0.01	1.059560e-01
72	0.01	9.375757e-02
73	0.01	8.297500e-02
74	0.01	7.344151e-02
75	0.01	6.501282e-02
76	0.01	5.755902e-02
77	0.01	5.096758e-02
78	0.01	4.513727e-02
79	0.01	3.998030e-02
80	0.01	3.541778e-02
81	0.01	3.138120e-02
82	0.01	2.780907e-02
83	0.01	2.464790e-02
84	0.01	2.184973e-02
85	0.01	1.937281e-02
86	0.01	1.717972e-02
87	0.01	1.523786e-02
88	0.01	1.351802e-02
89	0.01	1.199474e-02
90	0.01	1.064521e-02
91	0.01	9.449532e-03
92	0.01	8.389901e-03
93	0.01	7.450756e-03
94	0.01	6.618184e-03
95	0.01	5.880019e-03
96	0.01	5.225385e-03
97	0.01	4.644765e-03
98	0.01	4.129654e-03
99	0.01	3.672602e-03
100	0.01	3.266955e-03
101	0.01	2.906881e-03
102	0.01	2.587172e-03
103	0.01	2.303258e-03
104	0.01	2.051060e-03
105	0.01	1.826997e-03
106	0.01	1.627873e-03
107	0.01	1.450879e-03
108	0.01	1.293508e-03
109	0.01	1.153558e-03
110	0.01	1.029062e-03
111	0.01	9.182906e-04
