#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.595039	0.715986	0.775584
0.591957	0.710333	0.790410
0.594593	0.736003	0.761298
0.589874	0.715291	0.760642
0.577327	0.711479	0.744992
0.574241	0.695323	0.735835
0.592246	0.744139	0.755309
0.572764	0.704442	0.778780
0.570811	0.705954	0.774918
0.576249	0.694282	0.738334
0.627148	0.717304	0.800389
0.556865	0.713174	0.757956
0.608705	0.711446	0.794244
0.604592	0.694050	0.737889
0.597186	0.721772	0.739954
0.596425	0.727994	0.766717
0.566502	0.700160	0.724489
0.598748	0.702703	0.751199
0.597950	0.699297	0.751154
0.638065	0.690133	0.755320
0.576300	0.739127	0.741110
0.601788	0.718599	0.737958
0.603462	0.694319	0.742237
0.573520	0.709088	0.774050
0.591281	0.705448	0.740267
0.590049	0.749293	0.753134
0.584043	0.740715	0.744124
0.599122	0.661005	0.736030
0.642185	0.743998	0.760016
0.635481	0.703708	0.703060
0.564393	0.728413	0.754422
0.622647	0.692290	0.745885
0.582945	0.675899	0.748154
0.612665	0.656262	0.748474
0.627861	0.700558	0.774965
0.588952	0.694979	0.762964
0.604548	0.717069	0.767277
0.610797	0.720938	0.746992
0.597060	0.680259	0.729397
0.589659	0.678448	0.768005
0.625629	0.710819	0.781349
0.595513	0.716048	0.757574
0.594715	0.705280	0.779302
0.603405	0.727548	0.785387
0.597642	0.739041	0.735128
0.546362	0.723864	0.739538
0.608289	0.701908	0.782546
0.604999	0.690518	0.746936
0.587457	0.737535	0.761341
0.614937	0.721003	0.805693
