#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	Conflict?	Degree
3109	HLA-DMB	Positive	1.000000	Positive	1.000000	1.000000	NO	86
90952	ESAM	Positive	1.000000	Positive	1.000000	1.000000	NO	48
3084	NRG1	Positive	1.000000	Positive	1.000000	1.000000	NO	996
56924	PAK6	Positive	1.000000	Positive	1.000000	1.000000	NO	44
4629	MYH11	Positive	1.000000	Positive	1.000000	1.000000	NO	510
5792	PTPRF	Positive	1.000000	Positive	1.000000	1.000000	NO	552
85464	SSH2	Positive	1.000000	Positive	1.000000	1.000000	NO	168
3117	HLA-DQA1	Positive	1.000000	Positive	1.000000	1.000000	NO	133
7422	VEGFA	Positive	1.000000	Positive	1.000000	1.000000	NO	824
3108	HLA-DMA	Positive	1.000000	Positive	1.000000	1.000000	NO	171
1132	CHRM4	Positive	1.000000	Positive	1.000000	1.000000	NO	27
3984	LIMK1	Positive	1.000000	Positive	1.000000	1.000000	NO	540
5521	PPP2R2B	Positive	1.000000	Positive	1.000000	1.000000	NO	788
7082	TJP1	Positive	1.000000	Positive	1.000000	1.000000	NO	846
3105	HLA-A	Positive	1.000000	Positive	1.000000	1.000000	NO	494
29119	CTNNA3	Positive	1.000000	Positive	1.000000	1.000000	NO	214
5305	PIP4K2A	Positive	1.000000	Positive	1.000000	1.000000	NO	97
7148	TNXB	Positive	1.000000	Positive	1.000000	1.000000	NO	1371
3115	HLA-DPB1	Positive	1.000000	Positive	1.000000	1.000000	NO	71
2260	FGFR1	Positive	1.000000	Positive	1.000000	1.000000	NO	1659
929	CD14	Positive	1.000000	Positive	1.000000	1.000000	NO	126
22871	NLGN1	Positive	1.000000	Positive	1.000000	1.000000	NO	120
3119	HLA-DQB1	Positive	1.000000	Positive	1.000000	1.000000	NO	182
5649	RELN	Positive	1.000000	Positive	1.000000	1.000000	NO	170
3107	HLA-C	Positive	1.000000	Positive	1.000000	1.000000	NO	530
1496	CTNNA2	Positive	1.000000	Positive	1.000000	1.000000	NO	23
26047	CNTNAP2	Positive	1.000000	Positive	1.000000	1.000000	NO	726
5595	MAPK3	Positive	1.000000	Positive	1.000000	1.000000	NO	293
4627	MYH9	Positive	1.000000	Positive	1.000000	1.000000	NO	390
5062	PAK2	Positive	1.000000	Positive	1.000000	1.000000	NO	1376
324	APC	Positive	1.000000	Positive	1.000000	1.000000	NO	1123
10718	NRG3	Positive	1.000000	Positive	1.000000	1.000000	NO	8
5155	PDGFB	Positive	1.000000	Positive	1.000000	1.000000	NO	1746
1128	CHRM1	Positive	1.000000	Positive	1.000000	1.000000	NO	8
4684	NCAM1	Positive	1.000000	Positive	1.000000	1.000000	NO	1082
3123	HLA-DRB1	Positive	1.000000	Positive	1.000000	1.000000	NO	92
1460	CSNK2B	Positive	1.000000	Positive	1.000000	1.000000	NO	926
4609	MYC	Positive	1.000000	Positive	1.000000	1.000000	NO	555
