#DiseaseAUCs	BiologicalProcessAUCs
0.611962	0.732448
0.611744	0.751190
0.682817	0.660897
0.613673	0.731380
0.682941	0.651038
0.589681	0.752411
0.629388	0.740537
0.606143	0.705037
0.643951	0.716422
0.648401	0.787637
0.575367	0.740629
0.563480	0.707326
0.613642	0.744628
0.625436	0.744109
0.566499	0.790018
0.647591	0.705189
0.617407	0.750977
0.613206	0.729792
0.590646	0.755739
0.588032	0.715171
0.646658	0.724451
0.669187	0.788645
0.652290	0.699603
0.637727	0.704701
0.622728	0.698962
0.609410	0.733394
0.595563	0.735317
0.675193	0.743132
0.653006	0.678785
0.622542	0.691972
0.639470	0.748810
0.622448	0.701465
0.600541	0.773962
0.665764	0.729121
0.615820	0.763706
0.612491	0.719658
0.604587	0.737332
0.669405	0.764683
0.598830	0.691239
0.547735	0.739896
0.692214	0.739408
0.618185	0.777106
0.630850	0.725122
0.638723	0.758181
0.631721	0.719750
0.609379	0.695726
0.598176	0.739866
0.631970	0.760928
0.624098	0.735226
0.636856	0.738034
