#DiseaseAUCs	BiologicalProcessAUCs
0.687901	0.717026
0.572953	0.741554
0.676223	0.680638
0.699121	0.734052
0.656988	0.743531
0.640822	0.740566
0.655202	0.744519
0.642471	0.710108
0.674116	0.758985
0.598095	0.723495
0.693213	0.734007
0.641509	0.705436
0.648974	0.722102
0.690328	0.731626
0.707043	0.739443
0.628916	0.769093
0.588890	0.763522
0.612704	0.713792
0.604873	0.678212
0.668987	0.735669
0.648608	0.735220
0.639769	0.728571
0.647005	0.745508
0.718905	0.691824
0.667293	0.756334
0.635098	0.741420
0.667247	0.776190
0.651585	0.759164
0.625114	0.741330
0.663034	0.767790
0.640822	0.746631
0.681581	0.744474
0.657080	0.731806
0.657172	0.757996
0.646455	0.750854
0.679566	0.697529
0.687351	0.754133
0.656256	0.756020
0.577990	0.769048
0.610689	0.735265
0.663263	0.761770
0.612704	0.687736
0.642838	0.687466
0.666148	0.736074
0.672513	0.701752
0.652455	0.694295
0.637205	0.684232
0.607254	0.686074
0.667384	0.692093
0.667796	0.730548
