#DiseaseAUCs	BiologicalProcessAUCs
0.709391	0.803083
0.791293	0.794567
0.725759	0.802717
0.734721	0.827167
0.757966	0.793468
0.802029	0.811447
0.752676	0.797650
0.730302	0.793742
0.756410	0.809799
0.750529	0.830739
0.715179	0.770116
0.793409	0.811050
0.761234	0.815629
0.783389	0.788797
0.738113	0.851038
0.766150	0.787576
0.759522	0.835195
0.723114	0.811630
0.708831	0.767918
0.720469	0.800580
0.740042	0.800794
0.721838	0.817827
0.715553	0.801099
0.758869	0.766026
0.741692	0.810348
0.763163	0.764316
0.750778	0.817338
0.722492	0.805281
0.694704	0.795421
0.737708	0.797314
0.733943	0.844048
0.731267	0.796368
0.755912	0.767186
0.754388	0.827747
0.714744	0.781899
0.711445	0.811416
0.763567	0.822405
0.820762	0.806227
0.753236	0.823932
0.717855	0.765293
0.766524	0.839652
0.728000	0.801679
0.736059	0.792705
0.708800	0.813462
0.750996	0.806349
0.771067	0.825672
0.774178	0.825641
0.729773	0.804976
0.739202	0.847192
0.740976	0.832723
