#EntrezID	Name	Score	Degree
3105	HLA-A	1.000000	494
2316	FLNA	1.000000	933
3675	ITGA3	1.000000	402
929	CD14	1.000000	126
1288	COL4A6	1.000000	618
29119	CTNNA3	1.000000	214
5894	RAF1	1.000000	324
2768	GNA12	1.000000	144
2185	PTK2B	1.000000	315
933	CD22	1.000000	425
85366	MYLK2	1.000000	4
57144	PAK5	1.000000	217
26047	CNTNAP2	1.000000	726
2260	FGFR1	1.000000	1659
925	CD8A	1.000000	22
2245	FGD1	1.000000	289
5291	PIK3CB	1.000000	620
5520	PPP2R2A	1.000000	848
3912	LAMB1	1.000000	611
3678	ITGA5	1.000000	607
9459	ARHGEF6	1.000000	32
5156	PDGFRA	1.000000	1335
3135	HLA-G	1.000000	382
10552	ARPC1A	1.000000	1058
55742	PARVA	1.000000	428
79784	MYH14	1.000000	966
2932	GSK3B	1.000000	481
207	AKT1	1.000000	799
369	ARAF	1.000000	249
6401	SELE	1.000000	6
4660	PPP1R12B	1.000000	368
4633	MYL2	1.000000	46
9379	NRXN2	1.000000	791
25	ABL1	1.000000	515
3106	HLA-B	1.000000	672
3693	ITGB5	1.000000	722
10095	ARPC1B	1.000000	870
5923	RASGRF1	1.000000	1025
3688	ITGB1	1.000000	563
7431	VIM	1.000000	627
1460	CSNK2B	1.000000	926
7424	VEGFC	1.000000	339
29780	PARVB	1.000000	324
3691	ITGB4	1.000000	1319
5580	PRKCD	1.000000	140
7143	TNR	1.000000	1082
10672	GNA13	1.000000	766
50855	PARD6A	1.000000	211
3381	IBSP	1.000000	10
3993	LLGL2	1.000000	272
8506	CNTNAP1	1.000000	216
5335	PLCG1	1.000000	238
56288	PARD3	1.000000	398
3117	HLA-DQA1	1.000000	133
50848	F11R	1.000000	512
7422	VEGFA	1.000000	824
1285	COL4A3	1.000000	1648
2037	EPB41L2	1.000000	376
1302	COL11A2	1.000000	1723
81624	DIAPH3	1.000000	66
5516	PPP2CB	1.000000	982
5728	PTEN	1.000000	945
63923	TNN	1.000000	124
1978	EIF4EBP1	1.000000	609
4684	NCAM1	1.000000	1082
94030	LRRC4B	1.000000	40
5792	PTPRF	1.000000	552
2149	F2R	1.000000	342
8440	NCK2	1.000000	95
2263	FGFR2	1.000000	1384
3265	HRAS	1.000000	1232
93408	MYL10	1.000000	302
8174	MADCAM1	1.000000	769
1026	CDKN1A	1.000000	500
6093	ROCK1	1.000000	1344
3371	TNC	1.000000	351
23396	PIP5K1C	1.000000	640
8874	ARHGEF7	1.000000	850
3696	ITGB8	1.000000	646
4318	MMP9	1.000000	123
25759	SHC2	1.000000	222
10092	ARPC5	1.000000	1172
6777	STAT5B	1.000000	399
2036	EPB41L1	1.000000	463
6614	SIGLEC1	1.000000	184
1730	DIAPH2	1.000000	321
2035	EPB41	1.000000	335
10686	CLDN16	1.000000	2
389	RHOC	1.000000	180
1131	CHRM3	1.000000	32
23114	NFASC	1.000000	982
81873	ARPC5L	1.000000	1470
1291	COL6A1	1.000000	1328
4638	MYLK	1.000000	445
1072	CFL1	1.000000	399
26999	CYFIP2	1.000000	559
88	ACTN2	1.000000	1054
9223	MAGI1	1.000000	692
6198	RPS6KB1	1.000000	1381
2534	FYN	1.000000	704
4323	MMP14	1.000000	1124
92359	CRB3	1.000000	10
3111	HLA-DOA	1.000000	1743
3112	HLA-DOB	1.000000	32
4609	MYC	1.000000	555
2885	GRB2	1.000000	523
5829	PXN	1.000000	803
9378	NRXN1	1.000000	1155
83660	TLN2	1.000000	238
6654	SOS1	1.000000	797
3680	ITGA9	1.000000	206
3134	HLA-F	1.000000	448
5295	PIK3R1	1.000000	746
8735	MYH13	1.000000	101
5609	MAP2K7	1.000000	722
5579	PRKCB	1.000000	134
5962	RDX	1.000000	934
6010	RHO	1.000000	1383
3725	JUN	1.000000	671
5604	MAP2K1	1.000000	1090
1435	CSF1	1.000000	789
8936	WASF1	1.000000	190
4628	MYH10	1.000000	1372
4267	CD99	1.000000	611
5062	PAK2	1.000000	1376
50509	COL5A3	1.000000	170
149461	CLDN19	1.000000	50
3115	HLA-DPB1	1.000000	71
8515	ITGA10	1.000000	332
5880	RAC2	1.000000	534
2002	ELK1	1.000000	548
9074	CLDN6	1.000000	324
815	CAMK2A	1.000000	1081
9644	SH3PXD2A	1.000000	265
3107	HLA-C	1.000000	530
4627	MYH9	1.000000	390
3913	LAMB2	1.000000	1050
9019	MPZL1	1.000000	757
858	CAV2	1.000000	620
9369	NRXN3	1.000000	815
2065	ERBB3	1.000000	1509
7074	TIAM1	1.000000	706
7094	TLN1	1.000000	373
624	BDKRB2	1.000000	20
1272	CNTN1	1.000000	428
1286	COL4A4	1.000000	338
374	AREG	1.000000	22
1002	CDH4	1.000000	1003
10451	VAV3	1.000000	146
3683	ITGAL	1.000000	30
3682	ITGAE	1.000000	787
4626	MYH8	1.000000	289
1311	COMP	1.000000	43
390	RND3	1.000000	658
25945	NECTIN3	1.000000	332
7454	WAS	1.000000	327
5521	PPP2R2B	1.000000	788
85301	COL27A1	1.000000	272
926	CD8B	1.000000	83
9073	CLDN8	1.000000	5
5581	PRKCE	1.000000	1153
5010	CLDN11	1.000000	69
3123	HLA-DRB1	1.000000	92
22801	ITGA11	1.000000	39
55740	ENAH	1.000000	879
1281	COL3A1	1.000000	394
5159	PDGFRB	1.000000	184
2335	FN1	1.000000	483
824	CAPN2	1.000000	294
2261	FGFR3	1.000000	1005
3685	ITGAV	1.000000	1038
8777	MPDZ	1.000000	558
4893	NRAS	1.000000	1015
999	CDH1	1.000000	413
3918	LAMC2	1.000000	154
9080	CLDN9	1.000000	663
5154	PDGFA	1.000000	578
394	ARHGAP5	1.000000	1655
1398	CRK	1.000000	330
84628	NTNG2	1.000000	36
1365	CLDN3	1.000000	104
7039	TGFA	1.000000	819
9475	ROCK2	1.000000	1062
7409	VAV1	1.000000	58
10298	PAK4	1.000000	602
914	CD2	1.000000	46
5599	MAPK8	1.000000	409
817	CAMK2D	1.000000	343
3911	LAMA5	1.000000	791
2324	FLT4	1.000000	91
5293	PIK3CD	1.000000	230
51208	CLDN18	1.000000	792
5058	PAK1	1.000000	94
28964	GIT1	1.000000	438
958	CD40	1.000000	104
5817	PVR	1.000000	486
3681	ITGAD	1.000000	18
10297	APC2	1.000000	1489
3909	LAMA3	1.000000	189
6774	STAT3	1.000000	625
2909	ARHGAP35	1.000000	825
3126	HLA-DRB4	1.000000	85
940	CD28	1.000000	71
5522	PPP2R2C	1.000000	428
3679	ITGA7	1.000000	467
22798	LAMB4	1.000000	85
324	APC	1.000000	1123
5290	PIK3CA	1.000000	1435
3694	ITGB6	1.000000	107
284217	LAMA1	1.000000	63
5582	PRKCG	1.000000	983
1457	CSNK2A1	1.000000	1030
58498	MYL7	1.000000	180
7060	THBS4	1.000000	126
3109	HLA-DMB	1.000000	86
3845	KRAS	1.000000	1650
5305	PIP4K2A	1.000000	97
3914	LAMB3	1.000000	302
823	CAPN1	1.000000	790
84612	PARD6B	1.000000	98
673	BRAF	1.000000	134
103910	MYL12B	1.000000	268
23533	PIK3R5	1.000000	871
1499	CTNNB1	1.000000	100
868	CBLB	1.000000	707
7114	TMSB4X	1.000000	219
57555	NLGN2	1.000000	80
4359	MPZ	1.000000	75
10788	IQGAP2	1.000000	118
4301	AFDN	1.000000	312
1132	CHRM4	1.000000	27
54413	NLGN3	1.000000	284
1495	CTNNA1	1.000000	1147
10319	LAMC3	1.000000	79
1284	COL4A2	1.000000	913
4659	PPP1R12A	1.000000	2011
1366	CLDN7	1.000000	93
6840	SVIL	1.000000	630
27	ABL2	1.000000	277
5500	PPP1CB	1.000000	1315
388	RHOB	1.000000	511
1129	CHRM2	1.000000	101
4690	NCK1	1.000000	1921
85464	SSH2	1.000000	168
7040	TGFB1	1.000000	1041
9564	BCAR1	1.000000	106
57644	MYH7B	1.000000	3
22871	NLGN1	1.000000	120
57863	CADM3	1.000000	1009
5063	PAK3	1.000000	114
79837	PIP4K2C	1.000000	100
3910	LAMA4	1.000000	1403
4342	MOS	1.000000	233
859	CAV3	1.000000	171
5921	RASA1	1.000000	1626
7791	ZYX	1.000000	1042
23308	ICOSLG	1.000000	1129
5228	PGF	1.000000	906
9138	ARHGEF1	1.000000	611
8396	PIP4K2B	1.000000	895
4478	MSN	1.000000	607
1493	CTLA4	1.000000	16
1000	CDH2	1.000000	1002
1301	COL11A1	1.000000	128
4625	MYH7	1.000000	56
80310	PDGFD	1.000000	116
3689	ITGB2	1.000000	165
1019	CDK4	1.000000	1474
3384	ICAM2	1.000000	101
8976	WASL	1.000000	321
8516	ITGA8	1.000000	331
137075	CLDN23	1.000000	7
2264	FGFR4	1.000000	388
1399	CRKL	1.000000	772
6464	SHC1	1.000000	362
1027	CDKN1B	1.000000	1171
596	BCL2	1.000000	723
9414	TJP2	1.000000	415
10787	NCKAP1	1.000000	910
7057	THBS1	1.000000	777
5155	PDGFB	1.000000	1746
50649	ARHGEF4	1.000000	1229
6403	SELP	1.000000	172
