#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	UNION	Conflict?	Degree
3115	HLA-DPB1	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	71
387	RHOA	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	727
4629	MYH11	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	510
1496	CTNNA2	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	23
1460	CSNK2B	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	926
929	CD14	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	126
10718	NRG3	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	8
7422	VEGFA	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	824
3105	HLA-A	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	494
7082	TJP1	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	846
3108	HLA-DMA	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	171
5155	PDGFB	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	1746
3107	HLA-C	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	530
4627	MYH9	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	390
5792	PTPRF	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	552
29119	CTNNA3	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	214
4609	MYC	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	555
1398	CRK	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	330
7148	TNXB	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	1371
90952	ESAM	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	48
9378	NRXN1	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	1155
26047	CNTNAP2	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	726
7122	CLDN5	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	36
56924	PAK6	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	44
1803	DPP4	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	33
324	APC	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	1123
5521	PPP2R2B	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	788
4684	NCAM1	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	1082
5649	RELN	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	170
1128	CHRM1	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	8
23191	CYFIP1	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	646
3109	HLA-DMB	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	86
3123	HLA-DRB1	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	92
3119	HLA-DQB1	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	182
1132	CHRM4	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	27
85464	SSH2	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	168
3122	HLA-DRA	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	178
3084	NRG1	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	996
1292	COL6A2	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	1092
2260	FGFR1	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	1659
3117	HLA-DQA1	Positive	0.500000	Positive	0.500000	0.250000	0.500000	NO	133
