#DiseaseAUCs	BiologicalProcessAUCs
0.623089	0.753387
0.678907	0.822159
0.664392	0.807292
0.661732	0.776206
0.666699	0.839730
0.670031	0.801854
0.708385	0.777243
0.674485	0.808738
0.687878	0.770643
0.686212	0.807952
0.675831	0.802515
0.641129	0.776929
0.656093	0.814993
0.708065	0.824705
0.695280	0.781832
0.687943	0.841081
0.623282	0.770706
0.690730	0.773157
0.678074	0.810121
0.700022	0.745749
0.742734	0.804275
0.675030	0.809021
0.699478	0.821499
0.712359	0.747792
0.693262	0.795002
0.706687	0.780952
0.687526	0.764042
0.645038	0.827503
0.671121	0.826120
0.656317	0.792802
0.657503	0.797926
0.626935	0.830552
0.681823	0.812070
0.675542	0.797297
0.714634	0.802546
0.646000	0.778344
0.617835	0.837247
0.678298	0.795757
0.693870	0.802169
0.731039	0.777558
0.644622	0.770423
0.733058	0.801320
0.712807	0.784818
0.637188	0.804620
0.706527	0.826088
0.696274	0.817507
0.654074	0.777935
0.670448	0.801320
0.694415	0.819488
0.668942	0.771994
