#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.556417	0.665910	0.777789
0.536979	0.686279	0.755013
0.571960	0.666143	0.760326
0.592430	0.704425	0.747868
0.581779	0.667252	0.738252
0.558420	0.717512	0.782048
0.571951	0.677431	0.788342
0.564124	0.673044	0.741877
0.544195	0.666431	0.762536
0.575810	0.715514	0.763092
0.567477	0.684729	0.754929
0.537130	0.691967	0.743214
0.583072	0.684408	0.776596
0.588333	0.699009	0.758961
0.529727	0.652518	0.750892
0.572426	0.701992	0.753862
0.569091	0.682775	0.743359
0.569827	0.695453	0.747866
0.534270	0.712822	0.749636
0.550763	0.683895	0.732176
0.567033	0.707135	0.741144
0.553331	0.711741	0.735141
0.561803	0.685236	0.723932
0.542212	0.690949	0.749141
0.593400	0.688404	0.770121
0.545903	0.698860	0.730659
0.560493	0.698226	0.766171
0.596889	0.701403	0.747518
0.568812	0.675254	0.780039
0.530741	0.663865	0.786761
0.560335	0.659224	0.760774
0.568294	0.676912	0.691892
0.549996	0.676899	0.776352
0.575133	0.699329	0.755072
0.546371	0.651354	0.730427
0.529612	0.675428	0.736348
0.544322	0.685590	0.760455
0.575610	0.682096	0.767596
0.588717	0.675737	0.758988
0.593144	0.722487	0.751241
0.545142	0.638869	0.765909
0.588092	0.674605	0.716735
0.567324	0.674295	0.770060
0.543327	0.658472	0.798288
0.509982	0.687622	0.740109
0.533199	0.647920	0.740459
0.544441	0.668256	0.754693
0.561264	0.689242	0.744669
0.562974	0.687944	0.738662
0.579812	0.694232	0.757507
