#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.578158	0.662119	0.745773
0.596518	0.676054	0.705387
0.577830	0.686170	0.745493
0.574236	0.672499	0.740122
0.558428	0.670425	0.794667
0.551770	0.700359	0.741582
0.583150	0.718851	0.751989
0.589277	0.714520	0.753991
0.553823	0.685104	0.769323
0.574216	0.711798	0.719844
0.589246	0.686913	0.763127
0.562934	0.679333	0.741743
0.590396	0.707605	0.774524
0.559892	0.639740	0.709277
0.538138	0.686126	0.754294
0.589359	0.662298	0.694726
0.564782	0.648673	0.743094
0.599071	0.664030	0.731632
0.580942	0.680843	0.773213
0.577341	0.697055	0.734937
0.558352	0.692218	0.736120
0.511659	0.689477	0.775793
0.575663	0.662429	0.802141
0.568819	0.726962	0.742336
0.552442	0.677984	0.759677
0.583950	0.726337	0.782964
0.533321	0.703625	0.756854
0.592032	0.695179	0.768755
0.561386	0.707617	0.765812
0.577730	0.676641	0.749052
0.566625	0.709682	0.762185
0.552942	0.650819	0.771979
0.586037	0.693611	0.733415
0.530915	0.653593	0.781037
0.564758	0.678059	0.720516
0.554451	0.715411	0.725205
0.629103	0.665060	0.689324
0.558494	0.655312	0.741256
0.572803	0.717312	0.751212
0.586780	0.700494	0.771188
0.569767	0.662678	0.762669
0.565947	0.673800	0.730893
0.566687	0.709284	0.706834
0.550354	0.691995	0.743720
0.592088	0.692742	0.779734
0.531171	0.671124	0.772271
0.573614	0.671947	0.736301
0.557117	0.702777	0.727760
0.538593	0.675927	0.782204
0.586839	0.693165	0.757882
