#EntrezID	Name	Score	Degree
10322	SMYD5	0.090909	88
1739	DLG1	0.090909	1346
3791	KDR	0.090909	84
8364	HIST1H4C	0.090909	388
9378	NRXN1	0.090909	1156
7444	VRK2	0.090909	592
1499	CTNNB1	0.090909	101
114791	TUBGCP5	0.090909	46
4846	NOS3	0.090909	32
1385	CREB1	0.090909	1607
23191	CYFIP1	0.090909	647
1282	COL4A1	0.090909	642
94030	LRRC4B	0.090909	41
9863	MAGI2	0.090909	482
93408	MYL10	0.090909	303
1290	COL5A2	0.090909	314
1781	DYNC1I2	0.090909	1272
64398	MPP5	0.090909	560
4124	MAN2A1	0.090909	935
57502	NLGN4X	0.090909	5
1191	CLU	0.090909	550
81624	DIAPH3	0.090909	67
4130	MAP1A	0.090909	1744
23451	SF3B1	0.090909	1123
9722	NOS1AP	0.090909	925
27037	TRMT2A	0.090909	111
5305	PIP4K2A	0.090909	98
5813	PURA	0.090909	1164
5601	MAPK9	0.090909	1939
5740	PTGIS	0.090909	1124
1946	EFNA5	0.090909	67
8970	HIST1H2BJ	0.090909	4
5599	MAPK8	0.090909	410
214	ALCAM	0.090909	976
7148	TNXB	0.090909	1372
23039	XPO7	0.090909	677
1730	DIAPH2	0.090909	322
516	ATP5MC1	0.090909	1093
8604	SLC25A12	0.090909	875
3134	HLA-F	0.090909	449
6655	SOS2	0.090909	909
396	ARHGDIA	0.090909	1387
3008	HIST1H1E	0.090909	3
29886	SNX8	0.090909	48
9905	SGSM2	0.090909	807
4137	MAPT	0.090909	820
1019	CDK4	0.090909	1475
1133	CHRM5	0.090909	273
10788	IQGAP2	0.090909	119
1143	CHRNB4	0.090909	25
5045	FURIN	0.090909	404
5119	CHMP1A	0.090909	494
3123	HLA-DRB1	0.090909	93
6326	SCN2A	0.090909	128
152	ADRA2C	0.090909	292
57644	MYH7B	0.090909	4
3910	LAMA4	0.090909	1404
80310	PDGFD	0.090909	117
91574	C12orf65	0.090909	64
421	ARVCF	0.090909	1008
1729	DIAPH1	0.090909	351
29126	CD274	0.090909	3
27087	B3GAT1	0.090909	110
5696	PSMB8	0.090909	338
9745	ZNF536	0.090909	128
3356	HTR2A	0.090909	1168
10298	PAK4	0.090909	603
6198	RPS6KB1	0.090909	1382
783	CACNB2	0.090909	740
152007	GLIPR2	0.090909	560
92359	CRB3	0.090909	11
5792	PTPRF	0.090909	553
3276	PRMT1	0.090909	1472
3480	IGF1R	0.090909	1272
1460	CSNK2B	0.090909	927
7010	TEK	0.090909	157
2744	GLS	0.090909	1233
288	ANK3	0.090909	603
23293	SMG6	0.090909	656
9070	ASH2L	0.090909	308
26999	CYFIP2	0.090909	560
3911	LAMA5	0.090909	792
9508	ADAMTS3	0.090909	114
10458	BAIAP2	0.090909	1511
3690	ITGB3	0.090909	604
389125	MUSTN1	0.090909	3
1803	DPP4	0.090909	34
999	CDH1	0.090909	414
5294	PIK3CG	0.090909	17
203068	TUBB	0.090909	1242
1284	COL4A2	0.090909	914
1026	CDKN1A	0.090909	501
257194	NEGR1	0.090909	145
54805	CNNM2	0.090909	953
2185	PTK2B	0.090909	316
7074	TIAM1	0.090909	707
7416	VDAC1	0.090909	1142
5515	PPP2CA	0.090909	1637
65078	RTN4R	0.090909	62
5797	PTPRM	0.090909	457
1002	CDH4	0.090909	1004
4624	MYH6	0.090909	4
55937	APOM	0.090909	311
84628	NTNG2	0.090909	37
2317	FLNB	0.090909	487
5286	PIK3C2A	0.090909	1244
51208	CLDN18	0.090909	793
5879	RAC1	0.090909	798
3084	NRG1	0.090909	997
9138	ARHGEF1	0.090909	612
83660	TLN2	0.090909	239
6522	SLC4A2	0.090909	632
7494	XBP1	0.090909	337
10097	ACTR2	0.090909	1044
1856	DVL2	0.090909	510
6515	SLC2A3	0.090909	318
8174	MADCAM1	0.090909	770
3725	JUN	0.090909	672
11252	PACSIN2	0.090909	335
57689	LRRC4C	0.090909	10
2903	GRIN2A	0.090909	933
3696	ITGB8	0.090909	647
1073	CFL2	0.090909	828
9682	KDM4A	0.090909	262
7040	TGFB1	0.090909	1042
10297	APC2	0.090909	1490
1285	COL4A3	0.090909	1649
23705	CADM1	0.090909	626
2932	GSK3B	0.090909	482
3785	KCNQ2	0.090909	1287
5583	PRKCH	0.090909	230
1394	CRHR1	0.090909	1353
6404	SELPLG	0.090909	251
10743	RAI1	0.090909	112
3684	ITGAM	0.090909	192
29959	NRBP1	0.090909	279
208	AKT2	0.090909	1017
572	BAD	0.090909	1145
88	ACTN2	0.090909	1055
