#DiseaseAUCs	BiologicalProcessAUCs
0.650205	0.775519
0.606547	0.724115
0.653722	0.775855
0.687329	0.758700
0.600573	0.765140
0.593509	0.735348
0.637696	0.776038
0.617470	0.779090
0.661003	0.727656
0.653940	0.754274
0.621515	0.749512
0.641772	0.767521
0.639003	0.787607
0.616443	0.733150
0.682755	0.778480
0.635611	0.761874
0.646067	0.729121
0.594380	0.758333
0.627116	0.768681
0.659292	0.805464
0.672019	0.776893
0.657487	0.774786
0.614171	0.750580
0.623351	0.714469
0.648587	0.730342
0.630321	0.759768
0.657580	0.753327
0.666604	0.746673
0.579195	0.776282
0.647125	0.725366
0.610344	0.768834
0.641368	0.778999
0.639345	0.746306
0.671832	0.779090
0.673201	0.787179
0.613922	0.707326
0.606018	0.812943
0.638381	0.761630
0.656865	0.723443
0.610592	0.773413
0.642333	0.729274
0.583676	0.721734
0.621328	0.763889
0.620270	0.770696
0.587534	0.724298
0.625902	0.793284
0.603249	0.730891
0.581124	0.730800
0.659696	0.746429
0.627365	0.740598
