#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.626173	0.669605	0.651204
0.534839	0.661981	0.641672
0.560339	0.611219	0.671041
0.543962	0.636680	0.615800
0.582752	0.636385	0.613298
0.554912	0.642574	0.612130
0.596304	0.668429	0.679128
0.558901	0.635292	0.629404
0.578146	0.667909	0.639050
0.569245	0.688934	0.622214
0.560456	0.654929	0.649165
0.639234	0.682142	0.639630
0.559041	0.643266	0.644684
0.595762	0.655785	0.657909
0.634514	0.654453	0.641646
0.563951	0.644590	0.615548
0.492613	0.671745	0.667955
0.627029	0.652324	0.628049
0.556347	0.635261	0.617059
0.595050	0.670657	0.601673
0.598195	0.624271	0.612057
0.568320	0.673003	0.686797
0.564028	0.616007	0.658963
0.547494	0.651543	0.679279
0.566579	0.682554	0.627233
0.513365	0.636959	0.654360
0.612896	0.636892	0.635569
0.592544	0.625485	0.631123
0.639419	0.634364	0.614637
0.634222	0.625761	0.607453
0.573752	0.675363	0.620298
0.634109	0.644276	0.632866
0.615205	0.629985	0.612984
0.558549	0.672290	0.641063
0.631933	0.672795	0.633371
0.609928	0.673530	0.659372
0.598439	0.671202	0.630642
0.516302	0.651359	0.643116
0.592976	0.650908	0.632673
0.525499	0.685849	0.622245
0.613063	0.655173	0.611920
0.640610	0.636925	0.642093
0.555481	0.667465	0.639061
0.625670	0.618697	0.635326
0.577847	0.630176	0.678228
0.547322	0.681580	0.641133
0.557656	0.670048	0.618504
0.590032	0.636061	0.649319
0.552118	0.671039	0.679286
0.535850	0.673053	0.666845
