#DiseaseAUCs	BiologicalProcessAUCs
0.657859	0.728706
0.651951	0.783558
0.622916	0.709704
0.685290	0.696945
0.670636	0.648203
0.680848	0.666262
0.710341	0.690296
0.570938	0.731447
0.718401	0.754088
0.697747	0.674663
0.640639	0.671923
0.670361	0.743127
0.616596	0.653684
0.652821	0.718059
0.626259	0.687736
0.676589	0.705436
0.689275	0.723989
0.659461	0.709075
0.695136	0.701168
0.620031	0.678886
0.633770	0.640970
0.696556	0.679111
0.641647	0.667790
0.652363	0.697215
0.691656	0.738320
0.679657	0.710557
0.700403	0.689039
0.680024	0.686792
0.704296	0.744340
0.654699	0.700000
0.700220	0.702336
0.588661	0.732255
0.654973	0.713747
0.718492	0.751482
0.707685	0.689308
0.594935	0.698652
0.639586	0.750314
0.610002	0.725696
0.660606	0.703908
0.632946	0.681626
0.722293	0.737466
0.674711	0.721384
0.659553	0.711725
0.632030	0.660108
0.650577	0.654807
0.644211	0.734412
0.719775	0.674124
0.594935	0.697170
0.659828	0.625247
0.662301	0.730952
