#DiseaseAUCs	BiologicalProcessAUCs
0.632075	0.708535
0.669674	0.723944
0.640594	0.731402
0.652409	0.736343
0.640731	0.710422
0.611834	0.795463
0.663720	0.701662
0.673567	0.778482
0.706402	0.766397
0.623603	0.714870
0.625481	0.753998
0.641738	0.738365
0.686618	0.726999
0.585318	0.755256
0.663583	0.691689
0.662118	0.759524
0.658042	0.760916
0.640365	0.693935
0.676177	0.773091
0.639494	0.739039
0.638258	0.755840
0.661019	0.707098
0.725728	0.752875
0.630198	0.727314
0.680757	0.670485
0.645219	0.692812
0.688725	0.745553
0.620306	0.720440
0.714737	0.698203
0.618428	0.703414
0.652271	0.703774
0.669170	0.730279
0.697380	0.757188
0.629557	0.730234
0.627679	0.753863
0.626855	0.711456
0.672559	0.704492
0.647783	0.708985
0.678833	0.759434
0.672376	0.731222
0.642609	0.750270
0.653508	0.715139
0.644257	0.729739
0.658408	0.729784
0.612200	0.747799
0.690603	0.760063
0.603361	0.673046
0.639128	0.708625
0.648837	0.765229
0.624702	0.755166
