#Iter	Time	Change
0	0.04	9.427303e+02
1	0.04	5.434651e+02
2	0.04	4.551250e+02
3	0.04	3.869192e+02
4	0.04	3.449344e+02
5	0.04	3.007412e+02
6	0.04	2.695354e+02
7	0.04	2.365405e+02
8	0.04	2.128461e+02
9	0.04	1.878011e+02
10	0.04	1.697989e+02
11	0.04	1.506961e+02
12	0.04	1.369922e+02
13	0.04	1.223321e+02
14	0.04	1.118892e+02
15	0.04	1.005757e+02
16	0.04	9.258203e+01
17	0.04	8.380133e+01
18	0.04	7.765465e+01
19	0.04	7.080599e+01
20	0.04	6.606090e+01
21	0.04	6.069270e+01
22	0.04	5.701420e+01
23	0.04	5.278573e+01
24	0.04	4.992221e+01
25	0.04	4.657480e+01
26	0.04	4.433771e+01
27	0.04	4.167171e+01
28	0.04	3.991786e+01
29	0.05	3.778203e+01
30	0.04	3.639601e+01
31	0.04	3.467431e+01
32	0.04	3.357069e+01
33	0.04	3.217459e+01
34	0.04	3.128832e+01
35	0.04	3.014912e+01
36	0.04	2.943058e+01
37	0.04	2.849486e+01
38	0.04	2.790587e+01
39	0.04	2.713195e+01
40	0.04	2.664315e+01
41	0.05	2.599838e+01
42	0.05	2.558729e+01
43	0.04	2.504607e+01
44	0.04	2.469545e+01
45	0.04	2.423758e+01
46	0.04	2.393416e+01
47	0.04	2.354367e+01
48	0.04	2.327721e+01
49	0.04	2.294142e+01
50	0.04	2.270404e+01
51	0.04	2.241285e+01
52	0.04	2.219846e+01
53	0.04	2.194378e+01
54	0.04	2.174770e+01
55	0.04	2.152304e+01
56	0.04	2.134219e+01
57	0.04	2.114180e+01
58	0.04	2.097366e+01
59	0.04	2.079351e+01
60	0.04	2.063618e+01
61	0.04	2.047222e+01
62	0.04	2.032498e+01
63	0.04	2.017359e+01
64	0.04	2.003547e+01
65	0.04	1.989456e+01
66	0.04	1.976397e+01
67	0.04	1.963147e+01
68	0.04	1.950718e+01
69	0.04	1.938134e+01
70	0.04	1.926242e+01
71	0.04	1.914229e+01
72	0.04	1.902799e+01
73	0.04	1.891277e+01
74	0.04	1.880249e+01
75	0.04	1.869152e+01
76	0.04	1.858475e+01
77	0.04	1.847750e+01
78	0.04	1.837383e+01
79	0.04	1.826985e+01
80	0.04	1.816892e+01
81	0.04	1.806784e+01
82	0.04	1.796937e+01
83	0.04	1.787088e+01
84	0.04	1.777462e+01
85	0.04	1.767848e+01
86	0.04	1.758422e+01
87	0.04	1.749018e+01
88	0.04	1.739775e+01
89	0.04	1.730565e+01
90	0.04	1.721489e+01
91	0.04	1.712455e+01
92	0.04	1.703535e+01
93	0.04	1.694664e+01
94	0.04	1.685889e+01
95	0.04	1.677168e+01
96	0.04	1.668530e+01
97	0.04	1.659948e+01
98	0.04	1.651439e+01
99	0.04	1.642989e+01
100	0.04	1.634600e+01
101	0.04	1.626275e+01
