#DiseaseAUCs	BiologicalProcessAUCs
0.755508	0.728846
0.707711	0.781380
0.778940	0.778449
0.755601	0.815690
0.743901	0.757692
0.726039	0.789591
0.741536	0.774145
0.759335	0.760348
0.770662	0.796276
0.738455	0.760653
0.762696	0.776587
0.699371	0.795147
0.726662	0.814652
0.784914	0.796947
0.720283	0.816422
0.755726	0.773718
0.766492	0.787302
0.744523	0.795147
0.719007	0.807784
0.727066	0.784554
0.731765	0.763614
0.777975	0.813095
0.743714	0.795238
0.772623	0.774023
0.774676	0.722802
0.733165	0.817033
0.737366	0.760531
0.742065	0.768651
0.717202	0.807051
0.718478	0.778022
0.715459	0.777930
0.739420	0.810440
0.741660	0.793956
0.740353	0.726709
0.749564	0.784371
0.762260	0.801770
0.742967	0.784005
0.728902	0.772619
0.773556	0.744292
0.766897	0.765415
0.739140	0.724267
0.754823	0.797222
0.742781	0.798168
0.746297	0.768010
0.747448	0.761325
0.730583	0.799939
0.702421	0.782387
0.728062	0.806471
0.800722	0.809493
0.795432	0.761020
