#EntrezID	Name	Score	Degree
129684	CNTNAP5	0.917236	2
348980	HCN1	0.910112	2
389125	MUSTN1	0.861726	3
79922	MRM1	0.855634	3
3008	HIST1H1E	0.847368	3
8970	HIST1H2BJ	0.838799	4
50651	SLC45A1	0.832527	4
259232	NALCN	0.826314	6
57683	ZDBF2	0.822827	4
54993	ZSCAN2	0.811193	5
6770	STAR	0.809476	4
91752	ZNF804A	0.802468	5
84547	PGBD1	0.790356	8
129450	TYW5	0.788241	6
1128	CHRM1	0.785524	9
121256	TMEM132D	0.784874	9
55714	TENM3	0.784075	5
57479	PRR12	0.781927	7
2242	FES	0.778993	7
83943	IMMP2L	0.774409	6
84152	PPP1R1B	0.772008	7
10718	NRG3	0.762951	9
202333	CMYA5	0.757233	8
90139	TSPAN18	0.748497	9
361	AQP4	0.746267	20
152330	CNTN4	0.745009	19
8294	HIST1H4I	0.743962	15
100188011	DIP	0.743595	2
607	BCL9	0.743595	25
3115	HLA-DPB1	0.738993	72
57521	RPTOR	0.736592	9
119391	GSTO2	0.733005	10
8218	CLTCL1	0.732245	11
160851	DGKH	0.729180	18
79153	GDPD3	0.728856	9
55628	ZNF407	0.725299	17
114801	TMEM200A	0.721255	16
23584	VSIG2	0.719900	14
80863	PRRT1	0.718579	28
56134	PCDHAC2	0.717738	19
9892	SNAP91	0.716055	54
1745	DLX1	0.712268	16
9162	DGKI	0.711958	33
203062	TSNARE1	0.711379	13
26051	PPP1R16B	0.711070	36
4482	MSRA	0.711012	30
3790	KCNS3	0.706430	29
1496	CTNNA2	0.705238	24
25797	QPCT	0.705076	17
63943	FKBPL	0.704135	18
1143	CHRNB4	0.703774	25
64478	CSMD1	0.701228	41
56924	PAK6	0.701161	45
5244	ABCB4	0.701108	2
5243	ABCB1	0.701108	49
10279	PRSS16	0.701069	21
26468	LHX6	0.696948	49
1012	CDH13	0.696124	38
51684	SUFU	0.695834	45
7918	GPANK1	0.694519	26
3123	HLA-DRB1	0.694330	93
387032	ZKSCAN4	0.693668	16
84166	NLRC5	0.693134	50
56899	ANKS1B	0.692914	57
64837	KLC2	0.692886	122
25791	NGEF	0.692768	31
3109	HLA-DMB	0.692206	87
9881	TRANK1	0.691428	52
7442	TRPV1	0.691319	26
29886	SNX8	0.690993	48
27087	B3GAT1	0.690931	110
6992	PPP1R11	0.690814	299
4066	LYL1	0.690775	53
83723	FAM57B	0.690453	46
5595	MAPK3	0.690077	294
27037	TRMT2A	0.689503	111
874	CBR3	0.688524	16
56147	PCDHA1	0.688339	56
1803	DPP4	0.687931	34
10125	RASGRP1	0.687735	50
2783	GNB2	0.687651	980
3105	HLA-A	0.687475	495
27306	HPGDS	0.687267	2
199	AIF1	0.687267	224
8379	MAD1L1	0.686628	413
55964	SEPT3	0.686298	59
4900	NRGN	0.686261	47
6293	VPS52	0.685922	113
124044	SPATA2L	0.685743	87
55652	SLC48A1	0.685252	199
7122	CLDN5	0.684885	37
3107	HLA-C	0.684573	531
100287898	TTC34	0.684214	2
389396	GLYATL3	0.684214	2
5531	PPP4C	0.684214	696
1139	CHRNA7	0.684179	49
10322	SMYD5	0.683583	88
4627	MYH9	0.683513	391
4846	NOS3	0.683323	32
6892	TAPBP	0.683257	783
1501	CTNND2	0.683023	639
2913	GRM3	0.683011	97
1116	CHI3L1	0.683000	33
138639	PTPDC1	0.682593	33
9993	DGCR2	0.682556	229
6015	RING1	0.682361	259
5142	PDE4B	0.682313	160
53827	FXYD5	0.682117	748
10075	HUWE1	0.681931	219
6720	SREBF1	0.681787	180
4038	LRP4	0.681649	185
64919	BCL11B	0.681433	73
283899	INO80E	0.680934	452
6660	SOX5	0.680909	116
83857	TMTC1	0.680807	58
6844	VAMP2	0.680636	979
153830	RNF145	0.680325	63
3108	HLA-DMA	0.680313	172
5101	PCDH9	0.680243	586
57533	TBC1D14	0.680065	80
64781	CERK	0.680000	143
79854	LINC00115	0.679987	2
3303	HSPA1A	0.679987	192
5696	PSMB8	0.679700	338
65078	RTN4R	0.679668	62
929	CD14	0.679644	127
90952	ESAM	0.679199	49
5305	PIP4K2A	0.679007	98
10371	SEMA3A	0.678840	174
23616	SH3BP1	0.678831	46
22871	NLGN1	0.678779	121
783	CACNB2	0.678015	740
6326	SCN2A	0.677419	128
55111	PLEKHJ1	0.677417	449
55626	AMBRA1	0.677360	41
2968	GTF2H4	0.677323	320
3304	HSPA1B	0.677058	123
121665	SPPL3	0.676874	157
3122	HLA-DRA	0.676748	179
2823	GPM6A	0.676540	257
7726	TRIM26	0.676416	68
10645	CAMKK2	0.676342	665
85464	SSH2	0.675928	169
775	CACNA1C	0.675854	280
5743	PTGS2	0.675845	203
1191	CLU	0.675721	550
4343	MOV10	0.675645	52
54815	GATAD2A	0.675643	386
6804	STX1A	0.675374	220
11117	EMILIN1	0.675272	114
9638	FEZ1	0.675151	770
3280	HES1	0.675038	148
9682	KDM4A	0.674929	262
115677	NOSTRIN	0.674860	3
3117	HLA-DQA1	0.674800	134
23334	SZT2	0.674730	175
22864	R3HDM2	0.674506	119
3119	HLA-DQB1	0.674469	183
473	RERE	0.674275	692
7746	ZSCAN9	0.674200	74
29123	ANKRD11	0.674194	241
347735	SERINC2	0.674193	187
55011	PIH1D1	0.674066	585
6515	SLC2A3	0.674054	318
8537	BCAS1	0.673781	51
10806	SDCCAG8	0.673585	54
5987	TRIM27	0.673479	877
1958	EGR1	0.673438	318
445329	SULT1A4	0.673422	375
9686	VGLL4	0.673310	781
5414	SEPT4	0.673157	340
6263	RYR3	0.673083	91
23043	TNIK	0.673079	281
11252	PACSIN2	0.672946	335
23513	SCRIB	0.672944	629
57176	VARS2	0.672825	68
4713	NDUFB7	0.672743	741
9378	NRXN1	0.672742	1156
4137	MAPT	0.672738	820
54820	NDE1	0.672688	164
1500	CTNND1	0.672402	1082
4122	MAN2A2	0.672396	413
79018	GID4	0.672192	38
7531	YWHAE	0.672190	642
50807	ASAP1	0.672147	348
83719	YPEL3	0.672114	197
7010	TEK	0.672067	157
51596	CUTA	0.671972	877
6446	SGK1	0.671894	197
27151	CPAMD8	0.671450	2
4035	LRP1	0.671450	878
57188	ADAMTSL3	0.671325	638
1601	DAB2	0.671310	625
5045	FURIN	0.671288	404
9605	VPS9D1	0.671229	274
25840	METTL7A	0.671182	186
2173	FABP7	0.671094	441
211	ALAS1	0.670754	508
5698	PSMB9	0.670666	447
5792	PTPRF	0.670641	553
4684	NCAM1	0.670543	1083
1028	CDKN1C	0.670466	795
6891	TAP2	0.670450	173
1292	COL6A2	0.670378	1093
9586	CREB5	0.670371	89
894	CCND2	0.670357	475
1388	ATF6B	0.670347	127
5725	PTBP1	0.670315	1696
8910	SGCE	0.670282	228
81603	TRIM8	0.670152	515
26470	SEZ6L2	0.670115	530
100129034	LOC100129034	0.670075	2
152007	GLIPR2	0.670075	560
10410	IFITM3	0.670045	387
5376	PMP22	0.670034	559
4978	OPCML	0.670006	663
2550	GABBR1	0.669963	490
4204	MECP2	0.669886	882
5793	PTPRG	0.669880	326
55193	PBRM1	0.669865	232
253980	KCTD13	0.669861	332
29801	ZDHHC8	0.669758	301
468	ATF4	0.669710	416
23208	SYT11	0.669702	274
8831	SYNGAP1	0.669316	277
65125	WNK1	0.669256	773
2869	GRK5	0.669239	547
28996	HIPK2	0.669191	542
83593	RASSF5	0.669041	305
63940	GPSM3	0.668994	162
7158	TP53BP1	0.668964	220
10243	GPHN	0.668855	160
57688	ZSWIM6	0.668465	502
55568	GALNT10	0.668369	323
5649	RELN	0.668328	171
9315	NREP	0.668172	606
55238	SLC38A7	0.668137	372
148741	ANKRD35	0.668033	2
23345	SYNE1	0.668033	491
1616	DAXX	0.667975	172
222068	TMED4	0.667889	271
79600	TCTN1	0.667878	53
2033	EP300	0.667831	520
6314	ATXN7	0.667715	148
780	DDR1	0.667713	1666
1612	DAPK1	0.667673	391
23314	SATB2	0.667671	646
9508	ADAMTS3	0.667611	114
7422	VEGFA	0.667416	825
23286	WWC1	0.667341	418
288	ANK3	0.667187	603
57591	MKL1	0.666961	675
253982	ASPHD1	0.666816	327
10587	TXNRD2	0.666782	194
1946	EFNA5	0.666730	67
23245	ASTN2	0.666635	139
2824	GPM6B	0.666524	566
7359	7359	0.666454	2
19	ABCA1	0.666454	622
154215	NKAIN2	0.666400	97
9374	PPT2	0.666276	418
84705	GTPBP3	0.666271	79
7127	TNFAIP2	0.666187	480
23657	SLC7A11	0.666170	395
85236	HIST1H2BK	0.666119	173
23166	STAB1	0.666064	448
6925	TCF4	0.665817	554
23176	SEPT8	0.665719	460
23774	BRD1	0.665654	921
221545	C6orf136	0.665647	215
23081	KDM4C	0.665617	251
7052	TGM2	0.665269	421
26053	AUTS2	0.665234	447
516	ATP5MC1	0.665196	1093
100129842	ZNF737	0.665146	2
6721	SREBF2	0.665146	578
219681	ARMC3	0.664867	2
8997	KALRN	0.664867	1403
124446	TMEM219	0.664817	172
