#EntrezID	Name	Score	Degree
9075	CLDN2	0.894495	2
91807	MYLK3	0.857303	4
85477	SCIN	0.856470	3
29126	CD274	0.855377	3
4621	MYH3	0.853316	3
10686	CLDN16	0.850706	3
4624	MYH6	0.845533	4
64098	PARVG	0.830456	11
255631	COL24A1	0.828885	4
1950	EGF	0.824518	10
57502	NLGN4X	0.820957	5
9073	CLDN8	0.820563	6
57644	MYH7B	0.818866	4
84552	PARD6G	0.818836	16
89846	FGD3	0.802874	5
85366	MYLK2	0.799585	5
57689	LRRC4C	0.792723	10
100506658	OCLN	0.791622	5
4622	MYH4	0.776763	6
6401	SELE	0.774398	7
3672	ITGA1	0.774240	12
10718	NRG3	0.766323	9
9087	TMSB4Y	0.765176	7
55844	PPP2R2D	0.759853	6
3683	ITGAL	0.759541	31
1128	CHRM1	0.755401	9
374	AREG	0.754754	23
3123	HLA-DRB1	0.753259	93
1493	CTLA4	0.752052	17
3071	NCKAP1L	0.750896	28
3127	HLA-DRB5	0.750039	94
24146	CLDN15	0.748965	9
3381	IBSP	0.744706	11
3115	HLA-DPB1	0.742485	72
29851	ICOS	0.741457	11
92359	CRB3	0.740714	11
5294	PIK3CG	0.739963	17
3689	ITGB2	0.738741	166
3126	HLA-DRB4	0.737622	86
3109	HLA-DMB	0.737535	87
3791	KDR	0.737229	84
7058	THBS2	0.734371	159
925	CD8A	0.733953	23
6402	SELL	0.733367	37
3122	HLA-DRA	0.733220	179
137075	CLDN23	0.732558	8
3125	HLA-DRB3	0.730349	111
245932	DEFB119	0.729121	3
6696	SPP1	0.728584	39
3119	HLA-DQB1	0.728386	183
3059	HCLS1	0.727205	99
624	BDKRB2	0.726675	21
1003	CDH5	0.726543	62
3117	HLA-DQA1	0.726468	134
1293	COL6A3	0.725555	131
7122	CLDN5	0.723954	37
1301	COL11A1	0.723015	129
3113	HLA-DPA1	0.720527	204
5159	PDGFRB	0.720223	185
10398	MYL9	0.719757	280
3108	HLA-DMA	0.719042	172
2069	EREG	0.718188	36
22801	ITGA11	0.718030	40
7450	VWF	0.717880	70
64101	LRRC4	0.717018	14
2191	FAP	0.716875	111
83700	JAM3	0.716789	120
5175	PECAM1	0.716774	174
3371	TNC	0.716127	352
7412	VCAM1	0.715337	104
1131	CHRM3	0.714621	33
6776	STAT5A	0.714552	45
929	CD14	0.713828	127
2277	VEGFD	0.710893	19
1290	COL5A2	0.708896	314
5788	PTPRC	0.707456	152
5336	PLCG2	0.707355	78
9564	BCAR1	0.707187	107
58494	JAM2	0.706886	120
1289	COL5A1	0.706853	600
1282	COL4A1	0.706776	642
1281	COL3A1	0.706741	395
3909	LAMA3	0.706259	190
7409	VAV1	0.705942	59
7408	VASP	0.705368	265
1278	COL1A2	0.705266	410
3681	ITGAD	0.705188	19
3694	ITGB6	0.703925	108
7060	THBS4	0.703477	127
