#EntrezID	Name	Score	Degree
6770	STAR	0.810755	4
129684	CNTNAP5	0.793033	2
348980	HCN1	0.791619	2
389125	MUSTN1	0.766927	3
79922	MRM1	0.758160	3
3008	HIST1H1E	0.754260	3
50651	SLC45A1	0.747521	4
8970	HIST1H2BJ	0.741585	4
84152	PPP1R1B	0.737202	7
57683	ZDBF2	0.736259	4
91752	ZNF804A	0.732698	5
54993	ZSCAN2	0.727417	5
259232	NALCN	0.719615	6
90139	TSPAN18	0.719214	9
121256	TMEM132D	0.717069	9
57479	PRR12	0.714982	7
83943	IMMP2L	0.712757	6
55714	TENM3	0.710435	5
1128	CHRM1	0.710046	9
2242	FES	0.707742	7
10718	NRG3	0.698587	9
129450	TYW5	0.696573	6
84547	PGBD1	0.696499	8
202333	CMYA5	0.689465	8
152330	CNTN4	0.686815	19
3123	HLA-DRB1	0.686509	93
119391	GSTO2	0.685283	10
160851	DGKH	0.683426	18
9162	DGKI	0.683202	33
57521	RPTOR	0.682319	9
1496	CTNNA2	0.678530	24
3109	HLA-DMB	0.678130	87
79153	GDPD3	0.676366	9
114801	TMEM200A	0.675746	16
8294	HIST1H4I	0.674728	15
3115	HLA-DPB1	0.673350	72
8218	CLTCL1	0.670694	11
23584	VSIG2	0.668637	14
56134	PCDHAC2	0.668404	19
55628	ZNF407	0.666748	17
22871	NLGN1	0.666107	121
26468	LHX6	0.664847	49
3790	KCNS3	0.664846	29
607	BCL9	0.661018	25
51684	SUFU	0.660784	45
1012	CDH13	0.660450	38
25791	NGEF	0.659826	31
203062	TSNARE1	0.658944	13
63943	FKBPL	0.658863	18
3108	HLA-DMA	0.658717	172
7918	GPANK1	0.657968	26
26051	PPP1R16B	0.657917	36
83857	TMTC1	0.657877	58
25797	QPCT	0.657738	17
3117	HLA-DQA1	0.657537	134
3122	HLA-DRA	0.656470	179
84166	NLRC5	0.655922	50
80863	PRRT1	0.655890	28
138639	PTPDC1	0.655745	33
3119	HLA-DQB1	0.655322	183
64478	CSMD1	0.654895	41
6293	VPS52	0.654564	113
55964	SEPT3	0.653572	59
929	CD14	0.653528	127
56147	PCDHA1	0.653371	56
1745	DLX1	0.652897	16
9892	SNAP91	0.652402	54
7726	TRIM26	0.652213	68
65078	RTN4R	0.651972	62
1116	CHI3L1	0.651658	33
1139	CHRNA7	0.650294	49
124044	SPATA2L	0.650277	87
4482	MSRA	0.650056	30
874	CBR3	0.649982	16
1740	DLG2	0.649666	130
6660	SOX5	0.648704	116
64837	KLC2	0.648253	122
121665	SPPL3	0.648093	157
7122	CLDN5	0.647900	37
56899	ANKS1B	0.647783	57
10279	PRSS16	0.647643	21
7442	TRPV1	0.647285	26
1616	DAXX	0.646909	172
5243	ABCB1	0.646893	49
29886	SNX8	0.646856	48
6048	RNF5	0.646323	107
4066	LYL1	0.646301	53
5305	PIP4K2A	0.645752	98
29959	NRBP1	0.645612	279
6844	VAMP2	0.644893	979
1958	EGR1	0.644637	318
1191	CLU	0.644469	550
23334	SZT2	0.644435	175
23208	SYT11	0.644164	274
4343	MOV10	0.644097	52
10410	IFITM3	0.644085	387
55626	AMBRA1	0.644007	41
2562	GABRB3	0.643992	335
10125	RASGRP1	0.643891	50
6720	SREBF1	0.643699	180
57533	TBC1D14	0.643195	80
2783	GNB2	0.643165	980
6892	TAPBP	0.643065	783
27087	B3GAT1	0.643024	110
64919	BCL11B	0.642999	73
4204	MECP2	0.642721	882
3105	HLA-A	0.642597	495
5696	PSMB8	0.642457	338
387032	ZKSCAN4	0.642378	16
9881	TRANK1	0.642275	52
23043	TNIK	0.642002	281
2555	GABRA2	0.641939	228
4900	NRGN	0.641917	47
1803	DPP4	0.641869	34
90952	ESAM	0.641625	49
253980	KCTD13	0.641468	332
5414	SEPT4	0.641384	340
3107	HLA-C	0.641324	531
57680	CHD8	0.641322	511
10806	SDCCAG8	0.641306	54
10554	AGPAT1	0.641263	1106
23345	SYNE1	0.641230	491
473	RERE	0.641101	692
11252	PACSIN2	0.641098	335
1788	DNMT3A	0.640967	72
4122	MAN2A2	0.640775	413
226	ALDOA	0.640702	777
5743	PTGS2	0.640642	203
8525	DGKZ	0.640565	894
83723	FAM57B	0.640486	46
56924	PAK6	0.640313	45
83719	YPEL3	0.640201	197
79065	ATG9A	0.640118	424
11117	EMILIN1	0.639784	114
10322	SMYD5	0.639622	88
2869	GRK5	0.639544	547
54487	DGCR8	0.639521	317
9686	VGLL4	0.639454	781
8379	MAD1L1	0.639346	413
55568	GALNT10	0.639313	323
8558	CDK10	0.639295	460
1612	DAPK1	0.639270	391
894	CCND2	0.639241	475
2550	GABBR1	0.639068	490
288	ANK3	0.639003	603
27037	TRMT2A	0.638922	111
26047	CNTNAP2	0.638897	727
1601	DAB2	0.638571	625
3303	HSPA1A	0.638558	192
2823	GPM6A	0.638518	257
2170	FABP3	0.638299	244
9682	KDM4A	0.638298	262
7917	BAG6	0.638279	813
6992	PPP1R11	0.638267	299
6015	RING1	0.638260	259
28996	HIPK2	0.638176	542
9605	VPS9D1	0.638143	274
1028	CDKN1C	0.638127	795
25840	METTL7A	0.638021	186
7746	ZSCAN9	0.637976	74
1460	CSNK2B	0.637937	927
79018	GID4	0.637869	38
57176	VARS2	0.637865	68
5698	PSMB9	0.637737	447
5531	PPP4C	0.637629	696
1856	DVL2	0.637570	510
22864	R3HDM2	0.637465	119
7916	PRRC2A	0.637386	499
5142	PDE4B	0.637340	160
780	DDR1	0.637199	1666
83593	RASSF5	0.637154	305
6522	SLC4A2	0.637118	632
6804	STX1A	0.637105	220
9993	DGCR2	0.637034	229
55652	SLC48A1	0.636735	199
9745	ZNF536	0.636724	128
6721	SREBF2	0.636651	578
3280	HES1	0.636562	148
153830	RNF145	0.636491	63
53827	FXYD5	0.636365	748
5792	PTPRF	0.636304	553
