#DiseaseAUCs	BiologicalProcessAUCs
0.745915	0.917201
0.722554	0.922203
0.765932	0.889194
0.770227	0.873526
0.767364	nan
0.732450	0.972230
0.711974	0.981125
0.731734	0.954670
0.733476	0.909188
0.715584	0.933608
0.766959	0.962704
0.745758	0.948397
0.722959	0.980707
0.669996	0.973397
0.744897	0.975733
0.769884	0.944527
0.770413	0.970887
0.721341	0.962821
0.739015	0.935668
0.775613	0.906339
0.794063	0.910969
0.738845	0.975962
0.722461	0.977564
0.757406	0.990385
0.758931	0.912260
0.777118	0.996528
0.760087	0.955128
0.705757	0.979993
0.738704	0.999542
0.750560	0.853296
0.714867	0.871795
0.728249	0.838644
0.728936	0.984375
0.727004	0.894605
0.736428	0.929487
0.738562	0.973485
0.751027	0.915595
0.718976	0.850962
0.740042	0.979636
0.743279	0.966239
0.748177	0.977564
0.754839	0.974893
0.710564	0.905145
0.764649	0.979487
0.731209	0.926849
0.732201	0.973919
0.780682	0.968349
0.734566	0.899184
0.747604	0.879579
0.747013	0.969017
