#EntrezID	Name	Score	Degree
10718	NRG3	0.835510	9
3123	HLA-DRB1	0.835088	93
3109	HLA-DMB	0.828675	87
4627	MYH9	0.826206	391
1496	CTNNA2	0.824025	24
22871	NLGN1	0.822226	121
3119	HLA-DQB1	0.820361	183
1292	COL6A2	0.819500	1093
5595	MAPK3	0.819274	294
5649	RELN	0.818438	171
90952	ESAM	0.816667	49
3107	HLA-C	0.810851	531
9378	NRXN1	0.807021	1156
23191	CYFIP1	0.804875	647
7148	TNXB	0.801141	1372
5062	PAK2	0.799831	1377
7422	VEGFA	0.797684	825
4629	MYH11	0.796858	511
2260	FGFR1	0.796607	1660
7082	TJP1	0.795963	847
5792	PTPRF	0.795855	553
3084	NRG1	0.795505	997
29119	CTNNA3	0.792827	215
1132	CHRM4	0.790424	28
387	RHOA	0.789587	728
324	APC	0.787200	1124
4609	MYC	0.782942	556
91752	ZNF804A	0.743193	5
389125	MUSTN1	0.743062	3
129684	CNTNAP5	0.735601	2
9075	CLDN2	0.732595	2
50651	SLC45A1	0.732200	4
348980	HCN1	0.729786	2
85366	MYLK2	0.729303	5
64098	PARVG	0.722551	11
6770	STAR	0.721465	4
85477	SCIN	0.721302	3
57644	MYH7B	0.718928	4
29126	CD274	0.713990	3
137075	CLDN23	0.711737	8
1950	EGF	0.709939	10
79922	MRM1	0.708359	3
100506658	OCLN	0.708223	5
202333	CMYA5	0.708102	8
57689	LRRC4C	0.706616	10
4621	MYH3	0.705371	3
57502	NLGN4X	0.701717	5
3672	ITGA1	0.701044	12
255631	COL24A1	0.700204	4
57479	PRR12	0.699918	7
84152	PPP1R1B	0.699336	7
3008	HIST1H1E	0.698412	3
259232	NALCN	0.694723	6
10686	CLDN16	0.694081	3
4624	MYH6	0.692332	4
6401	SELE	0.691450	7
84552	PARD6G	0.691262	16
3071	NCKAP1L	0.690940	28
89846	FGD3	0.690435	5
8970	HIST1H2BJ	0.690129	4
54993	ZSCAN2	0.688097	5
1003	CDH5	0.687423	62
57683	ZDBF2	0.685708	4
9087	TMSB4Y	0.685467	7
3127	HLA-DRB5	0.684004	94
8218	CLTCL1	0.683840	11
3115	HLA-DPB1	0.683250	72
121256	TMEM132D	0.681883	9
152330	CNTN4	0.681535	19
1293	COL6A3	0.681379	131
3683	ITGAL	0.680891	31
2242	FES	0.680771	7
9073	CLDN8	0.680347	6
6696	SPP1	0.679856	39
3117	HLA-DQA1	0.679839	134
3689	ITGB2	0.679712	166
1128	CHRM1	0.679662	9
90139	TSPAN18	0.679145	9
4622	MYH4	0.679025	6
3122	HLA-DRA	0.678865	179
25791	NGEF	0.677668	31
119391	GSTO2	0.676481	10
7450	VWF	0.675022	70
7122	CLDN5	0.674455	37
374	AREG	0.673766	23
3108	HLA-DMA	0.673724	172
84547	PGBD1	0.672236	8
1745	DLX1	0.672176	16
3790	KCNS3	0.671983	29
1282	COL4A1	0.671969	642
3113	HLA-DPA1	0.671313	204
91807	MYLK3	0.671261	4
55714	TENM3	0.670840	5
7412	VCAM1	0.670614	104
57521	RPTOR	0.670026	9
129450	TYW5	0.669705	6
929	CD14	0.669665	127
80310	PDGFD	0.669065	117
3791	KDR	0.668714	84
10398	MYL9	0.668206	280
114801	TMEM200A	0.667734	16
607	BCL9	0.667463	25
1191	CLU	0.667427	550
1131	CHRM3	0.667404	33
22808	MRAS	0.667345	44
26051	PPP1R16B	0.667250	36
3125	HLA-DRB3	0.666919	111
3678	ITGA5	0.666331	608
3679	ITGA7	0.665985	468
5579	PRKCB	0.665646	135
7057	THBS1	0.665550	778
7094	TLN1	0.665005	374
83700	JAM3	0.664975	120
9162	DGKI	0.664917	33
1139	CHRNA7	0.664714	49
361	AQP4	0.664256	20
10410	IFITM3	0.664179	387
2317	FLNB	0.663291	487
6464	SHC1	0.663015	363
389	RHOC	0.662990	181
260425	MAGI3	0.662905	63
1290	COL5A2	0.662486	314
1116	CHI3L1	0.662153	33
6402	SELL	0.661934	37
3135	HLA-G	0.661866	383
64101	LRRC4	0.661225	14
9508	ADAMTS3	0.660760	114
3914	LAMB3	0.660725	303
3371	TNC	0.660579	352
5743	PTGS2	0.660521	203
25797	QPCT	0.660395	17
83943	IMMP2L	0.660352	6
1839	HBEGF	0.660346	406
5154	PDGFA	0.660344	579
83857	TMTC1	0.659761	58
22801	ITGA11	0.659267	40
3381	IBSP	0.659047	11
3059	HCLS1	0.658949	99
2069	EREG	0.658680	36
55844	PPP2R2D	0.658486	6
5829	PXN	0.658451	804
3105	HLA-A	0.658338	495
1493	CTLA4	0.658240	17
5159	PDGFRB	0.658223	185
5175	PECAM1	0.658147	174
7408	VASP	0.658050	265
5243	ABCB1	0.657709	49
1287	COL4A5	0.657456	517
7059	THBS3	0.657247	252
7424	VEGFC	0.657010	340
1311	COMP	0.656699	44
50509	COL5A3	0.656653	171
1289	COL5A1	0.656647	600
5578	PRKCA	0.656486	717
24146	CLDN15	0.656466	9
3909	LAMA3	0.656341	190
4478	MSN	0.655696	608
199	AIF1	0.655404	224
2335	FN1	0.655276	484
2191	FAP	0.655251	111
87	ACTN1	0.654978	793
3126	HLA-DRB4	0.654656	86
3106	HLA-B	0.654548	673
5819	NECTIN2	0.654484	710
1291	COL6A1	0.654300	1329
1281	COL3A1	0.653991	395
1365	CLDN3	0.653942	105
9892	SNAP91	0.653783	54
1740	DLG2	0.653686	130
84166	NLRC5	0.653518	50
5580	PRKCD	0.653475	141
947	CD34	0.653429	335
2064	ERBB2	0.653426	883
6804	STX1A	0.653127	220
7060	THBS4	0.653053	127
11117	EMILIN1	0.653016	114
6263	RYR3	0.652895	91
5880	RAC2	0.652864	535
1958	EGR1	0.652797	318
2185	PTK2B	0.652755	316
56899	ANKS1B	0.652627	57
3133	HLA-E	0.652572	723
2247	FGF2	0.652539	437
27	ABL2	0.652520	278
5335	PLCG1	0.652470	239
3912	LAMB1	0.652270	612
55742	PARVA	0.652237	429
6548	SLC9A1	0.652196	157
2823	GPM6A	0.652162	257
7409	VAV1	0.652073	59
7058	THBS2	0.651925	159
3134	HLA-F	0.651922	449
3694	ITGB6	0.651885	108
1012	CDH13	0.651852	38
5329	PLAUR	0.651701	732
7040	TGFB1	0.651216	1042
2889	RAPGEF1	0.651164	197
624	BDKRB2	0.650998	21
1284	COL4A2	0.650963	914
369	ARAF	0.650504	250
1301	COL11A1	0.650350	129
9745	ZNF536	0.650248	128
56147	PCDHA1	0.650212	56
4900	NRGN	0.650118	47
5294	PIK3CG	0.650080	17
7077	TIMP2	0.650011	787
55628	ZNF407	0.649913	17
9644	SH3PXD2A	0.649644	266
