#EntrezID	Name	Score	Degree
9075	CLDN2	0.326767	2
4621	MYH3	0.322474	3
10686	CLDN16	0.322131	3
29126	CD274	0.321478	3
85477	SCIN	0.321393	3
255631	COL24A1	0.318181	4
57644	MYH7B	0.318115	4
4624	MYH6	0.317594	4
91807	MYLK3	0.317325	4
85366	MYLK2	0.314701	5
89846	FGD3	0.314658	5
57502	NLGN4X	0.314420	5
100506658	OCLN	0.314241	5
4622	MYH4	0.311597	6
9073	CLDN8	0.310783	6
55844	PPP2R2D	0.310236	6
6401	SELE	0.308797	7
9087	TMSB4Y	0.308113	7
137075	CLDN23	0.307162	8
10718	NRG3	0.304772	9
1128	CHRM1	0.304196	9
24146	CLDN15	0.303984	9
64098	PARVG	0.301710	11
57689	LRRC4C	0.301517	10
92359	CRB3	0.301450	11
3381	IBSP	0.300523	11
29851	ICOS	0.299291	11
1950	EGF	0.298641	10
3672	ITGA1	0.297829	12
64101	LRRC4	0.296724	14
10666	CD226	0.294051	16
5294	PIK3CG	0.293272	17
84552	PARD6G	0.292344	16
3681	ITGAD	0.292068	19
1493	CTLA4	0.291653	17
2277	VEGFD	0.290964	19
624	BDKRB2	0.290601	21
374	AREG	0.288933	23
1496	CTNNA2	0.287883	24
925	CD8A	0.287644	23
80380	PDCD1LG2	0.286750	27
3071	NCKAP1L	0.286495	28
1132	CHRM4	0.285949	28
3683	ITGAL	0.285810	31
959	CD40LG	0.285642	29
1131	CHRM3	0.285200	33
9459	ARHGEF6	0.284219	33
1803	DPP4	0.284059	34
2069	EREG	0.284029	36
3695	ITGB7	0.283933	32
3112	HLA-DOB	0.283853	33
128239	IQGAP3	0.283705	36
84628	NTNG2	0.283430	37
4620	MYH2	0.283125	34
6402	SELL	0.283093	37
7122	CLDN5	0.282930	37
22801	ITGA11	0.282864	40
23562	CLDN14	0.282710	37
94030	LRRC4B	0.282683	41
6696	SPP1	0.282668	39
7448	VTN	0.281986	42
1311	COMP	0.281578	44
22808	MRAS	0.281486	44
90952	ESAM	0.281171	49
6776	STAT5A	0.281149	45
56924	PAK6	0.281086	45
4633	MYL2	0.280485	47
149461	CLDN19	0.279953	51
914	CD2	0.279939	47
5588	PRKCQ	0.279640	52
7409	VAV1	0.279507	59
623	BDKRB1	0.279499	56
1003	CDH5	0.279151	62
4625	MYH7	0.279131	57
3676	ITGA4	0.279035	59
260425	MAGI3	0.278921	63
284217	LAMA1	0.278695	64
26285	CLDN17	0.278414	61
3115	HLA-DPB1	0.278201	72
3126	HLA-DRB4	0.278128	86
5336	PLCG2	0.278124	78
7450	VWF	0.278103	70
5010	CLDN11	0.277828	70
29895	MYLPF	0.277754	68
3109	HLA-DMB	0.277750	87
81624	DIAPH3	0.277440	67
940	CD28	0.277439	72
3127	HLA-DRB5	0.277420	94
3791	KDR	0.277238	84
4359	MPZ	0.277070	76
3059	HCLS1	0.277069	99
10319	LAMC3	0.277048	80
920	CD4	0.277043	79
57555	NLGN2	0.277039	81
3125	HLA-DRB3	0.277002	111
3123	HLA-DRB1	0.276954	93
926	CD8B	0.276797	84
5881	RAC3	0.276737	85
1366	CLDN7	0.276702	94
3384	ICAM2	0.276574	102
22798	LAMB4	0.276503	86
7412	VCAM1	0.276337	104
2324	FLT4	0.276275	92
5305	PIP4K2A	0.276210	98
3117	HLA-DQA1	0.276200	134
84612	PARD6B	0.276185	99
79837	PIP4K2C	0.276089	101
958	CD40	0.276024	105
942	CD86	0.276024	127
3687	ITGAX	0.275961	110
80310	PDGFD	0.275954	117
1365	CLDN3	0.275930	105
57530	CGN	0.275864	108
8440	NCK2	0.275848	96
2191	FAP	0.275839	111
9564	BCAR1	0.275789	107
3694	ITGB6	0.275776	108
929	CD14	0.275762	127
23624	CBLC	0.275738	103
58494	JAM2	0.275712	120
54776	PPP1R12C	0.275634	117
1129	CHRM2	0.275612	102
83700	JAM3	0.275611	120
5058	PAK1	0.275586	95
5579	PRKCB	0.275558	135
4685	NCAM2	0.275514	108
5063	PAK3	0.275494	115
1301	COL11A1	0.275494	129
3689	ITGB2	0.275460	166
5175	PECAM1	0.275433	174
1293	COL6A3	0.275418	131
5788	PTPRC	0.275363	152
8735	MYH13	0.275362	102
10627	MYL12A	0.275318	121
9076	CLDN1	0.275293	127
4318	MMP9	0.275239	124
10788	IQGAP2	0.275238	119
1499	CTNNB1	0.275233	101
3119	HLA-DQB1	0.275222	183
22871	NLGN1	0.275210	121
7060	THBS4	0.275189	127
3122	HLA-DRA	0.275074	179
3108	HLA-DMA	0.274956	172
257194	NEGR1	0.274850	145
7058	THBS2	0.274826	159
2768	GNA12	0.274762	145
5580	PRKCD	0.274647	141
3113	HLA-DPA1	0.274647	204
3918	LAMC2	0.274627	155
9542	NRG2	0.274621	132
3684	ITGAM	0.274612	192
10451	VAV3	0.274602	147
63923	TNN	0.274581	125
673	BRAF	0.274440	135
6548	SLC9A1	0.274427	157
50509	COL5A3	0.274388	171
10163	WASF2	0.274333	169
5159	PDGFRB	0.274263	185
23136	EPB41L3	0.274258	156
3385	ICAM3	0.274234	150
1001	CDH3	0.274220	169
85464	SSH2	0.274195	169
2475	MTOR	0.274116	159
389	RHOC	0.274091	181
6614	SIGLEC1	0.274082	185
3909	LAMA3	0.273992	190
5649	RELN	0.273982	171
1364	CLDN4	0.273948	180
6404	SELPLG	0.273946	251
5293	PIK3CD	0.273879	231
27134	TJP3	0.273748	187
3985	LIMK2	0.273741	209
51776	MAP3K20	0.273713	180
8531	YBX3	0.273709	185
8503	PIK3R3	0.273656	207
8394	PIP5K1A	0.273648	186
2889	RAPGEF1	0.273644	197
7114	TMSB4X	0.273612	220
6403	SELP	0.273610	173
8936	WASF1	0.273581	191
859	CAV3	0.273570	172
4636	MYL5	0.273552	212
8506	CNTNAP1	0.273534	217
58498	MYL7	0.273526	181
3680	ITGA9	0.273487	207
5583	PRKCH	0.273474	230
7456	WIPF1	0.273471	262
83660	TLN2	0.273399	239
57144	PAK5	0.273389	218
10398	MYL9	0.273348	280
25759	SHC2	0.273342	223
5337	PLD1	0.273310	262
50855	PARD6A	0.273295	212
7059	THBS3	0.273291	252
22989	MYH15	0.273249	194
9644	SH3PXD2A	0.273235	266
3908	LAMA2	0.273231	343
1290	COL5A2	0.273226	314
85301	COL27A1	0.273214	273
5335	PLCG1	0.273180	239
3371	TNC	0.273171	352
2185	PTK2B	0.273136	316
89	ACTN3	0.273119	208
3914	LAMB3	0.273099	303
3993	LLGL2	0.273081	273
27	ABL2	0.273072	278
7408	VASP	0.273057	265
29119	CTNNA3	0.273057	215
1281	COL3A1	0.273055	395
7424	VEGFC	0.273026	340
1278	COL1A2	0.272975	410
369	ARAF	0.272963	250
4301	AFDN	0.272954	313
824	CAPN2	0.272942	295
7454	WAS	0.272934	328
2017	CTTN	0.272889	330
103910	MYL12B	0.272876	269
53358	SHC3	0.272869	259
2245	FGD1	0.272857	290
2318	FLNC	0.272839	354
3479	IGF1	0.272827	377
55742	PARVA	0.272813	429
4342	MOS	0.272812	234
5595	MAPK3	0.272808	294
25945	NECTIN3	0.272800	333
3135	HLA-G	0.272767	383
947	CD34	0.272759	335
8976	WASL	0.272753	322
4638	MYLK	0.272731	446
1730	DIAPH2	0.272700	322
1839	HBEGF	0.272685	406
3134	HLA-F	0.272683	449
2549	GAB1	0.272682	323
7430	EZR	0.272674	289
3679	ITGA7	0.272655	468
56288	PARD3	0.272648	399
4660	PPP1R12B	0.272647	369
4626	MYH8	0.272643	290
54413	NLGN3	0.272637	285
2247	FGF2	0.272637	437
3675	ITGA3	0.272632	403
867	CBL	0.272627	300
2149	F2R	0.272626	343
29780	PARVB	0.272592	325
999	CDH1	0.272580	414
2335	FN1	0.272580	484
3673	ITGA2	0.272577	457
817	CAMK2D	0.272572	344
7094	TLN1	0.272564	374
5880	RAC2	0.272556	535
6237	RRAS	0.272543	396
5590	PRKCZ	0.272540	413
2037	EPB41L2	0.272532	377
1286	COL4A4	0.272531	339
3383	ICAM1	0.272530	555
6464	SHC1	0.272522	363
93408	MYL10	0.272513	303
1133	CHRM5	0.272501	273
6199	RPS6KB2	0.272500	310
2035	EPB41	0.272495	336
1793	DOCK1	0.272489	474
1289	COL5A1	0.272487	600
4627	MYH9	0.272486	391
4629	MYH11	0.272472	511
1398	CRK	0.272471	331
1729	DIAPH1	0.272458	351
3082	HGF	0.272453	472
3105	HLA-A	0.272451	495
3107	HLA-C	0.272440	531
2321	FLT1	0.272437	456
2264	FGFR4	0.272437	389
1282	COL4A1	0.272433	642
6777	STAT5B	0.272428	400
8516	ITGA8	0.272424	332
7410	VAV2	0.272405	417
2317	FLNB	0.272402	487
5894	RAF1	0.272395	325
2036	EPB41L1	0.272381	464
50848	F11R	0.272376	513
388	RHOB	0.272368	512
1026	CDKN1A	0.272359	501
5154	PDGFA	0.272359	579
857	CAV1	0.272357	604
5797	PTPRM	0.272354	457
4313	MMP2	0.272346	710
3912	LAMB1	0.272337	612
1287	COL4A5	0.272327	517
55970	GNG12	0.272325	481
3678	ITGA5	0.272317	608
6693	SPN	0.272299	338
9074	CLDN6	0.272293	325
55845	BRK1	0.272291	357
5329	PLAUR	0.272290	732
8515	ITGA10	0.272283	333
3688	ITGB1	0.272277	564
5522	PPP2R2C	0.272275	429
5792	PTPRF	0.272269	553
5599	MAPK8	0.272263	410
1277	COL1A1	0.272262	783
7057	THBS1	0.272261	778
9863	MAGI2	0.272254	482
2934	GSN	0.272246	585
5817	PVR	0.272232	487
858	CAV2	0.272230	621
3106	HLA-B	0.272223	673
8777	MPDZ	0.272208	559
1272	CNTN1	0.272206	429
9414	TJP2	0.272192	416
23705	CADM1	0.272182	626
933	CD22	0.272181	426
4478	MSN	0.272181	608
8395	PIP5K1B	0.272180	481
1459	CSNK2A2	0.272176	384
1284	COL4A2	0.272169	914
7431	VIM	0.272162	628
390	RND3	0.272157	659
3133	HLA-E	0.272145	723
60	ACTB	0.272140	350
3696	ITGB8	0.272140	647
71	ACTG1	0.272139	313
28964	GIT1	0.272135	439
3693	ITGB5	0.272133	723
7414	VCL	0.272129	607
10093	ARPC4	0.272125	406
7423	VEGFB	0.272121	473
26999	CYFIP2	0.272117	560
1101	CHAD	0.272105	382
5578	PRKCA	0.272102	717
3674	ITGA2B	0.272088	381
2885	GRB2	0.272084	524
5133	PDCD1	0.272077	367
1072	CFL1	0.272064	400
1288	COL4A6	0.272057	619
25	ABL1	0.272054	516
5770	PTPN1	0.272052	546
7077	TIMP2	0.272050	787
5819	NECTIN2	0.272049	710
81	ACTN4	0.272044	547
4267	CD99	0.272042	612
6840	SVIL	0.272042	631
3690	ITGB3	0.272036	604
3984	LIMK1	0.272033	541
4233	MET	0.272024	804
3645	INSRR	0.272023	385
5170	PDPK1	0.272016	559
5829	PXN	0.272006	804
9138	ARHGEF1	0.272006	612
1292	COL6A2	0.272004	1093
6774	STAT3	0.271993	626
3725	JUN	0.271987	672
7074	TIAM1	0.271986	707
1435	CSF1	0.271982	790
998	CDC42	0.271981	535
2002	ELK1	0.271975	549
87	ACTN1	0.271953	793
2932	GSK3B	0.271950	482
2064	ERBB2	0.271947	883
2534	FYN	0.271943	705
3897	L1CAM	0.271924	777
10298	PAK4	0.271923	603
3911	LAMA5	0.271916	792
3996	LLGL1	0.271914	546
7082	TJP1	0.271911	847
23396	PIP5K1C	0.271907	641
7422	VEGFA	0.271904	825
54434	SSH1	0.271898	830
1000	CDH2	0.271894	1003
54961	SSH3	0.271892	775
7040	TGFB1	0.271882	1042
3913	LAMB2	0.271880	1051
6714	SRC	0.271877	614
596	BCL2	0.271875	724
4897	NRCAM	0.271862	865
23191	CYFIP1	0.271858	647
5228	PGF	0.271856	907
9071	CLDN10	0.271855	513
1291	COL6A1	0.271848	1329
2316	FLNA	0.271830	934
7039	TGFA	0.271827	820
3655	ITGA6	0.271825	673
9223	MAGI1	0.271823	693
9019	MPZL1	0.271821	758
3910	LAMA4	0.271820	1404
5156	PDGFRA	0.271818	1336
10152	ABI2	0.271818	723
3611	ILK	0.271817	774
26047	CNTNAP2	0.271812	727
9369	NRXN3	0.271792	816
7791	ZYX	0.271754	1043
9379	NRXN2	0.271750	792
23365	ARHGEF12	0.271749	690
2909	ARHGAP35	0.271745	826
2260	FGFR1	0.271743	1660
1280	COL2A1	0.271737	685
10095	ARPC1B	0.271736	871
5291	PIK3CB	0.271731	621
23114	NFASC	0.271728	983
923	CD6	0.271726	546
5602	MAPK10	0.271726	786
64398	MPP5	0.271725	560
2261	FGFR3	0.271724	1006
823	CAPN1	0.271722	791
56034	PDGFC	0.271705	1096
55740	ENAH	0.271699	880
6709	SPTAN1	0.271697	1115
3915	LAMC1	0.271695	1622
2734	GLG1	0.271691	879
4323	MMP14	0.271685	1125
5609	MAP2K7	0.271674	723
1399	CRKL	0.271671	773
5295	PIK3R1	0.271671	747
5217	PFN2	0.271668	810
10000	AKT3	0.271663	1404
4609	MYC	0.271659	556
8396	PIP4K2B	0.271653	896
868	CBLB	0.271641	708
