#DiseaseAUCs	BiologicalProcessAUCs
0.743495	0.769597
0.714059	0.794994
0.746359	0.776587
0.737771	0.745123
0.637540	0.803175
0.640995	0.780064
0.692619	0.795818
0.703977	0.796184
0.691312	0.763036
0.738144	0.809432
0.691530	0.792160
0.672983	0.803571
0.736402	0.773388
0.718851	0.798382
0.701923	0.772253
0.691530	0.793864
0.733165	0.765039
0.741194	0.804426
0.672143	0.825122
0.747746	0.773382
0.680016	0.817338
0.727784	0.759768
0.705128	0.808974
0.755819	0.792277
0.686022	0.792247
0.667641	0.828632
0.697524	0.825977
0.708176	0.850161
0.667009	0.789835
0.692681	0.815526
0.725679	0.841941
0.726475	0.839075
0.728311	0.769811
0.705035	0.770437
0.711485	0.770433
0.674271	0.788278
0.725261	0.821987
0.728778	0.797830
0.717326	0.799449
0.694517	0.793284
0.731398	0.849908
0.750691	0.837607
0.725082	0.789404
0.706990	0.760409
0.689417	0.808942
0.695046	0.805696
0.624533	0.810714
0.676687	0.765687
0.735281	0.817369
0.753890	0.770726
