#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	Conflict?	Degree
1292	COL6A2	Positive	0.979466	Positive	0.990886	0.970539	NO	1092
2260	FGFR1	Positive	0.982306	Positive	0.983101	0.965706	NO	1659
3107	HLA-C	Positive	0.967738	Positive	0.978698	0.947123	NO	530
3105	HLA-A	Positive	0.980794	Positive	0.965653	0.947106	NO	494
4684	NCAM1	Positive	0.985702	Positive	0.960732	0.946996	NO	1082
7082	TJP1	Positive	0.973658	Positive	0.971720	0.946123	NO	846
4627	MYH9	Positive	0.967338	Positive	0.972681	0.940911	NO	390
26047	CNTNAP2	Positive	0.990682	Positive	0.949748	0.940899	NO	726
324	APC	Positive	0.988774	Positive	0.947076	0.936444	NO	1123
3084	NRG1	Positive	0.979522	Positive	0.953952	0.934417	NO	996
5792	PTPRF	Positive	0.965563	Positive	0.967441	0.934125	NO	552
1460	CSNK2B	Positive	1.000000	Positive	0.932697	0.932697	NO	926
7422	VEGFA	Positive	0.972086	Positive	0.958890	0.932124	NO	824
5062	PAK2	Positive	0.987639	Positive	0.938299	0.926700	NO	1376
387	RHOA	Positive	0.969633	Positive	0.952856	0.923920	NO	727
5155	PDGFB	Positive	0.965078	Positive	0.955256	0.921896	NO	1746
9378	NRXN1	Positive	0.978634	Positive	0.940834	0.920732	NO	1155
7148	TNXB	Positive	0.969615	Positive	0.944836	0.916128	NO	1371
3123	HLA-DRB1	Positive	0.960442	Positive	0.952840	0.915147	NO	92
4629	MYH11	Positive	0.955382	Positive	0.957027	0.914326	NO	510
3984	LIMK1	Positive	0.960033	Positive	0.952253	0.914195	NO	540
3119	HLA-DQB1	Positive	0.959914	Positive	0.949552	0.911489	NO	182
23191	CYFIP1	Positive	0.972998	Positive	0.931803	0.906643	NO	646
1398	CRK	Positive	0.962391	Positive	0.940758	0.905377	NO	330
3122	HLA-DRA	Positive	0.964353	Positive	0.935058	0.901725	NO	178
5521	PPP2R2B	Positive	0.961956	Positive	0.934890	0.899323	NO	788
3108	HLA-DMA	Positive	0.961487	Positive	0.932763	0.896840	NO	171
4609	MYC	Positive	0.980275	Positive	0.913926	0.895898	NO	555
3115	HLA-DPB1	Positive	0.950657	Positive	0.931929	0.885945	NO	71
5595	MAPK3	Positive	0.962975	Positive	0.919339	0.885301	NO	293
5649	RELN	Positive	0.962100	Positive	0.917125	0.882365	NO	170
3117	HLA-DQA1	Positive	0.947371	Positive	0.920900	0.872434	NO	133
