#trad_AUC	#E1_AUC	Negative_AUC	New_AUC
0.611738	0.754717	0.518348	0.600751
0.646983	0.573585	0.532994	0.628274
0.699012	0.825472	0.522146	0.699899
0.634480	0.632862	0.517634	0.637663
0.673918	0.711321	0.549604	0.635602
0.685147	0.566824	0.545405	0.665964
0.622541	0.757075	0.523074	0.617283
0.677990	0.844340	0.522074	0.678009
0.604663	0.741038	0.499397	0.616184
0.616172	0.701258	0.542921	0.585638
0.666372	0.727463	0.538158	0.643616
0.628854	0.603100	0.519412	0.618749
0.618094	0.573113	0.522626	0.609544
0.683757	0.707547	0.539426	0.672147
0.684508	0.666667	0.550454	0.657446
0.655373	0.732480	0.519965	0.654836
0.662300	0.729363	0.519421	0.656027
0.654949	0.594864	0.524923	0.655248
0.673898	0.696541	0.534501	0.653142
0.719518	0.660377	0.515985	0.726873
0.631097	0.490566	0.525911	0.621588
0.670905	0.469078	0.539462	0.643204
0.634974	0.620283	0.526941	0.619344
0.668680	0.740566	0.527573	0.657355
0.706857	0.701258	0.544206	0.691290
0.659240	0.491509	0.531216	0.651310
0.697549	0.732311	0.512812	0.699258
0.641989	0.587736	0.509419	0.649844
0.681905	0.771226	0.539575	0.667384
0.654643	0.830189	0.535508	0.642609
0.686896	0.817925	0.519419	0.692022
0.700270	0.637736	0.542877	0.687214
0.660245	0.672956	0.524419	0.655752
0.634678	0.546580	0.502255	0.655294
0.654199	0.688005	0.516385	0.653554
0.681610	0.684906	0.527711	0.674437
0.677392	0.658019	0.517947	0.682222
0.665325	0.605795	0.519613	0.664682
0.653309	0.632075	0.512286	0.653737
0.635148	0.836478	0.508945	0.637525
0.683604	0.811321	0.517938	0.682726
0.680675	0.485849	0.528311	0.671918
0.640669	0.383255	0.525667	0.635831
0.650705	0.442049	0.524508	0.642013
0.613047	0.873315	0.523565	0.602308
0.633146	0.650472	0.511208	0.634640
0.588150	0.596698	0.512659	0.585547
0.616872	0.513561	0.542861	0.589165
0.635149	0.643868	0.519730	0.628732
0.673313	0.508255	0.526407	0.661843
0.667324	0.313208	0.529397	0.658225
0.644719	0.841509	0.517824	0.647554
0.638125	0.512579	0.539407	0.616001
0.652576	0.661557	0.521379	0.648470
0.649280	0.602725	0.500733	0.660652
0.687314	0.605346	0.547349	0.666697
0.671148	0.701651	0.561031	0.627358
0.691297	0.780323	0.516283	0.688771
0.607321	0.805660	0.502632	0.623832
0.635181	0.663915	0.544128	0.599423
0.671982	0.611492	0.532177	0.655798
0.675682	0.579403	0.511886	0.676910
0.636643	0.729560	0.509799	0.650027
0.668154	0.695755	0.510965	0.685382
0.679626	0.710916	0.510030	0.697014
0.612902	0.497170	0.518560	0.604415
0.727523	0.739387	0.548218	0.702830
0.653852	0.584906	0.516450	0.655065
0.625023	0.706604	0.535841	0.602125
0.647465	0.819969	0.532391	0.632167
0.621384	0.614256	0.529281	0.607254
0.615862	0.526415	0.536228	0.592141
0.683194	0.637579	0.561088	0.648974
0.672760	0.963836	0.550812	0.637800
0.623836	0.783962	0.555939	0.583623
0.677526	0.772642	0.540637	0.652592
0.691125	0.617925	0.504172	0.702006
0.671865	0.720519	0.546776	0.641555
0.673436	0.876011	0.533901	0.659141
0.684139	0.797170	0.510337	0.703838
0.652309	0.787062	0.489689	0.680070
0.664739	0.709119	0.524767	0.658729
0.607794	0.626415	0.517381	0.602903
0.672500	0.555031	0.512396	0.678925
0.617365	0.815094	0.525580	0.605056
0.631576	0.639151	0.530846	0.610322
0.650292	0.599057	0.524648	0.645952
0.663060	0.716509	0.535299	0.644074
0.638867	0.759434	0.558070	0.599148
0.593457	0.746462	0.535978	0.565030
0.669468	0.681866	0.537542	0.650898
0.695514	0.844340	0.542979	0.681489
0.693632	0.500000	0.528784	0.692297
0.628733	0.796226	0.523460	0.611193
0.637897	0.668042	0.585345	0.567412
0.651497	0.475236	0.526923	0.642425
0.662294	0.769654	0.531257	0.650577
0.632125	0.592453	0.533239	0.612933
0.641744	0.966981	0.543473	0.615131
0.702762	0.656447	0.534839	0.688221
