#trad_AUC	#E1_AUC	Negative_AUC	New_AUC
0.654233	0.505660	0.552709	0.619055
0.671288	0.725472	0.510603	0.682095
0.645360	0.586085	0.536639	0.622592
0.629648	0.611860	0.520813	0.620824
0.683431	0.705189	0.504556	0.701012
0.627694	0.679919	0.490872	0.658608
0.659382	0.548742	0.520950	0.657724
0.640548	0.671580	0.495270	0.662294
0.672485	0.797956	0.509672	0.687303
0.671530	0.783805	0.518262	0.676985
0.612935	0.582285	0.515011	0.614436
0.654703	0.694182	0.532631	0.640232
0.673204	0.885024	0.521898	0.679245
0.633398	0.521816	0.526738	0.620529
0.689154	0.812369	0.493285	0.711036
0.678509	0.525157	0.544672	0.657822
0.683494	0.685731	0.532599	0.676346
0.633548	0.759434	0.514726	0.635318
0.611178	0.558625	0.517472	0.604707
0.665654	0.576651	0.542320	0.641116
0.657019	0.717571	0.521435	0.650305
0.630650	0.588050	0.544293	0.604953
0.682424	0.750000	0.527199	0.667944
0.617697	0.607817	0.526956	0.602005
0.651445	0.851415	0.541808	0.622543
0.638672	0.799865	0.518756	0.635220
0.675516	0.465409	0.523305	0.666372
0.600982	0.529481	0.525877	0.585987
0.649479	0.669811	0.531324	0.636891
0.619845	0.479111	0.537619	0.600678
0.619434	0.435984	0.511268	0.621757
0.704237	0.545283	0.528209	0.696590
0.637567	0.572327	0.518645	0.630307
0.672346	0.500000	0.504088	0.686714
0.620894	0.670401	0.528133	0.604068
0.628299	0.660377	0.514639	0.624509
0.609443	0.644654	0.533776	0.587068
0.607964	0.670991	0.521682	0.597533
0.609571	0.465802	0.539853	0.580041
0.630982	0.702241	0.523163	0.622101
0.647778	0.679245	0.515279	0.649666
0.625802	0.389623	0.514811	0.633746
0.678882	0.460692	0.532108	0.665831
0.673449	0.768868	0.507725	0.693642
0.685932	0.836927	0.543648	0.658903
0.633250	0.553235	0.526434	0.623133
0.634435	0.578616	0.523020	0.625639
0.609319	0.533019	0.530652	0.590704
0.660753	0.561321	0.512028	0.659002
0.618291	0.692217	0.509874	0.625884
0.613638	0.724057	0.555241	0.576798
0.605676	0.496631	0.523487	0.588836
0.675806	0.795597	0.507090	0.688827
0.590582	0.416863	0.534627	0.563188
0.628872	0.752358	0.513684	0.629127
0.681777	0.676101	0.528334	0.680719
0.607634	0.683288	0.512948	0.610456
0.637806	0.678302	0.516889	0.636350
0.648688	0.588443	0.523546	0.636203
0.599264	0.567610	0.514794	0.595421
0.686703	0.681267	0.561083	0.651484
0.661123	0.687107	0.514008	0.665586
0.673133	0.764151	0.535239	0.660721
0.597075	0.477089	0.542729	0.558078
0.667654	0.545401	0.527858	0.663915
0.636113	0.519916	0.533823	0.615861
0.658607	0.635849	0.529691	0.647504
0.654446	0.630054	0.525291	0.653253
0.627949	0.547170	0.523066	0.619497
0.686866	0.666981	0.535436	0.671285
0.663671	0.614780	0.538319	0.642787
0.645200	0.439858	0.522474	0.633353
0.643440	0.571934	0.544440	0.616942
0.668080	0.836792	0.515804	0.664013
0.642763	0.632075	0.524062	0.635417
0.639637	0.859670	0.511475	0.644064
0.680309	0.558962	0.516320	0.680719
0.621225	0.489623	0.524014	0.607164
0.599036	0.594340	0.534923	0.575865
0.637852	0.846698	0.523056	0.636203
0.679305	0.739780	0.549874	0.653449
0.639844	0.661321	0.515265	0.639937
0.658284	0.584906	0.535136	0.644703
0.668021	0.669811	0.552742	0.624558
0.611388	0.699686	0.551835	0.570460
0.639101	0.844340	0.518828	0.633746
0.668119	0.758648	0.518943	0.680031
0.615622	0.775943	0.516357	0.607704
0.616670	0.470126	0.527752	0.598467
0.657260	0.738994	0.538993	0.634974
0.680404	0.687264	0.509294	0.686763
0.651190	0.682075	0.536432	0.631388
0.690268	0.630728	0.538685	0.669959
0.645380	0.671698	0.516737	0.644458
0.621311	0.676415	0.497552	0.639839
0.644936	0.589033	0.535088	0.622887
0.707039	0.774764	0.532722	0.701651
0.664681	0.613208	0.505335	0.682144
0.645493	0.557951	0.533765	0.621118
0.668921	0.833962	0.530245	0.654039
