#DiseaseAUCs	BiologicalProcessAUCs
0.699434	0.773834
0.692181	0.755621
0.716860	0.758714
0.681097	0.763083
0.742222	0.792440
0.693094	0.734315
0.689764	0.758517
0.676170	0.814777
0.685339	0.712715
0.712572	0.732744
0.727580	0.809622
0.636986	0.742955
0.704407	0.735739
0.740398	0.768974
0.704361	0.811340
0.646884	0.786647
0.709698	0.754296
0.681097	0.777369
0.698203	0.770545
0.705456	0.751841
0.720235	0.822730
0.673479	0.770790
0.685248	0.727933
0.702308	0.757830
0.689809	0.761070
0.734285	0.725920
0.697564	0.755032
0.699571	0.739323
0.795457	0.726019
0.718730	0.781100
0.757321	0.797742
0.724934	0.848650
0.662303	0.738292
0.745507	0.749632
0.691452	0.782229
0.694143	0.740403
0.699754	0.774374
0.693504	0.767698
0.761883	0.690476
0.718319	0.796858
0.733783	0.765734
0.697245	0.764556
0.700164	0.815709
0.769683	0.738341
0.727260	0.763819
0.722790	0.756897
0.732415	0.785812
0.738391	0.818115
0.706459	0.761954
0.637259	0.795631
