#DiseaseAUCs	BiologicalProcessAUCs
0.697062	0.781198
0.716267	0.743643
0.679637	0.827541
0.731092	0.816249
0.703905	0.812077
0.676717	0.728081
0.699434	0.775700
0.683560	0.829504
0.643235	0.775258
0.700301	0.755572
0.689034	0.807560
0.645835	0.753756
0.697382	0.808100
0.712070	0.794453
0.712116	0.773392
0.704224	0.793913
0.709014	0.809769
0.722425	0.831124
0.670833	0.782376
0.741036	0.793078
0.687118	0.753510
0.680595	0.788120
0.691953	0.742219
0.696241	0.800736
0.753626	0.778694
0.726257	0.789347
0.681598	0.779234
0.698841	0.792489
0.720920	0.764114
0.707052	0.758223
0.690539	0.810800
0.740078	0.771870
0.704543	0.824693
0.720737	0.789200
0.722562	0.806873
0.654594	0.796465
0.697199	0.796269
0.714533	0.771183
0.627726	0.819735
0.754493	0.784242
0.728857	0.780707
0.709242	0.790820
0.672475	0.774521
0.690676	0.758812
0.707919	0.782818
0.755816	0.759990
0.714123	0.811144
0.717407	0.811095
0.713986	0.798920
0.686616	0.749141
