#DiseaseAUCs	BiologicalProcessAUCs
0.738735	0.800275
0.734721	0.812424
0.753796	0.777747
0.735530	0.819536
0.755570	0.800458
0.737677	0.761020
0.749595	0.791331
0.786875	0.774115
0.745892	0.816484
0.728498	0.831197
0.713001	0.771947
0.735841	0.797192
0.735655	0.811172
0.726880	0.751557
0.753672	0.792216
0.754792	0.792277
0.776419	0.799542
0.770382	0.799084
0.749938	0.790965
0.716828	0.789225
0.735001	0.821093
0.726755	0.784219
0.705190	0.794048
0.732138	0.833394
0.786159	0.779457
0.756535	0.718193
0.715708	0.771978
0.759273	0.781532
0.734721	0.787607
0.734597	0.822619
0.727409	0.785104
0.743994	0.796795
0.763630	0.839225
0.747977	0.815934
0.770444	0.808639
0.784914	0.764805
0.740478	0.834982
0.714121	0.779457
0.751307	0.794994
0.751089	0.795360
0.746857	0.782357
0.763941	0.776496
0.770164	0.795513
0.706746	0.783181
0.760891	0.801618
0.763879	0.826618
0.721123	0.785134
0.785443	0.751374
0.721278	0.793590
0.769324	0.815781
