#DiseaseAUCs	BiologicalProcessAUCs
0.687765	0.783303
0.670121	0.762607
0.597928	0.766087
0.679954	0.794139
0.686738	0.786844
0.685368	0.796886
0.647654	0.845269
0.678149	0.772680
0.672112	0.763919
0.623786	0.782448
0.679861	0.785501
0.681572	0.735134
0.617781	0.805342
0.690347	0.771032
0.653877	0.798748
0.664551	0.761661
0.684777	0.756105
0.661470	0.784493
0.691934	0.762149
0.678211	0.790293
0.628112	0.782540
0.622324	0.745849
0.659478	0.758425
0.624813	0.784035
0.678305	0.774542
0.631659	0.747131
0.655869	0.799939
0.662901	0.762790
0.657954	0.807295
0.630010	0.803480
0.652446	0.734066
0.659696	0.752869
0.619461	0.749145
0.645071	0.822741
0.623195	0.760775
0.599017	0.744933
0.648463	0.780342
0.671552	0.775214
0.643017	0.755403
0.705439	0.781746
0.654562	0.798779
0.664986	0.757967
0.675162	0.812302
0.689009	0.785379
0.624315	0.793651
0.612024	0.804823
0.669592	0.768956
0.618247	0.787241
0.620146	0.720024
0.657767	0.760623
