#Iter	Time	Change
0	0.00	5.792604e+02
1	0.00	2.673755e+02
2	0.00	1.882551e+02
3	0.00	1.783716e+02
4	0.00	1.499307e+02
5	0.00	1.411558e+02
6	0.00	1.246604e+02
7	0.00	1.174107e+02
8	0.00	1.060459e+02
9	0.00	9.985207e+01
10	0.00	9.127895e+01
11	0.00	8.587830e+01
12	0.00	7.906031e+01
13	0.00	7.428548e+01
14	0.00	6.868338e+01
15	0.00	6.446369e+01
16	0.00	5.977301e+01
17	0.00	5.604829e+01
18	0.00	5.205717e+01
19	0.00	4.876649e+01
20	0.00	4.534805e+01
21	0.00	4.245356e+01
22	0.00	3.951274e+01
23	0.00	3.696514e+01
24	0.00	3.442725e+01
25	0.00	3.218671e+01
26	0.00	2.998957e+01
27	0.00	2.802350e+01
28	0.00	2.611706e+01
29	0.00	2.439534e+01
30	0.00	2.274052e+01
31	0.00	2.123392e+01
32	0.00	1.979660e+01
33	0.00	1.848042e+01
34	0.00	1.723145e+01
35	0.00	1.608260e+01
36	0.00	1.499736e+01
37	0.00	1.399491e+01
38	0.00	1.305209e+01
39	0.00	1.217823e+01
40	0.00	1.135909e+01
41	0.00	1.059783e+01
42	0.00	9.885949e+00
43	0.00	9.223065e+00
44	0.00	8.604465e+00
45	0.00	8.027542e+00
46	0.00	7.490012e+00
47	0.00	6.988081e+00
48	0.00	6.520976e+00
49	0.00	6.084410e+00
50	0.00	5.678484e+00
51	0.00	5.298800e+00
52	0.00	4.945998e+00
53	0.00	4.615783e+00
54	0.00	4.309144e+00
55	0.00	4.021997e+00
56	0.00	3.755460e+00
57	0.00	3.505731e+00
58	0.00	3.274048e+00
59	0.00	3.056857e+00
60	0.00	2.855441e+00
61	0.00	2.666545e+00
62	0.00	2.491397e+00
63	0.00	2.327115e+00
64	0.00	2.174799e+00
65	0.00	2.031913e+00
66	0.00	1.899431e+00
67	0.00	1.775116e+00
68	0.00	1.659858e+00
69	0.00	1.551674e+00
70	0.00	1.451372e+00
71	0.00	1.357207e+00
72	0.00	1.269900e+00
73	0.00	1.187926e+00
74	0.00	1.111935e+00
75	0.00	1.040556e+00
76	0.00	9.743861e-01
77	0.00	9.122076e-01
78	0.00	8.545578e-01
79	0.00	8.003790e-01
80	0.00	7.501345e-01
81	0.00	7.029115e-01
82	0.00	6.591042e-01
83	0.00	6.179301e-01
84	0.00	5.797202e-01
85	0.00	5.438050e-01
86	0.00	5.104633e-01
87	0.00	4.791204e-01
88	0.00	4.500133e-01
89	0.00	4.226475e-01
90	0.00	3.972250e-01
91	0.00	3.733189e-01
92	0.00	3.511029e-01
93	0.00	3.302081e-01
94	0.00	3.107834e-01
95	0.00	2.925103e-01
96	0.00	2.755161e-01
97	0.00	2.595262e-01
98	0.00	2.446491e-01
99	0.00	2.306482e-01
100	0.00	2.176156e-01
101	0.00	2.053479e-01
102	0.00	1.939237e-01
103	0.00	1.831669e-01
104	0.00	1.731443e-01
105	0.00	1.637052e-01
106	0.00	1.549050e-01
107	0.00	1.466157e-01
108	0.00	1.388824e-01
109	0.00	1.315969e-01
110	0.00	1.247947e-01
111	0.00	1.183850e-01
112	0.00	1.123963e-01
113	0.00	1.067515e-01
114	0.00	1.014740e-01
115	0.00	9.649772e-02
116	0.00	9.184158e-02
117	0.00	8.744985e-02
118	0.00	8.333710e-02
119	0.00	7.945694e-02
120	0.00	7.581981e-02
121	0.00	7.238733e-02
122	0.00	6.916674e-02
123	0.00	6.612641e-02
124	0.00	6.327092e-02
125	0.00	6.057430e-02
126	0.00	5.803896e-02
127	0.00	5.564382e-02
128	0.00	5.338939e-02
129	0.00	5.125904e-02
130	0.00	4.925132e-02
131	0.00	4.735342e-02
132	0.00	4.556253e-02
133	0.00	4.386892e-02
134	0.00	4.226882e-02
135	0.00	4.075496e-02
136	0.00	3.932287e-02
137	0.00	3.796729e-02
138	0.00	3.668316e-02
139	0.00	3.546709e-02
140	0.00	3.431351e-02
141	0.00	3.322052e-02
142	0.00	3.218219e-02
143	0.00	3.119793e-02
144	0.00	3.026145e-02
145	0.00	2.937327e-02
146	0.00	2.852690e-02
147	0.00	2.772374e-02
148	0.00	2.695719e-02
149	0.00	2.622936e-02
150	0.00	2.553360e-02
151	0.00	2.487260e-02
152	0.00	2.423972e-02
153	0.00	2.363807e-02
154	0.00	2.306107e-02
155	0.00	2.251220e-02
156	0.00	2.198496e-02
157	0.00	2.148307e-02
158	0.00	2.100019e-02
159	0.00	2.054024e-02
160	0.00	2.009695e-02
161	0.00	1.967442e-02
162	0.00	1.926653e-02
163	0.00	1.887745e-02
164	0.00	1.850124e-02
165	0.00	1.814212e-02
166	0.00	1.779434e-02
167	0.00	1.746208e-02
168	0.00	1.713983e-02
169	0.00	1.683170e-02
170	0.00	1.653241e-02
171	0.00	1.624601e-02
172	0.00	1.596742e-02
173	0.00	1.570058e-02
174	0.00	1.544070e-02
175	0.00	1.519154e-02
176	0.00	1.494854e-02
177	0.00	1.471536e-02
178	0.00	1.448766e-02
179	0.00	1.426897e-02
180	0.00	1.405514e-02
181	0.00	1.384960e-02
182	0.00	1.364838e-02
183	0.00	1.345480e-02
184	0.00	1.326507e-02
185	0.00	1.308237e-02
186	0.00	1.290314e-02
187	0.00	1.273038e-02
188	0.00	1.256072e-02
189	0.00	1.239705e-02
190	0.00	1.223616e-02
191	0.00	1.208081e-02
192	0.00	1.192797e-02
193	0.00	1.178026e-02
194	0.00	1.163481e-02
195	0.00	1.149414e-02
196	0.00	1.135550e-02
197	0.00	1.122130e-02
198	0.00	1.108895e-02
199	0.00	1.096071e-02
200	0.00	1.083417e-02
201	0.00	1.071146e-02
202	0.00	1.059029e-02
203	0.00	1.047269e-02
204	0.00	1.035651e-02
205	0.00	1.024366e-02
206	0.00	1.013210e-02
207	0.00	1.002367e-02
208	0.00	9.916427e-03
209	0.00	9.812097e-03
210	0.00	9.708878e-03
211	0.00	9.608383e-03
212	0.00	9.508919e-03
213	0.00	9.412010e-03
214	0.00	9.316061e-03
215	0.00	9.222506e-03
216	0.00	9.129851e-03
217	0.00	9.039443e-03
218	0.00	8.949879e-03
219	0.00	8.862427e-03
220	0.00	8.775768e-03
221	0.00	8.691097e-03
222	0.00	8.607174e-03
223	0.00	8.525123e-03
224	0.00	8.443780e-03
225	0.00	8.364202e-03
226	0.00	8.285298e-03
227	0.00	8.208058e-03
228	0.00	8.131459e-03
229	0.00	8.056433e-03
230	0.00	7.982023e-03
231	0.00	7.909101e-03
232	0.00	7.836765e-03
233	0.00	7.765834e-03
234	0.00	7.695464e-03
235	0.00	7.626426e-03
236	0.00	7.557927e-03
237	0.00	7.490689e-03
238	0.00	7.423974e-03
239	0.00	7.358481e-03
240	0.00	7.293515e-03
241	0.00	7.229681e-03
242	0.00	7.166331e-03
243	0.00	7.104058e-03
244	0.00	7.042253e-03
245	0.00	6.981474e-03
246	0.00	6.921154e-03
247	0.00	6.861810e-03
248	0.00	6.802908e-03
249	0.00	6.744935e-03
250	0.00	6.687391e-03
251	0.00	6.630732e-03
252	0.00	6.574493e-03
253	0.00	6.519098e-03
254	0.00	6.464111e-03
255	0.00	6.409932e-03
256	0.00	6.356152e-03
257	0.00	6.303142e-03
258	0.00	6.250523e-03
259	0.00	6.198642e-03
260	0.00	6.147141e-03
261	0.00	6.096348e-03
262	0.00	6.045927e-03
263	0.00	5.996183e-03
264	0.00	5.946804e-03
265	0.00	5.898075e-03
266	0.00	5.849703e-03
267	0.00	5.801955e-03
268	0.00	5.754557e-03
269	0.00	5.707758e-03
270	0.00	5.661302e-03
271	0.00	5.615422e-03
272	0.00	5.569880e-03
273	0.00	5.524890e-03
274	0.00	5.480232e-03
275	0.00	5.436106e-03
276	0.00	5.392306e-03
277	0.00	5.349019e-03
278	0.00	5.306050e-03
279	0.00	5.263577e-03
280	0.00	5.221417e-03
281	0.00	5.179735e-03
282	0.00	5.138360e-03
283	0.00	5.097446e-03
284	0.00	5.056835e-03
285	0.00	5.016669e-03
286	0.00	4.976801e-03
287	0.00	4.937363e-03
288	0.00	4.898217e-03
289	0.00	4.859488e-03
290	0.00	4.821046e-03
291	0.00	4.783008e-03
292	0.00	4.745251e-03
293	0.00	4.707886e-03
294	0.00	4.670798e-03
295	0.00	4.634089e-03
296	0.00	4.597653e-03
297	0.00	4.561584e-03
298	0.00	4.525784e-03
299	0.00	4.490340e-03
300	0.00	4.455160e-03
301	0.00	4.420327e-03
302	0.00	4.385753e-03
303	0.00	4.351515e-03
304	0.00	4.317534e-03
305	0.00	4.283879e-03
306	0.00	4.250475e-03
307	0.00	4.217390e-03
308	0.00	4.184552e-03
309	0.00	4.152023e-03
310	0.00	4.119738e-03
311	0.00	4.087754e-03
312	0.00	4.056009e-03
313	0.00	4.024558e-03
314	0.00	3.993343e-03
315	0.00	3.962413e-03
316	0.00	3.931716e-03
317	0.00	3.901297e-03
318	0.00	3.871107e-03
319	0.00	3.841188e-03
320	0.00	3.811495e-03
321	0.00	3.782066e-03
322	0.00	3.752858e-03
323	0.00	3.723910e-03
324	0.00	3.695179e-03
325	0.00	3.666701e-03
326	0.00	3.638437e-03
327	0.00	3.610420e-03
328	0.00	3.582614e-03
329	0.00	3.555049e-03
330	0.00	3.527692e-03
331	0.00	3.500570e-03
332	0.00	3.473653e-03
333	0.00	3.446967e-03
334	0.00	3.420482e-03
335	0.00	3.394222e-03
336	0.00	3.368160e-03
337	0.00	3.342320e-03
338	0.00	3.316674e-03
339	0.00	3.291244e-03
340	0.00	3.266006e-03
341	0.00	3.240980e-03
342	0.00	3.216143e-03
343	0.00	3.191512e-03
344	0.00	3.167068e-03
345	0.00	3.142827e-03
346	0.00	3.118769e-03
347	0.00	3.094910e-03
348	0.00	3.071231e-03
349	0.00	3.047747e-03
350	0.00	3.024440e-03
351	0.00	3.001324e-03
352	0.00	2.978384e-03
353	0.00	2.955630e-03
354	0.00	2.933049e-03
355	0.00	2.910651e-03
356	0.00	2.888423e-03
357	0.00	2.866375e-03
358	0.00	2.844494e-03
359	0.00	2.822789e-03
360	0.00	2.801249e-03
361	0.00	2.779882e-03
362	0.00	2.758678e-03
363	0.00	2.737643e-03
364	0.00	2.716767e-03
365	0.00	2.696059e-03
366	0.00	2.675507e-03
367	0.00	2.655120e-03
368	0.00	2.634887e-03
369	0.00	2.614815e-03
370	0.00	2.594895e-03
371	0.00	2.575133e-03
372	0.00	2.555521e-03
373	0.00	2.536064e-03
374	0.00	2.516755e-03
375	0.00	2.497598e-03
376	0.00	2.478587e-03
377	0.00	2.459725e-03
378	0.00	2.441007e-03
379	0.00	2.422435e-03
380	0.00	2.404005e-03
381	0.00	2.385719e-03
382	0.00	2.367572e-03
383	0.00	2.349567e-03
384	0.00	2.331699e-03
385	0.00	2.313970e-03
386	0.00	2.296376e-03
387	0.00	2.278920e-03
388	0.00	2.261595e-03
389	0.00	2.244406e-03
390	0.00	2.227347e-03
391	0.00	2.210421e-03
392	0.00	2.193624e-03
393	0.00	2.176957e-03
394	0.00	2.160416e-03
395	0.00	2.144004e-03
396	0.00	2.127717e-03
397	0.00	2.111555e-03
398	0.00	2.095517e-03
399	0.00	2.079602e-03
400	0.00	2.063808e-03
401	0.00	2.048137e-03
402	0.00	2.032584e-03
403	0.00	2.017152e-03
404	0.00	2.001836e-03
405	0.00	1.986639e-03
406	0.00	1.971557e-03
407	0.00	1.956591e-03
408	0.00	1.941739e-03
409	0.00	1.927002e-03
410	0.00	1.912376e-03
411	0.00	1.897862e-03
412	0.00	1.883459e-03
413	0.00	1.869167e-03
414	0.00	1.854983e-03
415	0.00	1.840908e-03
416	0.00	1.826940e-03
417	0.00	1.813079e-03
418	0.00	1.799323e-03
419	0.00	1.785673e-03
420	0.00	1.772126e-03
421	0.00	1.758683e-03
422	0.00	1.745342e-03
423	0.00	1.732103e-03
424	0.00	1.718965e-03
425	0.00	1.705928e-03
426	0.00	1.692989e-03
427	0.00	1.680149e-03
428	0.00	1.667407e-03
429	0.00	1.654762e-03
430	0.00	1.642213e-03
431	0.00	1.629760e-03
432	0.00	1.617402e-03
433	0.00	1.605138e-03
434	0.00	1.592966e-03
435	0.00	1.580888e-03
436	0.00	1.568902e-03
437	0.00	1.557007e-03
438	0.00	1.545202e-03
439	0.00	1.533487e-03
440	0.00	1.521861e-03
441	0.00	1.510324e-03
442	0.00	1.498875e-03
443	0.00	1.487512e-03
444	0.00	1.476236e-03
445	0.00	1.465046e-03
446	0.00	1.453940e-03
447	0.00	1.442920e-03
448	0.00	1.431982e-03
449	0.00	1.421128e-03
450	0.00	1.410357e-03
451	0.00	1.399667e-03
452	0.00	1.389059e-03
453	0.00	1.378531e-03
454	0.00	1.368083e-03
455	0.00	1.357715e-03
456	0.00	1.347425e-03
457	0.00	1.337213e-03
458	0.00	1.327079e-03
459	0.00	1.317022e-03
460	0.00	1.307041e-03
461	0.00	1.297137e-03
462	0.00	1.287307e-03
463	0.00	1.277552e-03
464	0.00	1.267871e-03
465	0.00	1.258263e-03
466	0.00	1.248729e-03
467	0.00	1.239267e-03
468	0.00	1.229876e-03
469	0.00	1.220557e-03
470	0.00	1.211309e-03
471	0.00	1.202130e-03
472	0.00	1.193022e-03
473	0.00	1.183982e-03
474	0.00	1.175012e-03
475	0.00	1.166109e-03
476	0.00	1.157274e-03
477	0.00	1.148505e-03
478	0.00	1.139804e-03
479	0.00	1.131168e-03
480	0.00	1.122598e-03
481	0.00	1.114093e-03
482	0.00	1.105652e-03
483	0.00	1.097276e-03
484	0.00	1.088962e-03
485	0.00	1.080712e-03
486	0.00	1.072525e-03
487	0.00	1.064400e-03
488	0.00	1.056336e-03
489	0.00	1.048333e-03
490	0.00	1.040391e-03
491	0.00	1.032510e-03
492	0.00	1.024688e-03
493	0.00	1.016925e-03
494	0.00	1.009221e-03
495	0.00	1.001576e-03
496	0.00	9.939886e-04
