#EntrezID	Name	Score	Degree
9075	CLDN2	0.735998	2
4621	MYH3	0.711049	3
10686	CLDN16	0.710918	3
29126	CD274	0.705670	3
85477	SCIN	0.705228	3
91807	MYLK3	0.690696	4
255631	COL24A1	0.690693	4
57644	MYH7B	0.689257	4
4624	MYH6	0.686834	4
57502	NLGN4X	0.676118	5
85366	MYLK2	0.675152	5
89846	FGD3	0.674234	5
100506658	OCLN	0.672123	5
4622	MYH4	0.661362	6
9073	CLDN8	0.658310	6
55844	PPP2R2D	0.656420	6
6401	SELE	0.650859	7
9087	TMSB4Y	0.648545	7
137075	CLDN23	0.645129	8
10718	NRG3	0.640550	9
1128	CHRM1	0.635860	9
24146	CLDN15	0.634692	9
64098	PARVG	0.627702	11
57689	LRRC4C	0.626970	10
92359	CRB3	0.626689	11
3381	IBSP	0.624025	11
29851	ICOS	0.620324	11
1950	EGF	0.618569	10
3672	ITGA1	0.616300	12
64101	LRRC4	0.613565	14
5294	PIK3CG	0.607078	17
10666	CD226	0.606289	16
84552	PARD6G	0.602092	16
3681	ITGAD	0.601339	19
1493	CTLA4	0.600271	17
2277	VEGFD	0.598672	19
624	BDKRB2	0.597869	21
374	AREG	0.594052	23
1496	CTNNA2	0.591611	24
925	CD8A	0.591045	23
3071	NCKAP1L	0.589128	28
80380	PDCD1LG2	0.589085	27
3683	ITGAL	0.587798	31
1132	CHRM4	0.587321	28
959	CD40LG	0.586674	29
1131	CHRM3	0.585844	33
9459	ARHGEF6	0.584120	33
2069	EREG	0.583648	36
1803	DPP4	0.583532	34
3695	ITGB7	0.583404	32
3112	HLA-DOB	0.583306	33
128239	IQGAP3	0.583101	36
84628	NTNG2	0.582537	37
6402	SELL	0.582141	37
22801	ITGA11	0.581627	40
4620	MYH2	0.581419	34
7122	CLDN5	0.581194	37
94030	LRRC4B	0.580929	41
6696	SPP1	0.580773	39
23562	CLDN14	0.580584	37
7448	VTN	0.579195	42
1311	COMP	0.578487	44
22808	MRAS	0.578430	44
90952	ESAM	0.578217	49
6776	STAT5A	0.577779	45
56924	PAK6	0.577703	45
149461	CLDN19	0.576392	51
4633	MYL2	0.576211	47
5588	PRKCQ	0.575552	52
914	CD2	0.575336	47
7409	VAV1	0.574981	59
623	BDKRB1	0.574372	56
1003	CDH5	0.574022	62
3676	ITGA4	0.573969	59
260425	MAGI3	0.573763	63
