#Iter	Time	Change
0	0.38	1.824368e+03
1	0.04	8.686289e+02
2	0.03	7.202264e+02
3	0.03	5.787721e+02
4	0.03	5.079895e+02
5	0.06	4.236249e+02
6	0.02	3.772350e+02
7	0.04	3.204120e+02
8	0.03	2.878239e+02
9	0.03	2.480989e+02
10	0.03	2.245162e+02
11	0.03	1.961735e+02
12	0.03	1.788072e+02
13	0.03	1.582901e+02
14	0.03	1.453413e+02
15	0.03	1.303141e+02
16	0.03	1.205608e+02
17	0.03	1.094424e+02
18	0.03	1.020306e+02
19	0.03	9.372765e+01
20	0.03	8.804905e+01
21	0.04	8.179391e+01
22	0.03	7.740878e+01
23	0.03	7.265528e+01
24	0.03	6.924184e+01
25	0.03	6.559717e+01
26	0.03	6.291773e+01
27	0.03	6.009681e+01
28	0.03	5.797440e+01
29	0.03	5.576872e+01
30	0.03	5.407079e+01
31	0.04	5.232687e+01
32	0.07	5.095360e+01
33	0.05	4.955783e+01
34	0.03	4.843375e+01
35	0.03	4.730161e+01
36	0.03	4.636947e+01
37	0.03	4.543783e+01
38	0.03	4.465405e+01
39	0.04	4.387558e+01
40	0.03	4.320692e+01
41	0.03	4.254600e+01
42	0.02	4.196702e+01
43	0.06	4.139678e+01
44	0.04	4.088800e+01
45	0.07	4.038807e+01
46	0.04	3.993452e+01
47	0.03	3.948945e+01
48	0.02	3.907960e+01
49	0.03	3.867762e+01
50	0.03	3.830258e+01
51	0.03	3.793470e+01
52	0.03	3.758758e+01
53	0.02	3.724690e+01
54	0.03	3.692238e+01
55	0.03	3.660361e+01
56	0.03	3.629754e+01
57	0.03	3.599659e+01
58	0.03	3.570574e+01
59	0.02	3.541944e+01
60	0.02	3.514127e+01
61	0.04	3.486718e+01
62	0.03	3.459972e+01
63	0.02	3.433590e+01
64	0.19	3.407758e+01
65	0.04	3.382254e+01
66	0.04	3.357212e+01
67	0.05	3.332468e+01
68	0.06	3.308117e+01
69	0.03	3.284039e+01
70	0.05	3.260302e+01
71	0.07	3.236815e+01
72	0.05	3.213628e+01
73	0.04	3.190673e+01
74	0.03	3.167985e+01
75	0.03	3.145513e+01
76	0.04	3.123282e+01
77	0.03	3.101255e+01
78	0.03	3.079449e+01
79	0.04	3.057834e+01
80	0.03	3.036423e+01
81	0.03	3.015194e+01
82	0.03	2.994156e+01
83	0.05	2.973291e+01
84	0.03	2.952606e+01
85	0.03	2.932087e+01
86	0.04	2.911739e+01
87	0.04	2.891550e+01
88	0.04	2.871524e+01
89	0.04	2.851653e+01
90	0.04	2.831937e+01
91	0.05	2.812371e+01
92	0.05	2.792955e+01
93	0.03	2.773684e+01
94	0.04	2.754559e+01
95	0.03	2.735575e+01
96	0.04	2.716731e+01
97	0.04	2.698026e+01
98	0.03	2.679458e+01
99	0.03	2.661024e+01
100	0.03	2.642724e+01
101	0.03	2.624555e+01
102	0.03	2.606518e+01
103	0.03	2.588608e+01
104	0.03	2.570827e+01
105	0.03	2.553172e+01
106	0.02	2.535642e+01
107	0.03	2.518236e+01
108	0.03	2.500953e+01
109	0.02	2.483791e+01
110	0.02	2.466750e+01
111	0.03	2.449829e+01
112	0.03	2.433025e+01
113	0.03	2.416339e+01
114	0.03	2.399770e+01
115	0.03	2.383315e+01
116	0.02	2.366976e+01
117	0.03	2.350750e+01
118	0.03	2.334636e+01
119	0.03	2.318634e+01
120	0.03	2.302743e+01
121	0.03	2.286962e+01
122	0.03	2.271290e+01
123	0.03	2.255727e+01
124	0.03	2.240271e+01
125	0.03	2.224921e+01
126	0.02	2.209678e+01
127	0.02	2.194539e+01
128	0.03	2.179505e+01
129	0.02	2.164575e+01
130	0.03	2.149747e+01
131	0.03	2.135021e+01
132	0.02	2.120397e+01
133	0.02	2.105873e+01
134	0.02	2.091449e+01
135	0.02	2.077124e+01
136	0.03	2.062898e+01
137	0.04	2.048769e+01
138	0.02	2.034737e+01
139	0.02	2.020802e+01
140	0.03	2.006963e+01
141	0.03	1.993218e+01
142	0.03	1.979568e+01
143	0.04	1.966011e+01
144	0.03	1.952547e+01
145	0.03	1.939176e+01
146	0.02	1.925896e+01
147	0.02	1.912708e+01
148	0.02	1.899610e+01
149	0.02	1.886601e+01
150	0.02	1.873682e+01
151	0.02	1.860852e+01
152	0.03	1.848109e+01
153	0.02	1.835454e+01
154	0.03	1.822885e+01
155	0.02	1.810403e+01
156	0.03	1.798006e+01
157	0.02	1.785694e+01
158	0.03	1.773467e+01
159	0.03	1.761323e+01
160	0.03	1.749262e+01
161	0.04	1.737284e+01
162	0.03	1.725388e+01
163	0.03	1.713574e+01
164	0.03	1.701841e+01
165	0.02	1.690187e+01
166	0.02	1.678614e+01
167	0.02	1.667120e+01
168	0.02	1.655705e+01
169	0.02	1.644368e+01
170	0.02	1.633108e+01
171	0.02	1.621926e+01
172	0.03	1.610820e+01
173	0.02	1.599791e+01
174	0.02	1.588836e+01
175	0.02	1.577957e+01
176	0.02	1.567153e+01
177	0.04	1.556422e+01
178	0.02	1.545765e+01
179	0.02	1.535181e+01
180	0.02	1.524669e+01
181	0.02	1.514229e+01
182	0.02	1.503861e+01
183	0.02	1.493564e+01
184	0.02	1.483337e+01
185	0.02	1.473180e+01
186	0.02	1.463093e+01
187	0.02	1.453075e+01
188	0.03	1.443126e+01
189	0.02	1.433245e+01
190	0.02	1.423431e+01
191	0.03	1.413684e+01
192	0.03	1.404005e+01
193	0.03	1.394391e+01
194	0.03	1.384844e+01
195	0.03	1.375361e+01
196	0.02	1.365944e+01
197	0.02	1.356591e+01
198	0.03	1.347303e+01
199	0.02	1.338077e+01
200	0.02	1.328915e+01
201	0.02	1.319816e+01
202	0.03	1.310779e+01
203	0.03	1.301804e+01
204	0.02	1.292891e+01
205	0.02	1.284038e+01
206	0.03	1.275246e+01
207	0.02	1.266514e+01
208	0.02	1.257842e+01
209	0.02	1.249230e+01
210	0.02	1.240676e+01
211	0.02	1.232181e+01
212	0.02	1.223744e+01
213	0.02	1.215365e+01
214	0.04	1.207043e+01
215	0.02	1.198778e+01
216	0.02	1.190570e+01
217	0.03	1.182418e+01
218	0.02	1.174322e+01
219	0.02	1.166281e+01
220	0.02	1.158296e+01
221	0.02	1.150365e+01
222	0.03	1.142488e+01
223	0.03	1.134665e+01
224	0.02	1.126896e+01
225	0.06	1.119180e+01
226	0.02	1.111517e+01
227	0.02	1.103906e+01
228	0.02	1.096348e+01
229	0.02	1.088841e+01
230	0.03	1.081385e+01
231	0.02	1.073981e+01
232	0.03	1.066627e+01
233	0.02	1.059324e+01
234	0.02	1.052071e+01
235	0.02	1.044867e+01
236	0.02	1.037713e+01
237	0.03	1.030607e+01
238	0.03	1.023551e+01
239	0.03	1.016542e+01
240	0.03	1.009582e+01
241	0.03	1.002669e+01
242	0.03	9.958037e+00
243	0.02	9.889853e+00
244	0.03	9.822136e+00
245	0.03	9.754882e+00
246	0.03	9.688089e+00
247	0.02	9.621754e+00
248	0.02	9.555873e+00
249	0.02	9.490442e+00
250	0.02	9.425460e+00
251	0.03	9.360923e+00
252	0.03	9.296828e+00
253	0.03	9.233171e+00
254	0.02	9.169950e+00
255	0.02	9.107163e+00
256	0.02	9.044805e+00
257	0.02	8.982874e+00
258	0.02	8.921367e+00
259	0.02	8.860282e+00
260	0.02	8.799614e+00
261	0.03	8.739362e+00
262	0.03	8.679523e+00
263	0.02	8.620093e+00
264	0.03	8.561070e+00
265	0.02	8.502451e+00
266	0.03	8.444234e+00
267	0.02	8.386415e+00
268	0.02	8.328993e+00
269	0.02	8.271963e+00
270	0.02	8.215324e+00
271	0.02	8.159073e+00
272	0.02	8.103206e+00
273	0.02	8.047723e+00
274	0.03	7.992619e+00
275	0.02	7.937893e+00
276	0.02	7.883541e+00
277	0.02	7.829561e+00
278	0.02	7.775951e+00
279	0.02	7.722709e+00
280	0.02	7.669830e+00
281	0.02	7.617314e+00
282	0.03	7.565157e+00
283	0.02	7.513358e+00
284	0.03	7.461913e+00
285	0.03	7.410820e+00
286	0.03	7.360078e+00
287	0.02	7.309682e+00
288	0.02	7.259632e+00
289	0.02	7.209924e+00
290	0.02	7.160557e+00
291	0.02	7.111528e+00
292	0.02	7.062835e+00
293	0.02	7.014474e+00
294	0.03	6.966446e+00
295	0.02	6.918745e+00
296	0.02	6.871372e+00
297	0.02	6.824323e+00
298	0.03	6.777596e+00
299	0.03	6.731189e+00
300	0.04	6.685100e+00
301	0.03	6.639326e+00
302	0.03	6.593866e+00
303	0.03	6.548717e+00
304	0.03	6.503877e+00
305	0.03	6.459344e+00
306	0.03	6.415116e+00
307	0.03	6.371191e+00
308	0.03	6.327567e+00
309	0.03	6.284241e+00
310	0.02	6.241212e+00
311	0.03	6.198478e+00
312	0.03	6.156036e+00
313	0.04	6.113885e+00
314	0.03	6.072023e+00
315	0.02	6.030447e+00
316	0.02	5.989155e+00
317	0.02	5.948147e+00
318	0.02	5.907419e+00
319	0.04	5.866971e+00
320	0.03	5.826799e+00
321	0.05	5.786902e+00
322	0.03	5.747278e+00
323	0.03	5.707926e+00
324	0.03	5.668843e+00
325	0.03	5.630028e+00
326	0.03	5.591478e+00
327	0.03	5.553193e+00
328	0.02	5.515169e+00
329	0.02	5.477406e+00
330	0.02	5.439902e+00
331	0.02	5.402654e+00
332	0.03	5.365662e+00
333	0.03	5.328922e+00
