#EntrezID	Name	Score	Degree
6271	S100A1	1.000000	2
6285	S100B	1.000000	2
10023	FRAT1	1.000000	2
23401	FRAT2	1.000000	2
576	ADGRB2	1.000000	2
90990	KIFC2	1.000000	2
7216	TRO	1.000000	2
57447	NDRG2	1.000000	2
340371	NRBP2	1.000000	2
32	ACACB	1.000000	2
3730	ANOS1	1.000000	3
55816	DOK5	1.000000	2
753	LDLRAD4	1.000000	2
54858	PGPEP1	1.000000	2
81888	HYI	1.000000	3
79874	RABEP2	1.000000	2
317	APAF1	0.837623	2
8545	CGGBP1	0.827086	2
3356	HTR2A	0.820486	2
170463	SSBP4	0.810770	2
79754	ASB13	0.806547	2
2987	GUK1	0.804429	2
4974	OMG	0.802988	2
51308	REEP2	0.765051	2
138162	C9orf116	0.752506	2
4289	MKLN1	0.751395	2
9734	HDAC9	0.746967	2
79734	KCTD17	0.743865	2
79873	NUDT18	0.743865	3
8835	SOCS2	0.741923	2
55279	ZNF654	0.738868	2
116349	EXOC3-AS1	0.734859	2
4084	MXD1	0.727347	2
8658	TNKS	0.725440	2
80223	RAB11FIP1	0.722213	2
64236	PDLIM2	0.719911	2
64376	IKZF5	0.713906	2
1264	CNN1	0.710004	2
129807	NEU4	0.709117	2
23761	PISD	0.708511	2
28988	DBNL	0.707000	2
113791	PIK3IP1	0.706849	2
51706	CYB5R1	0.706073	2
636	BICD1	0.703488	2
9878	TOX4	0.702110	2
25824	PRDX5	0.701687	3
6320	CLEC11A	0.700183	2
51162	EGFL7	0.699343	3
10116	FEM1B	0.697539	2
4213	MEIS3P1	0.692765	2
5144	PDE4D	0.692713	2
23541	SEC14L2	0.691625	2
27	ABL2	0.690107	2
688	KLF5	0.688735	2
10622	POLR3G	0.687250	2
2558	GABRA5	0.685381	3
23089	PEG10	0.685320	3
84838	ZNF496	0.683915	2
55663	ZNF446	0.683915	3
80306	MED28	0.683564	3
63915	BLOC1S5	0.683487	2
84062	DTNBP1	0.683487	5
8991	SELENBP1	0.682946	2
112464	CAVIN3	0.682663	2
3557	IL1RN	0.679686	2
842	CASP9	0.678368	3
1135	CHRNA2	0.678212	2
55466	DNAJA4	0.673595	2
57532	NUFIP2	0.672810	4
8646	CHRD	0.672073	2
56245	C21orf62	0.667775	2
9862	MED24	0.667477	2
9477	MED20	0.667477	2
55588	MED29	0.667477	6
1238	ACKR2	0.664382	2
51257	MARCH2	0.664206	3
23002	DAAM1	0.664123	5
10746	MAP3K2	0.662270	4
54891	INO80D	0.661991	2
4005	LMO2	0.659701	3
56987	BBX	0.658096	2
57125	PLXDC1	0.657460	2
50509	COL5A3	0.657460	4
147339	C18orf25	0.656748	8
80055	PGAP1	0.653096	3
115708	TRMT61A	0.651915	3
1826	DSCAM	0.647716	5
5610	EIF2AK2	0.647478	2
85465	SELENOI	0.646428	2
5201	PFDN1	0.646311	3
3084	NRG1	0.644552	3
5360	PLTP	0.644171	2
2	A2M	0.644171	2
348	APOE	0.644171	5
27125	AFF4	0.634967	8
379	ARL4D	0.632940	4
363	AQP6	0.631261	2
84993	UBL7	0.626836	3
2356	FPGS	0.625623	4
26469	PTPN18	0.625276	2
6988	TCTA	0.625276	4
8861	LDB1	0.624476	3
10522	DEAF1	0.624426	7
54542	RC3H2	0.623281	5
1298	COL9A2	0.623231	3
1809	DPYSL3	0.620667	3
57799	RAB40C	0.616681	4
79071	ELOVL6	0.616182	4
2954	GSTZ1	0.615213	3
27185	DISC1	0.614437	4
818	CAMK2G	0.614403	5
7182	NR2C2	0.613487	3
330	BIRC3	0.611784	4
