#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	Conflict?	Degree
10718	NRG3	Positive	0.866352	Positive	0.870315	0.753999	NO	8
1128	CHRM1	Positive	0.860426	Positive	0.863944	0.743359	NO	8
1496	CTNNA2	Positive	0.800418	Positive	0.803822	0.643393	NO	23
1132	CHRM4	Positive	0.794391	Positive	0.797994	0.633919	NO	27
1803	DPP4	Positive	0.789869	Positive	0.792845	0.626244	NO	33
7122	CLDN5	Positive	0.785228	Positive	0.789669	0.620070	NO	36
90952	ESAM	Positive	0.782446	Positive	0.785623	0.614707	NO	48
56924	PAK6	Positive	0.782318	Positive	0.784925	0.614061	NO	44
3115	HLA-DPB1	Positive	0.773678	Positive	0.777887	0.601834	NO	71
3109	HLA-DMB	Positive	0.771575	Positive	0.777255	0.599710	NO	86
3123	HLA-DRB1	Positive	0.770865	Positive	0.775107	0.597504	NO	92
5305	PIP4K2A	Positive	0.771265	Positive	0.772511	0.595810	NO	97
3117	HLA-DQA1	Positive	0.767013	Positive	0.773640	0.593392	NO	133
929	CD14	Positive	0.767296	Positive	0.772517	0.592749	NO	126
22871	NLGN1	Positive	0.768623	Positive	0.770314	0.592081	NO	120
3119	HLA-DQB1	Positive	0.765895	Positive	0.771557	0.590932	NO	182
3122	HLA-DRA	Positive	0.765662	Positive	0.771155	0.590445	NO	178
3108	HLA-DMA	Positive	0.766161	Positive	0.770368	0.590227	NO	171
85464	SSH2	Positive	0.766548	Positive	0.767770	0.588533	NO	168
5649	RELN	Positive	0.763950	Positive	0.767018	0.585963	NO	170
5595	MAPK3	Positive	0.763456	Positive	0.764547	0.583698	NO	293
1398	CRK	Positive	0.763046	Positive	0.763895	0.582887	NO	330
4627	MYH9	Positive	0.762594	Positive	0.763870	0.582523	NO	390
3105	HLA-A	Positive	0.762311	Positive	0.763936	0.582357	NO	494
3107	HLA-C	Positive	0.762087	Positive	0.763927	0.582179	NO	530
29119	CTNNA3	Positive	0.761215	Positive	0.764586	0.582014	NO	214
5792	PTPRF	Positive	0.761490	Positive	0.763356	0.581288	NO	552
4629	MYH11	Positive	0.760632	Positive	0.764178	0.581259	NO	510
23191	CYFIP1	Positive	0.761837	Positive	0.762399	0.580824	NO	646
4609	MYC	Positive	0.761803	Positive	0.762048	0.580530	NO	555
7422	VEGFA	Positive	0.761155	Positive	0.762573	0.580437	NO	824
7082	TJP1	Positive	0.761079	Positive	0.762613	0.580408	NO	846
1292	COL6A2	Positive	0.760505	Positive	0.762865	0.580163	NO	1092
387	RHOA	Positive	0.761352	Positive	0.761687	0.579912	NO	727
3984	LIMK1	Positive	0.759975	Positive	0.762588	0.579548	NO	540
1460	CSNK2B	Positive	0.761215	Positive	0.761210	0.579444	NO	926
324	APC	Positive	0.760721	Positive	0.761427	0.579234	NO	1123
2260	FGFR1	Positive	0.759591	Positive	0.762192	0.578954	NO	1659
5062	PAK2	Positive	0.760760	Positive	0.760936	0.578890	NO	1376
26047	CNTNAP2	Positive	0.759514	Positive	0.762126	0.578845	NO	726
4684	NCAM1	Positive	0.758692	Positive	0.761768	0.577947	NO	1082
3084	NRG1	Positive	0.758474	Positive	0.761595	0.577650	NO	996
9378	NRXN1	Positive	0.758285	Positive	0.761290	0.577274	NO	1155
5521	PPP2R2B	Positive	0.758162	Positive	0.761377	0.577247	NO	788
7148	TNXB	Positive	0.757805	Positive	0.761065	0.576739	NO	1371
5155	PDGFB	Positive	0.757366	Positive	0.760580	0.576037	NO	1746
57521	RPTOR	Positive	0.845343	Unlabeled	0.510862	0.431853	NO	8
85366	MYLK2	Unlabeled	0.397197	Positive	0.917329	0.364360	NO	4
152330	CNTN4	Positive	0.815280	Unlabeled	0.434992	0.354641	NO	18
8218	CLTCL1	Positive	0.840389	Unlabeled	0.402426	0.338194	NO	10
1012	CDH13	Positive	0.787239	Unlabeled	0.429268	0.337936	NO	37
11117	EMILIN1	Positive	0.767664	Unlabeled	0.435340	0.334195	NO	113
199	AIF1	Positive	0.762761	Unlabeled	0.428183	0.326601	NO	223
1116	CHI3L1	Positive	0.789785	Unlabeled	0.413510	0.326584	NO	32
3127	HLA-DRB5	Unlabeled	0.420072	Positive	0.776187	0.326055	NO	93
119391	GSTO2	Positive	0.855509	Unlabeled	0.378231	0.323580	NO	9
9508	ADAMTS3	Positive	0.768084	Unlabeled	0.420831	0.323234	NO	113
50651	SLC45A1	Positive	0.935712	Unlabeled	0.344461	0.322317	NO	3
10410	IFITM3	Positive	0.762656	Unlabeled	0.422464	0.322195	NO	386
10371	SEMA3A	Positive	0.764764	Unlabeled	0.420918	0.321903	NO	173
6770	STAR	Positive	0.908365	Unlabeled	0.353596	0.321194	NO	3
202333	CMYA5	Positive	0.872270	Unlabeled	0.368225	0.321192	NO	7
7052	TGM2	Positive	0.761448	Unlabeled	0.420757	0.320384	NO	420
3790	KCNS3	Positive	0.793601	Unlabeled	0.401680	0.318774	NO	28
1191	CLU	Positive	0.761782	Unlabeled	0.418258	0.318622	NO	549
5063	PAK3	Unlabeled	0.410921	Positive	0.770572	0.316644	NO	114
4038	LRP4	Positive	0.764760	Unlabeled	0.411610	0.314783	NO	184
1958	EGR1	Positive	0.762872	Unlabeled	0.408299	0.311480	NO	317
1601	DAB2	Positive	0.761464	Unlabeled	0.407815	0.310537	NO	624
5376	PMP22	Positive	0.761777	Unlabeled	0.407549	0.310462	NO	558
25791	NGEF	Positive	0.793854	Unlabeled	0.390948	0.310356	NO	30
5743	PTGS2	Positive	0.764503	Unlabeled	0.404806	0.309476	NO	202
5793	PTPRG	Positive	0.763024	Unlabeled	0.404903	0.308951	NO	325
23208	SYT11	Positive	0.763543	Unlabeled	0.402828	0.307577	NO	273
84166	NLRC5	Positive	0.782090	Unlabeled	0.391750	0.306384	NO	49
7127	TNFAIP2	Positive	0.761970	Unlabeled	0.401995	0.306308	NO	479
389125	MUSTN1	Positive	0.963759	Unlabeled	0.317301	0.305802	NO	2
2869	GRK5	Positive	0.761674	Unlabeled	0.401439	0.305766	NO	546
361	AQP4	Positive	0.811988	Unlabeled	0.375201	0.304658	NO	19
3280	HES1	Positive	0.766577	Unlabeled	0.396691	0.304095	NO	147
