#EntrezID	Name	Score	Degree
84552	PARD6G	0.990099	16
9369	NRXN3	0.990099	816
7058	THBS2	0.990099	159
3134	HLA-F	0.990099	449
947	CD34	0.990099	335
8503	PIK3R3	0.990099	207
23191	CYFIP1	0.990099	647
9564	BCAR1	0.990099	107
926	CD8B	0.990099	84
5063	PAK3	0.990099	115
1280	COL2A1	0.990099	685
28964	GIT1	0.990099	439
7423	VEGFB	0.990099	473
374	AREG	0.990099	23
3115	HLA-DPB1	0.990099	72
5579	PRKCB	0.990099	135
2065	ERBB3	0.990099	1510
3135	HLA-G	0.990099	383
29780	PARVB	0.990099	325
7040	TGFB1	0.990099	1042
3679	ITGA7	0.990099	468
6900	CNTN2	0.990099	693
22854	NTNG1	0.990099	1092
9414	TJP2	0.990099	416
4685	NCAM2	0.990099	108
57502	NLGN4X	0.990099	5
382	ARF6	0.990099	783
128239	IQGAP3	0.990099	36
55970	GNG12	0.990099	481
4636	MYL5	0.990099	212
2277	VEGFD	0.990099	19
4478	MSN	0.990099	608
1839	HBEGF	0.990099	406
5515	PPP2CA	0.990099	1637
1072	CFL1	0.990099	400
22800	RRAS2	0.990099	1022
2885	GRB2	0.990099	524
88	ACTN2	0.990099	1055
9644	SH3PXD2A	0.990099	266
10398	MYL9	0.990099	280
624	BDKRB2	0.990099	21
1101	CHAD	0.990099	382
3645	INSRR	0.990099	385
2264	FGFR4	0.990099	389
958	CD40	0.990099	105
9379	NRXN2	0.990099	792
3126	HLA-DRB4	0.990099	86
1001	CDH3	0.990099	169
1132	CHRM4	0.990099	28
5520	PPP2R2A	0.990099	849
10152	ABI2	0.990099	723
1278	COL1A2	0.990099	410
2909	ARHGAP35	0.990099	826
5908	RAP1B	0.990099	1114
26285	CLDN17	0.990099	61
64398	MPP5	0.990099	560
50848	F11R	0.990099	513
2191	FAP	0.990099	111
394	ARHGAP5	0.990099	1656
10666	CD226	0.990099	16
2066	ERBB4	0.990099	1450
4659	PPP1R12A	0.990099	2012
50509	COL5A3	0.990099	171
1277	COL1A1	0.990099	783
