#EntrezID	Name	Score
64236	PDLIM2	1.000000
92912	UBE2Q2	1.000000
55816	DOK5	1.000000
84966	IGSF21	1.000000
8525	DGKZ	1.000000
55588	MED29	1.000000
8545	CGGBP1	1.000000
55466	DNAJA4	1.000000
167227	DCP2	1.000000
79095	C9orf16	1.000000
79042	TSEN34	1.000000
51162	EGFL7	1.000000
5927	KDM5A	1.000000
6271	S100A1	1.000000
10445	MCRS1	1.000000
57472	CNOT6	1.000000
170463	SSBP4	1.000000
11152	WDR45	1.000000
9477	MED20	1.000000
27185	DISC1	1.000000
11316	COPE	1.000000
399665	FAM102A	1.000000
328	APEX1	1.000000
140890	SREK1	1.000000
10914	PAPOLA	1.000000
9878	TOX4	1.000000
5360	PLTP	1.000000
23089	PEG10	1.000000
29086	BABAM1	1.000000
63941	NECAB3	1.000000
7073	TIAL1	1.000000
56647	BCCIP	1.000000
5201	PFDN1	1.000000
1264	CNN1	1.000000
23541	SEC14L2	1.000000
1869	E2F1	1.000000
23760	PITPNB	1.000000
55966	AJAP1	1.000000
9991	PTBP3	1.000000
8986	RPS6KA4	1.000000
818	CAMK2G	1.000000
6285	S100B	1.000000
3356	HTR2A	1.000000
4015	LOX	1.000000
135	ADORA2A	1.000000
26469	PTPN18	1.000000
2058	EPRS	1.000000
4213	MEIS3P1	1.000000
2558	GABRA5	1.000000
5820	PVT1	1.000000
6624	FSCN1	1.000000
10522	DEAF1	1.000000
79716	NPEPL1	1.000000
3730	ANOS1	1.000000
10500	SEMA6C	1.000000
57188	ADAMTSL3	1.000000
80306	MED28	1.000000
10460	TACC3	1.000000
1135	CHRNA2	1.000000
348	APOE	1.000000
64598	MOSPD3	1.000000
604	BCL6	1.000000
6944	VPS72	1.000000
4154	MBNL1	1.000000
8835	SOCS2	1.000000
50509	COL5A3	1.000000
79754	ASB13	1.000000
3192	HNRNPU	1.000000
57157	PHTF2	1.000000
10285	SMNDC1	1.000000
4582	MUC1	1.000000
6988	TCTA	1.000000
572	BAD	1.000000
200576	PIKFYVE	1.000000
80055	PGAP1	1.000000
9931	HELZ	1.000000
1809	DPYSL3	1.000000
113251	LARP4	1.000000
1465	CSRP1	1.000000
162427	RETREG3	1.000000
330	BIRC3	1.000000
2	A2M	1.000000
11052	CPSF6	1.000000
54915	YTHDF1	1.000000
10884	MRPS30	1.000000
9862	MED24	1.000000
50649	ARHGEF4	1.000000
64795	RMND5A	1.000000
8658	TNKS	1.000000
11231	SEC63	1.000000
753	LDLRAD4	1.000000
5878	RAB5C	1.000000
79139	DERL1	1.000000
7514	XPO1	1.000000
6540	SLC6A13	1.000000
23411	SIRT1	1.000000
8539	API5	1.000000
23603	CORO1C	1.000000
10116	FEM1B	1.000000
1813	DRD2	1.000000
3338	DNAJC4	1.000000
54726	OTUD4	1.000000
56144	PCDHA4	1.000000
1808	DPYSL2	1.000000
293	SLC25A6	1.000000
5033	P4HA1	1.000000
55274	PHF10	1.000000
8646	CHRD	1.000000
10146	G3BP1	1.000000
3084	NRG1	1.000000
23130	ATG2A	1.000000
4673	NAP1L1	1.000000
54587	MXRA8	1.000000
23200	ATP11B	1.000000
116	ADCYAP1	1.000000
1397	CRIP2	1.000000
3698	ITIH2	1.000000
83746	L3MBTL2	1.000000
9877	ZC3H11A	1.000000
8087	FXR1	1.000000
57125	PLXDC1	1.000000
5610	EIF2AK2	1.000000
4974	OMG	1.000000
56245	C21orf62	1.000000
10023	FRAT1	1.000000
51762	RAB8B	1.000000
23761	PISD	1.000000
22847	ZNF507	1.000000
3189	HNRNPH3	1.000000
9320	TRIP12	1.000000
57799	RAB40C	1.000000
23401	FRAT2	1.000000
79071	ELOVL6	1.000000
51257	MARCH2	1.000000
1396	CRIP1	1.000000
8991	SELENBP1	1.000000
7803	PTP4A1	1.000000
138162	C9orf116	1.000000
5127	CDK16	1.000000
363	AQP6	1.000000
64743	WDR13	1.000000
3320	HSP90AA1	1.000000
8482	SEMA7A	1.000000
57664	PLEKHA4	1.000000
57140	RNPEPL1	0.715158
116540	MRPL53	0.695808
7016	TESK1	0.662474
8861	LDB1	0.655770
57102	C12orf4	0.648757
59349	KLHL12	0.648472
6337	SCNN1A	0.643342
25824	PRDX5	0.642951
81539	SLC38A1	0.641638
55829	SELENOS	0.640675
333	APLP1	0.633146
26173	INTS1	0.632597
23345	SYNE1	0.632389
55544	RBM38	0.631059
7029	TFDP2	0.627673
23769	FLRT1	0.617178
80178	TEDC2	0.609357
55802	DCP1A	0.608258
83463	MXD3	0.607512
79444	BIRC7	0.587989
27296	TP53TG5	0.582943
11094	CACFD1	0.582442
199731	CADM4	0.579873
2869	GRK5	0.575877
599	BCL2L2	0.574504
2661	GDF9	0.573049
22936	ELL2	0.564156
8910	SGCE	0.542490
8483	CILP	0.524396
57147	SCYL3	0.520070
1609	DGKQ	0.505614
9094	UNC119	0.501496
57532	NUFIP2	0.500115
240	ALOX5	0.500000
7753	ZNF202	0.500000
9789	SPCS2	0.500000
1618	DAZL	0.500000
7010	TEK	0.500000
10569	SLU7	0.500000
10859	LILRB1	0.500000
6280	S100A9	0.500000
2824	GPM6B	0.500000
80726	IQCN	0.500000
933	CD22	0.500000
1630	DCC	0.500000
151871	DPPA2	0.500000
4223	MEOX2	0.500000
51280	GOLM1	0.500000
90990	KIFC2	0.500000
3690	ITGB3	0.500000
3674	ITGA2B	0.500000
5071	PRKN	0.500000
119016	AGAP4	0.500000
57126	CD177	0.500000
63894	VIPAS39	0.500000
6279	S100A8	0.500000
55211	DPPA4	0.500000
25888	ZNF473	0.500000
5580	PRKCD	0.500000
4485	MST1	0.500000
64396	GMCL2	0.500000
6317	SERPINB3	0.500000
4105	MAGEA6	0.500000
2124	EVI2B	0.500000
5170	PDPK1	0.500000
2577	GAGE5	0.500000
27328	PCDH11X	0.500000
5645	PRSS2	0.500000
11025	LILRB3	0.500000
54858	PGPEP1	0.500000
441951	ZFAS1	0.500000
72	ACTG2	0.500000
81888	HYI	0.500000
1617	DAZ1	0.500000
8653	DDX3Y	0.500000
6837	MED22	0.500000
921	CD5	0.500000
56658	TRIM39	0.500000
56124	PCDHB12	0.500000
1645	AKR1C1	0.500000
10044	SH2D3C	0.500000
57135	DAZ4	0.500000
387680	WASHC2A	0.500000
4102	MAGEA3	0.500000
57054	DAZ3	0.500000
3627	CXCL10	0.500000
10235	RASGRP2	0.500000
53938	PPIL3	0.500000
54458	PRR13	0.500000
5266	PI3	0.500000
83259	PCDH11Y	0.500000
5544	PRB3	0.500000
26276	VPS33B	0.500000
79874	RABEP2	0.500000
2123	EVI2A	0.500000
79736	TEFM	0.500000
7432	VIP	0.500000
151636	DTX3L	0.500000
4987	OPRL1	0.500000
10481	HOXB13	0.500000
79730	NSUN7	0.500000
9423	NTN1	0.500000
10278	EFS	0.500000
116987	AGAP1	0.500000
275	AMT	0.500000
114915	EPB41L4A-AS1	0.500000
8362	HIST1H4K	0.500000
5542	PRB1	0.500000
284	ANGPT1	0.500000
57540	DISP3	0.500000
83666	PARP9	0.500000
153733	CCDC112	0.500000
22918	CD93	0.500000
4629	MYH11	0.500000
6318	SERPINB4	0.500000
8644	AKR1C3	0.500000
84663	84663	0.500000
56919	DHX33	0.500000
57602	USP36	0.500000
374618	TEX9	0.500000
27345	KCNMB4	0.500000
923	CD6	0.500000
8871	SYNJ2	0.500000
7056	THBD	0.500000
810	CALML3	0.500000
28639	TRBC1	0.500000
653519	GPR89A	0.500000
57119	EPPIN	0.500000
5049	PAFAH1B2	0.500000
2313	FLI1	0.500000
5646	PRSS3	0.500000
253725	WASHC2C	0.500000
576	ADGRB2	0.500000
2983	GUCY1B1	0.500000
30818	KCNIP3	0.500000
8363	HIST1H4J	0.500000
32	ACACB	0.500000
57447	NDRG2	0.500000
6590	SLPI	0.500000
51463	GPR89B	0.500000
55671	PPP4R3A	0.500000
7325	UBE2E2	0.500000
6373	CXCL11	0.500000
653268	AGAP7P	0.500000
23228	PLCL2	0.500000
3170	FOXA2	0.500000
285	ANGPT2	0.500000
7216	TRO	0.500000
340371	NRBP2	0.500000
151987	PPP4R2	0.500000
2982	GUCY1A1	0.500000
56125	PCDHB11	0.500000
23406	COTL1	0.500000
1646	AKR1C2	0.500000
28755	TRAC	0.500000
27111	SDCBP2	0.500000
11072	DUSP14	0.497518
51009	DERL2	0.494749
10254	STAM2	0.481610
22848	AAK1	0.479390
3303	HSPA1A	0.476213
1759	DNM1	0.468621
5873	RAB27A	0.467731
89795	NAV3	0.467387
7699	ZNF140	0.464254
5338	PLD2	0.457579
1314	COPA	0.452960
6934	TCF7L2	0.450384
2057	EPOR	0.447507
29893	PSMC3IP	0.443316
6801	STRN	0.439869
4507	MTAP	0.439869
80143	SIKE1	0.439869
3304	HSPA1B	0.438714
51497	NELFCD	0.436643
64766	S100PBP	0.434712
9577	BABAM2	0.432564
51109	RDH11	0.431644
10949	HNRNPA0	0.431016
133619	PRRC1	0.428723
2331	FMOD	0.426966
2275	FHL3	0.420829
1912	PHC2	0.420829
27237	ARHGEF16	0.420563
55870	ASH1L	0.420064
51147	ING4	0.418994
90864	SPSB3	0.418994
8874	ARHGEF7	0.417582
23035	PHLPP2	0.417564
219333	USP12	0.417564
147339	C18orf25	0.416999
64786	TBC1D15	0.413632
55602	CDKN2AIP	0.407642
27125	AFF4	0.402881
23354	HAUS5	0.400259
54838	WBP1L	0.398375
7273	TTN	0.398113
1158	CKM	0.398113
88	ACTN2	0.398113
11156	PTP4A3	0.397232
79893	GGNBP2	0.396690
51742	ARID4B	0.395341
4635	MYL4	0.393202
7812	CSDE1	0.392106
65986	ZBTB10	0.391632
11230	PRAF2	0.390109
26137	ZBTB20	0.386355
51750	RTEL1	0.381214
4289	MKLN1	0.380996
83737	ITCH	0.380996
196441	ZFC3H1	0.380651
55739	NAXD	0.378901
80212	CCDC92	0.378901
55629	PNRC2	0.378723
57175	CORO1B	0.378308
28987	NOB1	0.376592
84916	UTP4	0.376592
4140	MARK3	0.376511
4850	CNOT4	0.376321
57470	LRRC47	0.376188
9853	RUSC2	0.375666
1743	DLST	0.375666
29766	TMOD3	0.375052
8774	NAPG	0.373136
60559	SPCS3	0.373136
80700	UBXN6	0.372935
10616	RBCK1	0.372737
51379	CRLF3	0.372247
84316	NAA38	0.371475
22794	CASC3	0.369930
3516	RBPJ	0.369467
55324	ABCF3	0.364057
7182	NR2C2	0.360706
9958	USP15	0.359375
51534	VTA1	0.359008
55037	PTCD3	0.358618
9747	TCAF1	0.358135
53635	PTOV1	0.357765
58155	PTBP2	0.355181
7088	TLE1	0.354396
1616	DAXX	0.354302
51479	ANKFY1	0.354269
222658	KCTD20	0.354269
3836	KPNA1	0.354199
5915	RARB	0.351924
6198	RPS6KB1	0.351475
25948	KBTBD2	0.351301
3298	HSF2	0.351290
492	ATP2B3	0.351286
6780	STAU1	0.350857
26973	CHORDC1	0.350704
5908	RAP1B	0.350677
6649	SOD3	0.350314
23318	ZCCHC11	0.349368
9722	NOS1AP	0.348044
9529	BAG5	0.347947
9218	VAPA	0.347363
54778	RNF111	0.347332
25998	IBTK	0.347016
9851	KIAA0753	0.346797
22889	KHDC4	0.346797
10973	ASCC3	0.346669
3840	KPNA4	0.345353
6738	TROVE2	0.344343
29066	ZC3H7A	0.344310
2692	GHRHR	0.344273
6018	RLF	0.344254
11011	TLK2	0.343745
23360	FNBP4	0.343720
9306	SOCS6	0.343592
55795	PCID2	0.342438
27436	EML4	0.342162
55082	ARGLU1	0.341264
8672	EIF4G3	0.341215
51076	CUTC	0.340407
115106	HAUS1	0.340318
23023	TMCC1	0.340264
94104	PAXBP1	0.340032
27430	MAT2B	0.339701
26036	ZNF451	0.339333
7752	ZNF200	0.339237
8493	PPM1D	0.339237
55596	ZCCHC8	0.338832
25852	ARMC8	0.338062
27107	ZBTB11	0.337998
10025	MED16	0.337839
3187	HNRNPH1	0.337707
1479	CSTF3	0.337679
55023	PHIP	0.337424
57448	BIRC6	0.336957
9044	BTAF1	0.336957
64417	TMEM267	0.336288
10782	ZNF274	0.335304
8073	PTP4A2	0.335286
8623	ASMTL	0.334992
7461	CLIP2	0.334707
7159	TP53BP2	0.334569
27336	HTATSF1	0.334355
23358	USP24	0.334139
10015	PDCD6IP	0.333800
57035	RSRP1	0.333279
7358	UGDH	0.332557
7070	THY1	0.331703
27183	VPS4A	0.331674
9448	MAP4K4	0.331008
29966	STRN3	0.330416
54906	FAM208B	0.330352
26001	RNF167	0.330090
9943	OXSR1	0.329175
55749	CCAR1	0.329143
55119	PRPF38B	0.329143
55573	CDV3	0.328922
55000	TUG1	0.328791
23299	BICD2	0.328664
79665	DHX40	0.328661
81688	C6orf62	0.328606
54541	DDIT4	0.328031
9439	MED23	0.327728
54537	FAM35A	0.326216
79006	METRN	0.325954
55151	TMEM38B	0.325250
1195	CLK1	0.325157
80232	WDR26	0.325110
9110	MTMR4	0.325061
58525	WIZ	0.324615
9710	KIAA0355	0.324608
23347	SMCHD1	0.324213
7175	TPR	0.324023
54925	ZSCAN32	0.323936
7572	ZNF24	0.323936
9584	RBM39	0.323927
11080	DNAJB4	0.323886
26060	APPL1	0.323572
5277	PIGA	0.323005
10385	BTN2A2	0.322968
81566	CSRNP2	0.322968
11120	BTN2A1	0.322968
51074	APIP	0.322965
54472	TOLLIP	0.322406
5579	PRKCB	0.322162
10659	CELF2	0.322162
5980	REV3L	0.322162
29072	SETD2	0.321975
5203	PFDN4	0.321715
84851	TRIM52	0.321699
10735	STAG2	0.321661
54665	RSBN1	0.321525
9969	MED13	0.321283
1815	DRD4	0.321269
10811	NOXA1	0.321269
5582	PRKCG	0.321269
4499	MT1M	0.321241
4493	MT1E	0.321241
22894	DIS3	0.321021
283450	HECTD4	0.321021
22990	PCNX1	0.321021
51520	LARS	0.321021
9736	USP34	0.321021
5919	RARRES2	0.320965
868	CBLB	0.320809
10298	PAK4	0.320513
80204	FBXO11	0.320479
11129	CLASRP	0.320477
8189	SYMPK	0.320477
23461	ABCA5	0.320422
57862	ZNF410	0.320341
89890	KBTBD6	0.319888
84078	KBTBD7	0.319888
8452	CUL3	0.319888
10274	STAG1	0.319826
79144	PPDPF	0.319169
55279	ZNF654	0.319002
905	CCNT2	0.319002
7465	WEE1	0.318964
84888	SPPL2A	0.318946
55334	SLC39A9	0.318946
64376	IKZF5	0.318946
55681	SCYL2	0.318946
9282	MED14	0.318905
2100	ESR2	0.318905
9940	DLEC1	0.318905
5458	POU4F2	0.318905
5457	POU4F1	0.318905
9219	MTA2	0.318905
2099	ESR1	0.318905
83759	RBM4B	0.318687
4670	HNRNPM	0.318687
84154	RPF2	0.318521
8408	ULK1	0.318197
152006	RNF38	0.318100
51111	KMT5B	0.317743
23063	WAPL	0.317677
1998	ELF2	0.317653
7690	ZNF131	0.317466
23451	SF3B1	0.317440
1968	EIF2S3	0.317295
221037	JMJD1C	0.317144
7248	TSC1	0.317045
51747	LUC7L3	0.316856
26065	LSM14A	0.316663
23512	SUZ12	0.316511
22820	COPG1	0.316325
23503	ZFYVE26	0.315845
84365	NIFK	0.315757
170510	EIF4EBP2P1	0.315729
54826	GIN1	0.315598
2690	GHR	0.315523
5771	PTPN2	0.315523
10120	ACTR1B	0.315335
55791	LRIF1	0.315216
8729	GBF1	0.314960
51362	CDC40	0.314888
10625	IVNS1ABP	0.314616
11330	CTRC	0.314558
23317	DNAJC13	0.314461
51322	WAC	0.314321
8924	HERC2	0.314008
5520	PPP2R2A	0.313992
3359	HTR3A	0.313885
23469	PHF3	0.313859
23199	GSE1	0.313804
79684	MSANTD2	0.313634
9909	DENND4B	0.313612
10001	MED6	0.313466
2908	NR3C1	0.313315
30000	TNPO2	0.313066
10208	USPL1	0.313038
23379	ICE1	0.313038
23049	SMG1	0.312904
819	CAMLG	0.312898
84146	ZNF644	0.312897
9698	PUM1	0.312897
400322	HERC2P2	0.312821
865	CBFB	0.312803
64848	YTHDC2	0.312788
27332	ZNF638	0.312641
81608	FIP1L1	0.312373
65117	RSRC2	0.312373
140467	ZNF358	0.312122
6653	SORL1	0.312073
10621	POLR3F	0.311909
8899	PRPF4B	0.311909
372	ARCN1	0.311802
7342	UBP1	0.311721
171023	ASXL1	0.311662
25909	AHCTF1	0.311608
9513	FXR2	0.311438
83638	C11orf68	0.311388
23186	RCOR1	0.310356
3799	KIF5B	0.310276
285527	FRYL	0.310213
56650	CLDND1	0.309971
83593	RASSF5	0.309870
6789	STK4	0.309870
10725	NFAT5	0.309870
8227	AKAP17A	0.309342
54805	CNNM2	0.309199
22874	PLEKHA6	0.309199
5753	PTK6	0.309199
2065	ERBB3	0.309199
23157	SEPT6	0.309079
26999	CYFIP2	0.309079
22838	RNF44	0.309079
26127	FGFR1OP2	0.308997
58487	CREBZF	0.308678
25957	PNISR	0.308678
27291	R3HCC1L	0.308625
10672	GNA13	0.308625
3267	AGFG1	0.308528
58517	RBM25	0.308515
8405	SPOP	0.308406
23172	ABRAXAS2	0.308361
23013	SPEN	0.308267
25820	ARIH1	0.307994
6430	SRSF5	0.307979
55161	TMEM33	0.307743
164	AP1G1	0.307707
22884	WDR37	0.307525
1487	CTBP1	0.307511
22828	SCAF8	0.307450
8880	FUBP1	0.307395
25796	PGLS	0.307376
7994	KAT6A	0.307210
51430	SUCO	0.307194
7871	SLMAP	0.306937
1153	CIRBP	0.306781
8925	HERC1	0.306672
1105	CHD1	0.306638
3845	KRAS	0.306631
26054	SENP6	0.306521
6670	SP3	0.306076
7748	ZNF195	0.305989
10745	PHTF1	0.305938
4664	NAB1	0.305938
23253	ANKRD12	0.305936
23398	PPWD1	0.305930
222161	DKFZP586I1420	0.305924
10520	ZNF211	0.305800
10781	ZNF266	0.305800
25807	RHBDD3	0.305797
9463	PICK1	0.305797
