#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	UNION	Conflict?	Degree
3791	KDR	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	83
3265	HRAS	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	1232
5605	MAP2K2	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	1051
207	AKT1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	799
1133	CHRM5	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	272
816	CAMK2B	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	2850
5290	PIK3CA	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	1435
10458	BAIAP2	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	1510
3105	HLA-A	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	494
4233	MET	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	803
3106	HLA-B	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	672
5175	PECAM1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	173
26047	CNTNAP2	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	726
5294	PIK3CG	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	16
4897	NRCAM	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	864
7422	VEGFA	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	824
1301	COL11A1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	128
3676	ITGA4	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	58
22871	NLGN1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	120
5595	MAPK3	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	293
596	BCL2	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	723
3690	ITGB3	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	603
5295	PIK3R1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	746
5747	PTK2	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	1320
5604	MAP2K1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	1090
3912	LAMB1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	611
5579	PRKCB	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	134
23705	CADM1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	625
324	APC	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	1123
54413	NLGN3	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	284
9378	NRXN1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	1155
2321	FLT1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	455
7040	TGFB1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	1041
9379	NRXN2	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	791
3084	NRG1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	996
3123	HLA-DRB1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	92
5649	RELN	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	170
8573	CASK	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	927
29119	CTNNA3	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	214
1950	EGF	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	9
1499	CTNNB1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	100
3082	HGF	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	471
3479	IGF1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	376
5728	PTEN	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	945
22798	LAMB4	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	85
22854	NTNG1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	1091
4478	MSN	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	607
5894	RAF1	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	324
2066	ERBB4	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	1449
57502	NLGN4X	Positive	1.000000	Positive	1.000000	1.000000	1.000000	NO	4
440097	DBX2	Unlabeled	1.000000	Unlabeled	1.000000	1.000000	1.000000	NO	2
222008	VSTM2A	Unlabeled	1.000000	Unlabeled	1.000000	1.000000	1.000000	NO	1
55799	CACNA2D3	Unlabeled	1.000000	Unlabeled	1.000000	1.000000	1.000000	NO	1
3266	ERAS	Unlabeled	1.000000	Unlabeled	1.000000	1.000000	1.000000	NO	2
10178	TENM1	Unlabeled	1.000000	Unlabeled	1.000000	1.000000	1.000000	NO	1
57644	MYH7B	Unlabeled	0.848407	Positive	1.000000	0.848407	1.000000	NO	3
8215	DVL1P1	Unlabeled	0.869695	Unlabeled	0.906729	0.788577	0.956765	NO	3
1496	CTNNA2	Unlabeled	0.718731	Positive	1.000000	0.718731	1.000000	NO	23
115677	NOSTRIN	Positive	1.000000	Unlabeled	0.708029	0.708029	1.000000	NO	2
57689	LRRC4C	Unlabeled	0.706524	Positive	1.000000	0.706524	1.000000	NO	9
9963	SLC23A1	Unlabeled	0.684069	Unlabeled	1.000000	0.684069	1.000000	NO	2
9073	CLDN8	Unlabeled	0.671590	Positive	1.000000	0.671590	1.000000	NO	5
3681	ITGAD	Unlabeled	0.649111	Positive	1.000000	0.649111	1.000000	NO	18
85358	SHANK3	Positive	1.000000	Unlabeled	0.639833	0.639833	1.000000	NO	64
8218	CLTCL1	Positive	1.000000	Unlabeled	0.635889	0.635889	1.000000	NO	10
151531	UPP2	Positive	1.000000	Unlabeled	0.635858	0.635858	1.000000	NO	3
1132	CHRM4	Unlabeled	0.615725	Positive	1.000000	0.615725	1.000000	NO	27
1128	CHRM1	Unlabeled	0.615297	Positive	1.000000	0.615297	1.000000	NO	8
5063	PAK3	Unlabeled	0.613188	Positive	1.000000	0.613188	1.000000	NO	114
5021	OXTR	Positive	1.000000	Unlabeled	0.609747	0.609747	1.000000	NO	26
152330	CNTN4	Positive	1.000000	Unlabeled	0.608338	0.608338	1.000000	NO	18
4685	NCAM2	Unlabeled	0.607436	Positive	1.000000	0.607436	1.000000	NO	107
344148	NCKAP5	Unlabeled	0.606519	Unlabeled	1.000000	0.606519	1.000000	NO	3
85366	MYLK2	Unlabeled	0.601433	Positive	1.000000	0.601433	1.000000	NO	4
343477	HSP90B3P	Unlabeled	1.000000	Unlabeled	0.600023	0.600023	1.000000	NO	1
7124	TNF	Positive	1.000000	Unlabeled	0.600023	0.600023	1.000000	NO	18
6507	SLC1A3	Positive	1.000000	Unlabeled	0.598429	0.598429	1.000000	NO	42
1131	CHRM3	Unlabeled	0.592321	Positive	1.000000	0.592321	1.000000	NO	32
53358	SHC3	Unlabeled	0.590562	Positive	1.000000	0.590562	1.000000	NO	258
721	C4B	Positive	1.000000	Unlabeled	0.590281	0.590281	1.000000	NO	15
57144	PAK5	Unlabeled	0.589596	Positive	1.000000	0.589596	1.000000	NO	217
57628	DPP10	Positive	1.000000	Unlabeled	0.578523	0.578523	1.000000	NO	5
1129	CHRM2	Unlabeled	0.572731	Positive	1.000000	0.572731	1.000000	NO	101
7448	VTN	Unlabeled	0.571660	Positive	1.000000	0.571660	1.000000	NO	41
761	CA3	Unlabeled	0.680286	Unlabeled	0.828045	0.563307	1.000000	NO	3
3381	IBSP	Unlabeled	0.560099	Positive	1.000000	0.560099	1.000000	NO	10
1272	CNTN1	Unlabeled	0.558755	Positive	1.000000	0.558755	1.000000	NO	428
9542	NRG2	Unlabeled	0.557977	Positive	1.000000	0.557977	1.000000	NO	131
84709	MGARP	Unlabeled	0.660653	Unlabeled	0.842830	0.556818	0.897527	NO	3
361	AQP4	Positive	1.000000	Unlabeled	0.556411	0.556411	1.000000	NO	19
815	CAMK2A	Unlabeled	0.555521	Positive	1.000000	0.555521	1.000000	NO	1081
6447	SCG5	Positive	1.000000	Unlabeled	0.554607	0.554607	1.000000	NO	99
9369	NRXN3	Unlabeled	0.554295	Positive	1.000000	0.554295	1.000000	NO	815
253935	ANGPTL5	Unlabeled	0.554226	Unlabeled	0.999094	0.553724	0.999291	NO	3
85293	KRTAP3-3	Unlabeled	0.554213	Unlabeled	0.998892	0.553599	0.999132	NO	1
340273	ABCB5	Unlabeled	0.554183	Unlabeled	0.998480	0.553340	0.998810	NO	2
131368	ZPLD1	Unlabeled	0.554160	Unlabeled	0.998209	0.553167	0.998598	NO	1
5521	PPP2R2B	Unlabeled	0.552966	Positive	1.000000	0.552966	1.000000	NO	788
163782	KANK4	Unlabeled	0.742726	Unlabeled	0.743839	0.552469	0.826496	NO	2
6900	CNTN2	Unlabeled	0.551977	Positive	1.000000	0.551977	1.000000	NO	692
4633	MYL2	Unlabeled	0.550594	Positive	1.000000	0.550594	1.000000	NO	46
5923	RASGRF1	Unlabeled	0.550220	Positive	1.000000	0.550220	1.000000	NO	1025
57863	CADM3	Unlabeled	0.549977	Positive	1.000000	0.549977	1.000000	NO	1009
10203	CALCRL	Positive	1.000000	Unlabeled	0.549072	0.549072	1.000000	NO	49
7060	THBS4	Unlabeled	0.548636	Positive	1.000000	0.548636	1.000000	NO	126
4885	NPTX2	Positive	1.000000	Unlabeled	0.547349	0.547349	1.000000	NO	69
8516	ITGA8	Unlabeled	0.545027	Positive	1.000000	0.545027	1.000000	NO	331
65061	CDK15	Unlabeled	0.545027	Unlabeled	1.000000	0.545027	1.000000	NO	1
4626	MYH8	Unlabeled	0.544868	Positive	1.000000	0.544868	1.000000	NO	289
5803	PTPRZ1	Positive	1.000000	Unlabeled	0.544864	0.544864	1.000000	NO	53
23562	CLDN14	Unlabeled	0.543843	Positive	1.000000	0.543843	1.000000	NO	36
